Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Fevereiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 400 ; 1.883.506.110 ; 441 ; 2.534.378.095 ; 841 ; 4.417.884.205 ; 68 ; 1.281.616.183 ; 44 ; 631.631.056 ; 112 ; 1.913.247.239 ; 953 ; 6.331.131.444 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 794 ; 160.268.327 ; 4.962 ; 302.380.474 ; 5.311 ; 354.548.195 ; 16.876 ; 500.719.725 ; 27.943 ; 1.317.916.721 ; 123 ; 2.071.025.782 ; 130 ; 1.698.224.449 ; 253 ; 3.769.250.231 ; 28.196 ; 5.087.166.952 ;
16;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 63 ; 64.001.629 ; 208 ; 70.497.763 ; 78 ; 51.761.741 ; 117 ; 132.784.714 ; 466 ; 319.045.847 ; 173 ; 2.243.959.045 ; 178 ; 2.214.319.726 ; 351 ; 4.458.278.771 ; 817 ; 4.777.324.618 ;
17;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 66 ; 231.092.846 ; 7 ; 1.581.517 ; 61 ; 221.374.288 ; 146 ; 297.481.020 ; 280 ; 751.529.671 ; 122 ; 1.716.387.049 ; 133 ; 1.876.418.279 ; 255 ; 3.592.805.328 ; 535 ; 4.344.334.999 ;
18;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 77 ; 3.355.003 ; 907 ; 45.909.643 ; 530 ; 82.517.380 ; 7.328 ; 139.805.279 ; 8.842 ; 271.587.305 ; 481 ; 1.915.905.653 ; 518 ; 1.819.785.874 ; 999 ; 3.735.691.527 ; 9.841 ; 4.007.278.832 ;
19;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 317 ; 1.681.482.530 ; 319 ; 1.640.215.798 ; 636 ; 3.321.698.328 ; 8 ; 235.000.000 ; 10 ; 295.000.000 ; 18 ; 530.000.000 ; 654 ; 3.851.698.328 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 94 ; 3.196.511 ; 716 ; 158.446.682 ; 32.179 ; 175.470.394 ; 76.966 ; 1.484.853.906 ; 109.955 ; 1.821.967.493 ; 897 ; 1.731.425.785 ; 2.231 ; 267.824.257 ; 3.128 ; 1.999.250.042 ; 113.083 ; 3.821.217.535 ;
21;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 127 ; 135.428.606 ; 822 ; 292.796.762 ; 207 ; 652.817.738 ; 462 ; 350.031.315 ; 1.618 ; 1.431.074.421 ; 662 ; 693.969.881 ; 667 ; 799.887.649 ; 1.329 ; 1.493.857.530 ; 2.947 ; 2.924.931.951 ;
22;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 120 ; 146.011.446 ; 994 ; 122.092.376 ; 1.372 ; 392.895.085 ; 2.373 ; 375.956.454 ; 4.859 ; 1.036.955.361 ; 106 ; 1.152.885.505 ; 127 ; 682.599.344 ; 233 ; 1.835.484.849 ; 5.092 ; 2.872.440.210 ;
23;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 17 ; 352.234.652 ; 3 ; 9.266.620 ; 24 ; 18.786.627 ; 28 ; 1.979.812 ; 72 ; 382.267.711 ; 60 ; 999.952.619 ; 72 ; 1.348.650.538 ; 132 ; 2.348.603.157 ; 204 ; 2.730.870.868 ;
24;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 50 ; 455.765.274 ; 106 ; 12.352.354 ; 202 ; 187.377.313 ; 283 ; 476.179.066 ; 641 ; 1.131.674.007 ; 169 ; 677.728.196 ; 180 ; 872.162.242 ; 349 ; 1.549.890.438 ; 990 ; 2.681.564.445 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 550 ; 119.772.831 ; 1.710 ; 88.884.954 ; 4.683 ; 426.815.608 ; 5.404 ; 653.381.446 ; 12.347 ; 1.288.854.839 ; 1.644 ; 580.402.091 ; 3.798 ; 412.746.807 ; 5.442 ; 993.148.898 ; 17.789 ; 2.282.003.737 ;
26;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 119 ; 143.830.276 ; 435 ; 71.302.855 ; 42 ; 85.001.585 ; 402 ; 166.187.298 ; 998 ; 466.322.014 ; 105 ; 811.293.090 ; 159 ; 778.706.993 ; 264 ; 1.590.000.083 ; 1.262 ; 2.056.322.097 ;
27;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 286 ; 68.015.040 ; 877 ; 108.510.591 ; 26.437 ; 570.819.567 ; 17.268 ; 179.868.992 ; 44.868 ; 927.214.190 ; 265 ; 289.758.504 ; 275 ; 647.750.595 ; 540 ; 937.509.099 ; 45.408 ; 1.864.723.289 ;
28;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 551 ; 83.277.282 ; 2.651 ; 142.225.921 ; 35.218 ; 316.135.834 ; 37.270 ; 376.223.100 ; 75.690 ; 917.862.137 ; 901 ; 497.630.711 ; 7.063 ; 348.337.151 ; 7.964 ; 845.967.862 ; 83.654 ; 1.763.829.999 ;
29;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 363 ; 104.901.910 ; 1.621 ; 346.383.944 ; 5.823 ; 148.931.143 ; 5.971 ; 156.038.243 ; 13.778 ; 756.255.240 ; 97 ; 609.303.857 ; 83 ; 353.833.841 ; 180 ; 963.137.698 ; 13.958 ; 1.719.392.938 ;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 800.000 ; 3 ; 230.785 ; 19 ; 78.219.449 ; 109 ; 264.420.673 ; 132 ; 343.670.907 ; 16 ; 680.148.960 ; 15 ; 650.166.546 ; 31 ; 1.330.315.506 ; 163 ; 1.673.986.413 ;
31;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 9 ; 65.500.000 ; 39 ; 76.249.376 ; 119 ; 587.815.519 ; 128 ; 299.772.210 ; 295 ; 1.029.337.105 ; 6 ; 60.337.955 ; 22 ; 480.338.393 ; 28 ; 540.676.348 ; 323 ; 1.570.013.453 ;
32;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 48 ; 22.799.310 ; 43 ; 43.502.596 ; 27 ; 91.827.643 ; 187 ; 58.576.666 ; 305 ; 216.706.215 ; 50 ; 476.778.165 ; 54 ; 527.886.138 ; 104 ; 1.004.664.303 ; 409 ; 1.221.370.518 ;
33;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 344 ; 64.793.768 ; 1.744 ; 164.765.511 ; 50.701 ; 297.572.420 ; 33.537 ; 170.323.102 ; 86.326 ; 697.454.801 ; 310 ; 204.867.041 ; 1.390 ; 194.515.842 ; 1.700 ; 399.382.883 ; 88.026 ; 1.096.837.684 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 5.550 ; 1.466.918 ; 7 ; 1.814 ; 993.821 ; 375.004.888 ; 1.074.255 ; 394.872.522 ; 2.073.633 ; 771.346.142 ; 848 ; 166.759.737 ; 843 ; 147.785.788 ; 1.691 ; 314.545.525 ; 2.075.324 ; 1.085.891.667 ;
35;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 85 ; 60.100.445 ; 205 ; 176.007.168 ; 2.071 ; 21.962.269 ; 403 ; 81.639.564 ; 2.764 ; 339.709.446 ; 59 ; 467.144.981 ; 45 ; 261.033.044 ; 104 ; 728.178.025 ; 2.868 ; 1.067.887.471 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 34 ; 2.403.045 ; 288 ; 25.101.711 ; 146.373 ; 281.686.351 ; 3.366 ; 63.122.943 ; 150.061 ; 372.314.050 ; 1.214 ; 154.116.641 ; 4.102 ; 347.478.288 ; 5.316 ; 501.594.929 ; 155.377 ; 873.908.979 ;
37;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;CREDIT SUISSE - PRUDENCIAL; -   ; -   ; -   ; -   ; 73 ; 317.824.503 ; 82 ; 310.699.921 ; 155 ; 628.524.424 ; 11 ; 84.558.228 ; 13 ; 104.557.428 ; 24 ; 189.115.656 ; 179 ; 817.640.080 ;
38;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 90 ; 57.847.445 ; 504 ; 182.705.080 ; 22 ; 29.908.551 ; 137 ; 10.539.948 ; 753 ; 281.001.024 ; 70 ; 277.822.001 ; 58 ; 159.929.548 ; 128 ; 437.751.549 ; 881 ; 718.752.573 ;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 145 ; 75.554.164 ; 547 ; 45.034.779 ; 316 ; 132.450.799 ; 429 ; 93.219.426 ; 1.437 ; 346.259.168 ; 58 ; 96.172.509 ; 60 ; 181.228.583 ; 118 ; 277.401.092 ; 1.555 ; 623.660.260 ;
