Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 249 ; 1.226.894.755 ; 210 ; 1.208.760.692 ; 459 ; 2.435.655.447 ; 78 ; 713.632.922 ; 70 ; 730.295.420 ; 148 ; 1.443.928.342 ; 607 ; 3.879.583.789 ;
17;03.532.415;BANCO ABN AMRO S.A.;;;;; 313 ; 1.715.631.919 ; 324 ; 1.671.029.612 ; 637 ; 3.386.661.531 ; 11 ; 113.750.000 ; 10 ; 165.000.000 ; 21 ; 278.750.000 ; 658 ; 3.665.411.531 ;
18;58.160.789;BANCO SAFRA S.A.; 139 ; 27.329.060 ; 457 ; 138.064.234 ; 27.376 ; 1.034.326.340 ; 18.384 ; 222.924.342 ; 46.356 ; 1.422.643.976 ; 274 ; 697.797.738 ; 333 ; 1.532.389.469 ; 607 ; 2.230.187.207 ; 46.963 ; 3.652.831.183 ;
19;53.518.684;BANCO HSBC S.A.; 32 ; 326.301.457 ; 63 ; 98.422.350 ; 218 ; 537.084.955 ; 333 ; 182.815.541 ; 646 ; 1.144.624.302 ; 158 ; 644.907.256 ; 178 ; 1.305.566.377 ; 336 ; 1.950.473.633 ; 982 ; 3.095.097.935 ;
20;07.679.404;BANCO TOPÁZIO S.A.; 183 ; 64.949.181 ; 26 ; 5.302.110 ; 26.470 ; 128.787.990 ; 72.772 ; 1.179.341.828 ; 99.451 ; 1.378.381.109 ; 1.214 ; 1.283.839.221 ; 3.496 ; 295.705.026 ; 4.710 ; 1.579.544.248 ; 104.161 ; 2.957.925.357 ;
21;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 14 ; 139.467.586 ; 2 ; 410.113 ; 25 ; 50.716.188 ; 57 ; 96.740.985 ; 98 ; 287.334.871 ; 115 ; 1.253.434.071 ; 125 ; 1.352.607.958 ; 240 ; 2.606.042.029 ; 338 ; 2.893.376.901 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 80 ; 459.074.094 ; 6 ; 258.948 ; 105 ; 310.162.122 ; 280 ; 378.013.835 ; 471 ; 1.147.508.998 ; 83 ; 662.343.259 ; 105 ; 1.078.432.362 ; 188 ; 1.740.775.621 ; 659 ; 2.888.284.619 ;
23;31.872.495;BANCO C6 S.A.; 48 ; 84.118.090 ; 618 ; 107.205.598 ; 11.694 ; 466.558.389 ; 87.782 ; 527.032.678 ; 100.142 ; 1.184.914.756 ; 127 ; 797.824.716 ; 189 ; 743.390.384 ; 316 ; 1.541.215.099 ; 100.458 ; 2.726.129.855 ;
24;33.264.668;BANCO XP S.A.; 391 ; 109.239.196 ; 2.598 ; 484.660.533 ; 4.187 ; 455.368.596 ; 16.717 ; 813.257.472 ; 23.893 ; 1.862.525.797 ; 91 ; 709.817.200 ; 68 ; 117.385.958 ; 159 ; 827.203.159 ; 24.052 ; 2.689.728.956 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 2 ; 61.964.080 ; 20 ; 59.471.697 ; 23 ; 364.652.648 ; 137 ; 108.225.521 ; 182 ; 594.313.946 ; 36 ; 750.726.527 ; 56 ; 1.131.977.168 ; 92 ; 1.882.703.695 ; 274 ; 2.477.017.640 ;
