Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 564 ; 809.789.369 ; 277 ; 1.020.521.036 ; 841 ; 1.830.310.405 ; 43 ; 915.042.195 ; 22 ; 412.075.636 ; 65 ; 1.327.117.831 ; 906 ; 3.157.428.236 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 117 ; 327.430.746 ; 1.017 ; 162.741.425 ; 312 ; 480.543.332 ; 935 ; 448.547.687 ; 2.381 ; 1.419.263.190 ; 300 ; 699.927.845 ; 702 ; 986.736.092 ; 1.002 ; 1.686.663.936 ; 3.383 ; 3.105.927.126 ;;;;
18;58.160.789;BANCO SAFRA S.A.; 175 ; 143.051.562 ; 700 ; 90.411.247 ; 773 ; 124.497.246 ; 1.969 ; 299.514.771 ; 3.617 ; 657.474.827 ; 157 ; 988.234.638 ; 146 ; 807.335.978 ; 303 ; 1.795.570.616 ; 3.920 ; 2.453.045.443 ;;;;
19;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 11 ; 36.790.359 ;;; 11 ; 36.790.359 ; 6 ; 1.080.000.000 ; 6 ; 1.080.000.000 ; 12 ; 2.160.000.000 ; 23 ; 2.196.790.359 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 92 ; 56.032.976 ; 311 ; 22.800.506 ; 651 ; 84.363.011 ; 1.054 ; 116.603.549 ; 2.108 ; 279.800.042 ; 1.261 ; 533.440.370 ; 9.557 ; 541.522.968 ; 10.818 ; 1.074.963.338 ; 12.926 ; 1.354.763.380 ;;;;
21;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 81 ; 61.742.241 ; 43 ; 4.317.029 ; 39 ; 391.531.798 ; 158 ; 142.572.593 ; 321 ; 600.163.661 ; 21 ; 212.428.846 ; 30 ; 511.544.088 ; 51 ; 723.972.934 ; 372 ; 1.324.136.596 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 5 ; 16.605.088 ; 31 ; 5.882.845 ; 48 ; 55.662.654 ; 91 ; 141.846.651 ; 175 ; 219.997.238 ; 133 ; 584.758.281 ; 121 ; 485.409.605 ; 254 ; 1.070.167.886 ; 429 ; 1.290.165.124 ;;;;
23;00.360.305;CAIXA ECONOMICA FEDERAL; 282 ; 213.626.594 ; 175 ; 27.401.892 ; 5.139 ; 126.500.024 ; 1.363 ; 136.775.230 ; 6.959 ; 504.303.741 ; 104 ; 152.450.330 ; 120 ; 326.925.760 ; 224 ; 479.376.089 ; 7.183 ; 983.679.830 ;;;;
24;49.336.860;ING BANK N.V.; 33 ; 152.479.488 ; 3 ; 20.853.901 ; 12 ; 1.584.854 ; 59 ; 160.160.231 ; 107 ; 335.078.474 ; 12 ; 380.488.722 ; 6 ; 200.488.938 ; 18 ; 580.977.659 ; 125 ; 916.056.133 ;;;;
25;71.027.866;BANCO BONSUCESSO S.A.; 2 ; 36.990 ; 5 ; 3.792.605 ; 40 ; 7.271.379 ; 119 ; 2.571.294 ; 166 ; 13.672.269 ; 260 ; 452.302.538 ; 476 ; 446.529.121 ; 736 ; 898.831.660 ; 902 ; 912.503.929 ;;;;
