Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;59.588.111;BANCO VOTORANTIM S.A.; 212 ; 151.998.365 ; 736 ; 144.998.837 ; 226 ; 418.054.620 ; 491 ; 145.595.339 ; 1.665 ; 860.647.162 ; 211 ; 367.979.279 ; 329 ; 1.362.307.516 ; 540 ; 1.730.286.795 ; 2.205 ; 2.590.933.957 ;
17;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 48 ; 736.564.250 ; 80 ; 1.035.682.144 ; 128 ; 1.772.246.395 ; 41 ; 486.346.116 ; 15 ; 187.340.569 ; 56 ; 673.686.685 ; 184 ; 2.445.933.080 ;
18;28.195.667;BANCO ABC BRASIL S.A.; 141 ; 245.996.103 ; 497 ; 102.014.141 ; 59 ; 193.667.838 ; 521 ; 172.061.650 ; 1.218 ; 713.739.732 ; 151 ; 512.648.746 ; 214 ; 1.217.584.737 ; 365 ; 1.730.233.483 ; 1.583 ; 2.443.973.215 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 95 ; 176.929.203 ; 211 ; 88.519.998 ; 314 ; 403.791.212 ; 323 ; 348.133.735 ; 943 ; 1.017.374.147 ; 103 ; 413.902.087 ; 116 ; 590.421.165 ; 219 ; 1.004.323.252 ; 1.162 ; 2.021.697.400 ;
20;53.518.684;BANCO HSBC S.A.; 20 ; 59.891.793 ; 99 ; 21.287.928 ; 52 ; 331.972.607 ; 107 ; 89.401.536 ; 278 ; 502.553.864 ; 121 ; 453.747.672 ; 131 ; 707.520.600 ; 252 ; 1.161.268.272 ; 530 ; 1.663.822.136 ;
21;33.264.668;BANCO XP S.A.; 245 ; 134.528.980 ; 1.678 ; 186.331.478 ; 1.214 ; 397.924.264 ; 1.811 ; 178.728.957 ; 4.948 ; 897.513.679 ; 13 ; 213.384.999 ; 26 ; 471.837.455 ; 39 ; 685.222.453 ; 4.987 ; 1.582.736.132 ;
22;68.900.810;BANCO RENDIMENTO S.A.; 61 ; 9.639.563 ; 164 ; 79.727.567 ; 349.826 ; 580.244.808 ; 3.378 ; 70.588.562 ; 353.429 ; 740.200.499 ; 1.495 ; 153.812.513 ; 6.508 ; 599.598.537 ; 8.003 ; 753.411.050 ; 361.432 ; 1.493.611.549 ;
23;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 765 ; 95.000.899 ; 2.245 ; 86.121.033 ; 2.382 ; 252.268.947 ; 5.000 ; 399.615.235 ; 10.392 ; 833.006.114 ; 1.778 ; 327.402.314 ; 4.366 ; 194.414.000 ; 6.144 ; 521.816.314 ; 16.536 ; 1.354.822.427 ;
24;31.872.495;BANCO C6 S.A.; 71 ; 66.440.605 ; 511 ; 61.195.322 ; 1.718 ; 192.296.184 ; 12.356 ; 150.547.546 ; 14.656 ; 470.479.657 ; 79 ; 328.010.108 ; 95 ; 368.998.142 ; 174 ; 697.008.250 ; 14.830 ; 1.167.487.907 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 13 ; 45.700.000 ; 12 ; 29.064.271 ; 31 ; 402.524.618 ; 105 ; 156.746.692 ; 161 ; 634.035.581 ; 7 ; 84.250.000 ; 25 ; 394.000.000 ; 32 ; 478.250.000 ; 193 ; 1.112.285.581 ;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 85 ; 114.091.385 ; 25 ; 6.219.463 ; 104 ; 403.005.914 ; 280 ; 230.807.304 ; 494 ; 754.124.066 ; 75 ; 91.884.440 ; 78 ; 191.981.773 ; 153 ; 283.866.213 ; 647 ; 1.037.990.279 ;
27;78.632.767;BANCO OURINVEST S.A.; 1.121 ; 121.549.600 ; 2.212 ; 144.033.748 ; 11.258 ; 136.388.216 ; 13.397 ; 262.272.905 ; 27.988 ; 664.244.470 ; 448 ; 254.686.574 ; 4.284 ; 115.417.755 ; 4.732 ; 370.104.330 ; 32.720 ; 1.034.348.799 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 69 ; 3.678.626 ; 572 ; 26.196.339 ; 203 ; 15.312.490 ; 19.208 ; 22.255.045 ; 20.052 ; 67.442.499 ; 391 ; 409.919.526 ; 423 ; 387.484.389 ; 814 ; 797.403.915 ; 20.866 ; 864.846.415 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 601 ; 88.761.257 ; 1.297 ; 140.666.260 ; 96.895 ; 179.333.882 ; 1.963 ; 101.230.817 ; 100.756 ; 509.992.215 ; 296 ; 113.998.566 ; 820 ; 159.082.165 ; 1.116 ; 273.080.731 ; 101.872 ; 783.072.947 ;
30;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 218 ; 361.641.920 ; 145 ; 263.890.947 ; 363 ; 625.532.867 ; 23 ; 133.043.450 ; 17 ; 13.036.792 ; 40 ; 146.080.243 ; 403 ; 771.613.110 ;
31;58.160.789;BANCO SAFRA S.A.; 315 ; 87.190.886 ; 775 ; 127.437.438 ; 972 ; 181.110.377 ; 1.346 ; 83.631.253 ; 3.408 ; 479.369.953 ; 238 ; 80.722.698 ; 242 ; 170.458.416 ; 480 ; 251.181.114 ; 3.888 ; 730.551.067 ;
32;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 62 ; 59.298.102 ; 218 ; 35.902.148 ; 26 ; 202.330.628 ; 200 ; 186.578.180 ; 506 ; 484.109.058 ; 27 ; 143.735.797 ; 25 ; 73.532.869 ; 52 ; 217.268.666 ; 558 ; 701.377.724 ;
33;07.679.404;BANCO TOPÁZIO S.A.; 57 ; 46.193.808 ; 14 ; 695.913 ; 257 ; 15.840.201 ; 358 ; 254.479.140 ; 686 ; 317.209.063 ; 454 ; 277.478.553 ; 988 ; 85.823.532 ; 1.442 ; 363.302.086 ; 2.128 ; 680.511.148 ;
34;58.616.418;BANCO FIBRA S.A.; 105 ; 82.506.402 ; 822 ; 153.041.319 ; 30 ; 3.529.640 ; 223 ; 20.201.313 ; 1.180 ; 259.278.674 ; 65 ; 221.055.304 ; 52 ; 114.044.849 ; 117 ; 335.100.153 ; 1.297 ; 594.378.827 ;
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 138 ; 64.398.452 ; 696 ; 98.031.337 ; 299 ; 86.615.291 ; 492 ; 53.362.382 ; 1.625 ; 302.407.462 ; 71 ; 149.450.400 ; 66 ; 124.527.430 ; 137 ; 273.977.830 ; 1.762 ; 576.385.291 ;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 69 ; 65.841.444 ; 151 ; 36.794.756 ; 70 ; 30.742.023 ; 75 ; 45.137.847 ; 365 ; 178.516.070 ; 63 ; 162.184.553 ; 62 ; 224.581.830 ; 125 ; 386.766.383 ; 490 ; 565.282.453 ;
37;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 4 ; 2.253.962 ;;; 4 ; 2.253.962 ;;; 7 ; 500.000.000 ; 7 ; 500.000.000 ; 11 ; 502.253.962 ;
38;71.027.866;BANCO BS2 S.A.; 422 ; 55.002.036 ; 1.190 ; 72.352.652 ; 8.650 ; 154.631.600 ; 14.900 ; 116.714.636 ; 25.162 ; 398.700.924 ; 35 ; 35.517.289 ; 40 ; 63.147.460 ; 75 ; 98.664.749 ; 25.237 ; 497.365.673 ;
39;03.609.817;BANCO CARGILL S.A.; 33 ; 138.947.554 ;;; 14 ; 19.966.251 ; 30 ; 34.317.895 ; 77 ; 193.231.700 ; 3 ; 82.000.000 ; 5 ; 191.500.000 ; 8 ; 273.500.000 ; 85 ; 466.731.700 ;
