Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;49.336.860;ING BANK N.V.; 159 ; 1.276.563.146 ; 32 ; 36.908.547 ; 93 ; 383.883.499 ; 280 ; 238.660.150 ; 564 ; 1.936.015.342 ; 474 ; 8.308.973.680 ; 538 ; 9.788.902.144 ; 1.012 ; 18.097.875.824 ; 1.576 ; 20.033.891.166 ;;;;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 64 ; 422.386.444 ; 26 ; 15.452.216 ; 221 ; 397.516.926 ; 324 ; 269.017.443 ; 635 ; 1.104.373.029 ; 453 ; 6.720.261.865 ; 477 ; 7.251.145.661 ; 930 ; 13.971.407.525 ; 1.565 ; 15.075.780.555 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 426 ; 1.032.240.510 ; 3.165 ; 796.928.057 ; 2.261 ; 1.908.208.558 ; 4.668 ; 1.642.494.718 ; 10.520 ; 5.379.871.843 ; 1.554 ; 4.123.125.544 ; 4.042 ; 4.488.704.573 ; 5.596 ; 8.611.830.117 ; 16.116 ; 13.991.701.960 ;;;;
18;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 6 ; 20.416.401 ;;; 1.033 ; 3.742.188.687 ; 972 ; 2.816.695.288 ; 2.011 ; 6.579.300.377 ; 135 ; 3.431.346.259 ; 144 ; 3.281.316.552 ; 279 ; 6.712.662.811 ; 2.290 ; 13.291.963.188 ;;;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 409 ; 997.214.210 ; 2.215 ; 686.583.239 ; 1.594 ; 2.951.239.617 ; 3.352 ; 2.674.079.307 ; 7.570 ; 7.309.116.372 ; 297 ; 2.759.242.371 ; 313 ; 2.937.477.704 ; 610 ; 5.696.720.076 ; 8.180 ; 13.005.836.448 ;;;;
20;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 609 ; 2.523.313.317 ; 182 ; 164.641.148 ; 407 ; 593.637.876 ; 1.000 ; 638.010.094 ; 2.198 ; 3.919.602.436 ; 163 ; 1.189.583.075 ; 222 ; 3.370.871.062 ; 385 ; 4.560.454.137 ; 2.583 ; 8.480.056.573 ;;;;
21;61.820.817;BANCO PAULISTA S.A.; 880 ; 638.556.430 ; 1.895 ; 105.119.979 ; 604.149 ; 765.355.088 ; 6.603 ; 599.062.373 ; 613.527 ; 2.108.093.870 ; 9.279 ; 2.725.963.011 ; 52.457 ; 3.402.883.743 ; 61.736 ; 6.128.846.754 ; 675.263 ; 8.236.940.625 ;;;;
22;68.900.810;BANCO RENDIMENTO S.A.; 118 ; 10.395.960 ; 804 ; 137.080.899 ; 194.275 ; 814.671.490 ; 55.246 ; 706.685.776 ; 250.443 ; 1.668.834.126 ; 3.385 ; 3.201.623.327 ; 49.048 ; 3.185.030.333 ; 52.433 ; 6.386.653.659 ; 302.876 ; 8.055.487.786 ;;;;
23;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 46 ; 148.074.301 ; 151 ; 131.684.431 ; 300 ; 1.130.039.991 ; 651 ; 1.158.597.493 ; 1.148 ; 2.568.396.217 ; 841 ; 2.684.779.590 ; 1.210 ; 2.595.688.015 ; 2.051 ; 5.280.467.605 ; 3.199 ; 7.848.863.822 ;;;;
24;58.160.789;BANCO SAFRA S.A.; 820 ; 446.733.672 ; 4.320 ; 538.021.545 ; 4.601 ; 2.032.703.437 ; 10.631 ; 1.840.807.282 ; 20.372 ; 4.858.265.935 ; 810 ; 945.848.989 ; 777 ; 946.663.948 ; 1.587 ; 1.892.512.937 ; 21.959 ; 6.750.778.872 ;;;;
25;03.532.415;BANCO ABN AMRO S.A.; 13 ; 67.636.795 ; 4 ; 397.154 ; 347 ; 3.093.649.945 ; 426 ; 3.111.073.511 ; 790 ; 6.272.757.405 ; 24 ; 169.630.901 ; 26 ; 223.268.373 ; 50 ; 392.899.274 ; 840 ; 6.665.656.679 ;;;;
