Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em fevereiro / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
16;61.820.817;BANCO PAULISTA S.A.; 53 ; 21.229.815 ; 286 ; 35.766.001 ; 584 ; 108.432.701 ; 1.483 ; 118.521.711 ; 2.406 ; 283.950.228 ; 932 ; 855.298.858 ; 5.789 ; 843.543.603 ; 6.721 ; 1.698.842.461 ; 9.127 ; 1.982.792.689 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 141 ; 95.500.707 ; 476 ; 86.663.067 ; 480 ; 218.094.366 ; 408 ; 65.053.385 ; 1.505 ; 465.311.524 ; 211 ; 641.430.976 ; 236 ; 709.398.726 ; 447 ; 1.350.829.702 ; 1.952 ; 1.816.141.226 ;;;;
18;61.146.577;BANCO BARCLAYS S.A.;;;;; 68 ; 154.831.158 ; 120 ; 526.942.072 ; 188 ; 681.773.230 ; 118 ; 672.511.510 ; 159 ; 392.654.992 ; 277 ; 1.065.166.502 ; 465 ; 1.746.939.732 ;;;;
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 10 ; 14.400.000 ; 25 ; 15.526.200 ; 25 ; 34.965.022 ; 35 ; 9.291.264 ; 95 ; 74.182.486 ; 119 ; 725.544.169 ; 158 ; 692.654.292 ; 277 ; 1.418.198.461 ; 372 ; 1.492.380.947 ;;;;
20;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 30 ; 1.446.661 ; 246 ; 17.015.486 ; 187 ; 97.976.624 ; 716 ; 138.702.217 ; 1.179 ; 255.140.989 ; 1.050 ; 524.705.195 ; 6.893 ; 457.168.292 ; 7.943 ; 981.873.487 ; 9.122 ; 1.237.014.476 ;;;;
21;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 28 ; 250.082.667 ;;; 47 ; 115.036.670 ; 57 ; 142.841.909 ; 132 ; 507.961.246 ; 1 ; 160.576.500 ; 9 ; 560.000.000 ; 10 ; 720.576.500 ; 142 ; 1.228.537.746 ;;;;
22;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 178 ; 431.345.235 ; 84 ; 506.149.474 ; 262 ; 937.494.709 ; 1 ; 110.000.000 ; 4 ; 162.000.000 ; 5 ; 272.000.000 ; 267 ; 1.209.494.709 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 37 ; 90.601.418 ; 9 ; 20.807.862 ; 61 ; 123.696.318 ; 105 ; 261.193.349 ; 212 ; 496.298.947 ; 17 ; 84.796.950 ; 23 ; 369.439.225 ; 40 ; 454.236.176 ; 252 ; 950.535.123 ;;;;
24;58.160.789;BANCO SAFRA S.A.; 158 ; 89.179.358 ; 1.231 ; 110.855.338 ; 755 ; 142.689.342 ; 2.131 ; 153.872.207 ; 4.275 ; 496.596.245 ; 91 ; 203.537.245 ; 84 ; 160.949.290 ; 175 ; 364.486.535 ; 4.450 ; 861.082.780 ;;;;
25;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 12 ; 344.550.000 ; 1 ; 76.432.000 ; 13 ; 420.982.000 ; 1 ; 76.432.000 ; 12 ; 344.550.000 ; 13 ; 420.982.000 ; 26 ; 841.964.000 ;;;;
