Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Mar/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;61.146.577;BANCO BARCLAYS S.A.;;; 6 ; 236.762 ; 350 ; 2.204.101.018 ; 384 ; 2.125.537.669 ; 740 ; 4.329.875.449 ; 423 ; 3.140.674.954 ; 596 ; 3.251.389.327 ; 1.019 ; 6.392.064.281 ; 1.759 ; 10.721.939.730 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 386 ; 706.234.983 ; 3.321 ; 868.495.005 ; 688 ; 1.285.599.873 ; 3.254 ; 1.851.909.644 ; 7.649 ; 4.712.239.504 ; 387 ; 2.907.583.326 ; 1.572 ; 2.154.455.879 ; 1.959 ; 5.062.039.205 ; 9.608 ; 9.774.278.709 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 466 ; 212.820.393 ; 1.578 ; 334.021.562 ; 1.526 ; 1.611.879.621 ; 1.467 ; 559.179.205 ; 5.037 ; 2.717.900.781 ; 824 ; 2.439.785.475 ; 848 ; 3.372.808.970 ; 1.672 ; 5.812.594.445 ; 6.709 ; 8.530.495.225 ;;;;
18;61.820.817;BANCO PAULISTA S.A.; 167 ; 121.719.697 ; 1.078 ; 115.493.751 ; 1.949 ; 308.087.460 ; 5.173 ; 457.991.127 ; 8.367 ; 1.003.292.035 ; 3.201 ; 3.557.779.713 ; 22.217 ; 3.383.712.331 ; 25.418 ; 6.941.492.044 ; 33.785 ; 7.944.784.079 ;;;;
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 45 ; 316.659.679 ; 92 ; 80.521.682 ; 77 ; 77.043.748 ; 117 ; 102.568.597 ; 331 ; 576.793.706 ; 339 ; 2.606.652.570 ; 507 ; 2.857.579.116 ; 846 ; 5.464.231.686 ; 1.177 ; 6.041.025.392 ;;;;
20;58.160.789;BANCO SAFRA S.A.; 501 ; 213.433.005 ; 4.449 ; 473.565.350 ; 2.421 ; 1.091.453.104 ; 7.248 ; 736.399.480 ; 14.619 ; 2.514.850.939 ; 303 ; 1.370.473.190 ; 281 ; 1.452.310.429 ; 584 ; 2.822.783.619 ; 15.203 ; 5.337.634.558 ;;;;
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 32 ; 108.355.921 ;;; 32 ; 108.355.921 ; 7 ; 2.500.000.000 ; 7 ; 2.500.000.000 ; 14 ; 5.000.000.000 ; 46 ; 5.108.355.921 ;;;;
22;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 514 ; 1.926.453.629 ; 413 ; 1.672.527.389 ; 927 ; 3.598.981.018 ; 15 ; 389.098.928 ; 29 ; 948.065.270 ; 44 ; 1.337.164.198 ; 971 ; 4.936.145.216 ;;;;
23;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 118 ; 4.207.015 ; 955 ; 63.606.102 ; 529 ; 196.930.267 ; 2.591 ; 238.742.996 ; 4.193 ; 503.486.380 ; 3.871 ; 2.191.954.489 ; 26.429 ; 2.093.599.903 ; 30.300 ; 4.285.554.392 ; 34.493 ; 4.789.040.772 ;;;;
24;00.360.305;CAIXA ECONOMICA FEDERAL; 588 ; 145.769.515 ; 529 ; 14.844.186 ; 15.100 ; 1.340.701.105 ; 7.017 ; 489.010.186 ; 23.234 ; 1.990.324.992 ; 342 ; 551.561.932 ; 371 ; 1.537.562.109 ; 713 ; 2.089.124.041 ; 23.947 ; 4.079.449.033 ;;;;
