Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 66 ; 223.973.380 ; 227 ; 157.335.206 ; 202 ; 335.890.505 ; 406 ; 247.566.963 ; 901 ; 964.766.054 ; 437 ; 1.095.782.915 ; 458 ; 1.426.420.647 ; 895 ; 2.522.203.561 ; 1.796 ; 3.486.969.615 ;
17;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 126 ; 971.928.103 ; 122 ; 1.027.032.654 ; 248 ; 1.998.960.757 ; 42 ; 545.828.315 ; 40 ; 490.820.568 ; 82 ; 1.036.648.883 ; 330 ; 3.035.609.640 ;
18;31.872.495;BANCO C6 S.A.; 42 ; 73.737.024 ; 724 ; 134.533.077 ; 11.256 ; 396.457.594 ; 112.966 ; 568.973.397 ; 124.988 ; 1.173.701.091 ; 108 ; 1.000.602.328 ; 161 ; 803.730.606 ; 269 ; 1.804.332.934 ; 125.257 ; 2.978.034.025 ;
19;33.264.668;BANCO XP S.A.; 207 ; 48.989.984 ; 2.141 ; 439.914.051 ; 3.102 ; 266.881.742 ; 20.088 ; 730.796.272 ; 25.538 ; 1.486.582.049 ; 116 ; 1.222.241.630 ; 82 ; 217.293.785 ; 198 ; 1.439.535.415 ; 25.736 ; 2.926.117.465 ;
20;07.679.404;BANCO TOPÁZIO S.A.; 123 ; 44.610.223 ; 40 ; 9.947.281 ; 23.794 ; 99.557.990 ; 71.083 ; 1.091.950.756 ; 95.040 ; 1.246.066.250 ; 923 ; 1.210.920.880 ; 2.832 ; 251.324.054 ; 3.755 ; 1.462.244.935 ; 98.795 ; 2.708.311.184 ;
21;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 16 ; 133.106.692 ; 3 ; 335.177 ; 34 ; 278.510.285 ; 41 ; 77.004.172 ; 94 ; 488.956.325 ; 56 ; 921.283.282 ; 73 ; 1.263.994.959 ; 129 ; 2.185.278.241 ; 223 ; 2.674.234.566 ;
22;28.195.667;BANCO ABC BRASIL S.A.; 91 ; 97.162.562 ; 300 ; 96.692.713 ; 211 ; 336.733.634 ; 502 ; 333.690.639 ; 1.104 ; 864.279.548 ; 119 ; 592.143.396 ; 231 ; 1.077.585.690 ; 350 ; 1.669.729.085 ; 1.454 ; 2.534.008.633 ;
23;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 112 ; 8.536.226 ; 1.081 ; 150.839.180 ; 295 ; 58.753.105 ; 8.808 ; 69.005.089 ; 10.296 ; 287.133.600 ; 371 ; 1.129.683.245 ; 440 ; 978.196.331 ; 811 ; 2.107.879.576 ; 11.107 ; 2.395.013.176 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.; 12 ; 350.805.644 ; 18 ; 75.581.370 ; 286 ; 398.642.861 ; 250 ; 552.047.228 ; 566 ; 1.377.077.103 ; 15 ; 460.762.255 ; 17 ; 555.807.907 ; 32 ; 1.016.570.162 ; 598 ; 2.393.647.265 ;
25;78.632.767;BANCO OURINVEST S.A.; 432 ; 89.903.450 ; 2.433 ; 123.539.774 ; 25.720 ; 295.207.637 ; 43.908 ; 757.037.405 ; 72.493 ; 1.265.688.267 ; 793 ; 766.847.569 ; 12.569 ; 345.375.036 ; 13.362 ; 1.112.222.605 ; 85.855 ; 2.377.910.872 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 260 ; 44.437.321 ; 391 ; 49.058.880 ; 4.664 ; 459.460.909 ; 7.757 ; 716.727.048 ; 13.072 ; 1.269.684.159 ; 1.288 ; 668.843.407 ; 4.985 ; 398.387.831 ; 6.273 ; 1.067.231.239 ; 19.345 ; 2.336.915.397 ;
