Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;59.588.111;BANCO VOTORANTIM S.A.; 94 ; 67.934.927 ; 804 ; 147.849.602 ; 202 ; 383.373.257 ; 587 ; 497.220.619 ; 1.687 ; 1.096.378.405 ; 208 ; 634.646.084 ; 399 ; 425.289.382 ; 607 ; 1.059.935.466 ; 2.294 ; 2.156.313.871 ;
18;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 47 ; 65.037.327 ; 151 ; 33.877.992 ; 138 ; 418.066.106 ; 231 ; 179.005.053 ; 567 ; 695.986.479 ; 100 ; 462.531.471 ; 119 ; 774.742.502 ; 219 ; 1.237.273.973 ; 786 ; 1.933.260.452 ;
19;28.195.667;BANCO ABC BRASIL S.A.; 95 ; 86.682.759 ; 336 ; 56.649.031 ; 136 ; 77.791.210 ; 253 ; 151.424.583 ; 820 ; 372.547.583 ; 189 ; 711.687.776 ; 428 ; 634.642.131 ; 617 ; 1.346.329.907 ; 1.437 ; 1.718.877.490 ;
20;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 5 ; 5.523.662 ; 6 ; 680.458 ; 14 ; 57.069.187 ; 45 ; 29.034.665 ; 70 ; 92.307.972 ; 92 ; 689.125.975 ; 98 ; 720.418.778 ; 190 ; 1.409.544.753 ; 260 ; 1.501.852.725 ;
21;78.632.767;BANCO OURINVEST S.A.; 493 ; 53.628.268 ; 2.890 ; 207.926.459 ; 2.143 ; 315.290.448 ; 2.106 ; 375.049.911 ; 7.632 ; 951.895.086 ; 572 ; 257.276.798 ; 1.652 ; 94.893.570 ; 2.224 ; 352.170.368 ; 9.856 ; 1.304.065.454 ;
22;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 80 ; 149.031.219 ; 248 ; 120.597.291 ; 269 ; 251.139.849 ; 348 ; 145.567.590 ; 945 ; 666.335.950 ; 70 ; 178.027.795 ; 102 ; 290.794.060 ; 172 ; 468.821.854 ; 1.117 ; 1.135.157.804 ;
23;68.900.810;BANCO RENDIMENTO S.A.; 38 ; 2.654.147 ; 246 ; 64.802.230 ; 90.488 ; 287.139.829 ; 2.415 ; 88.047.219 ; 93.187 ; 442.643.425 ; 999 ; 261.518.997 ; 7.522 ; 389.467.126 ; 8.521 ; 650.986.123 ; 101.708 ; 1.093.629.548 ;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 560 ; 110.023.168 ; 2.445 ; 114.476.449 ; 1.247 ; 138.617.351 ; 3.482 ; 235.142.890 ; 7.734 ; 598.259.857 ; 1.503 ; 281.672.828 ; 4.496 ; 172.651.440 ; 5.999 ; 454.324.268 ; 13.733 ; 1.052.584.125 ;
25;53.518.684;BANCO HSBC S.A.; 7 ; 14.744.760 ; 117 ; 14.503.789 ; 51 ; 74.256.482 ; 124 ; 269.427.481 ; 299 ; 372.932.513 ; 136 ; 392.479.242 ; 142 ; 188.510.628 ; 278 ; 580.989.870 ; 577 ; 953.922.383 ;
26;58.160.789;BANCO SAFRA S.A.; 235 ; 108.186.842 ; 1.511 ; 157.318.195 ; 715 ; 94.353.140 ; 1.585 ; 158.376.786 ; 4.046 ; 518.234.963 ; 223 ; 253.593.366 ; 212 ; 142.592.958 ; 435 ; 396.186.325 ; 4.481 ; 914.421.288 ;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 83 ; 3.296.940 ; 898 ; 35.104.028 ; 49.996 ; 107.045.033 ; 87.420 ; 124.857.420 ; 138.397 ; 270.303.421 ; 311 ; 342.348.952 ; 457 ; 283.556.310 ; 768 ; 625.905.263 ; 139.165 ; 896.208.683 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 98 ; 148.795.957 ; 20 ; 1.775.412 ; 68 ; 155.937.853 ; 203 ; 180.681.200 ; 389 ; 487.190.422 ; 39 ; 195.020.223 ; 37 ; 115.124.023 ; 76 ; 310.144.246 ; 465 ; 797.334.667 ;
29;10.690.848;BANCO DA CHINA BRASIL S.A.; 11 ; 273.150.729 ; 40 ; 6.454.198 ; 15 ; 17.080.415 ; 55 ; 25.609.803 ; 121 ; 322.295.145 ; 36 ; 45.430.009 ; 43 ; 303.580.000 ; 79 ; 349.010.009 ; 200 ; 671.305.155 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 462 ; 72.025.628 ; 930 ; 77.107.484 ; 46.338 ; 132.326.081 ; 1.337 ; 81.814.037 ; 49.067 ; 363.273.231 ; 204 ; 100.313.086 ; 480 ; 176.012.249 ; 684 ; 276.325.335 ; 49.751 ; 639.598.566 ;
