Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Julho/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 755 ; 3.274.606.686 ; 906 ; 2.676.928.567 ; 1.661 ; 5.951.535.253 ; 45 ; 803.857.728 ; 71 ; 1.402.319.137 ; 116 ; 2.206.176.865 ; 1.777 ; 8.157.712.118 ;
15;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 307 ; 699.021.332 ; 1.481 ; 297.304.152 ; 604 ; 1.822.565.420 ; 870 ; 2.073.463.692 ; 3.262 ; 4.892.354.596 ; 260 ; 1.238.753.448 ; 300 ; 1.733.034.749 ; 560 ; 2.971.788.197 ; 3.822 ; 7.864.142.793 ;
16;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 158 ; 131.462.677 ; 632 ; 88.753.927 ; 280 ; 295.479.270 ; 385 ; 280.247.774 ; 1.455 ; 795.943.648 ; 997 ; 3.218.190.293 ; 1.056 ; 3.242.217.133 ; 2.053 ; 6.460.407.426 ; 3.508 ; 7.256.351.074 ;
17;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 350 ; 2.769.429.477 ; 410 ; 2.734.286.862 ; 760 ; 5.503.716.339 ; 13 ; 806.641.324 ; 12 ; 720.000.000 ; 25 ; 1.526.641.324 ; 785 ; 7.030.357.663 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.485 ; 164.421.022 ; 9.062 ; 422.700.510 ; 11.802 ; 446.773.740 ; 41.746 ; 1.239.277.583 ; 64.095 ; 2.273.172.855 ; 262 ; 2.359.781.173 ; 297 ; 1.321.212.491 ; 559 ; 3.680.993.664 ; 64.654 ; 5.954.166.519 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 69 ; 316.098.605 ; 2 ; 2.390.893 ; 85 ; 271.390.595 ; 204 ; 351.392.938 ; 360 ; 941.273.031 ; 138 ; 2.356.166.148 ; 147 ; 2.534.197.857 ; 285 ; 4.890.364.005 ; 645 ; 5.831.637.036 ;
20;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 4 ; 51.451.467 ; 3 ; 381.827 ; 180 ; 965.731.624 ; 131 ; 1.510.188.839 ; 318 ; 2.527.753.757 ; 42 ; 1.441.590.797 ; 20 ; 632.591.267 ; 62 ; 2.074.182.064 ; 380 ; 4.601.935.821 ;
21;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 76 ; 476.395.267 ; 210 ; 33.334.628 ; 262 ; 547.339.405 ; 418 ; 796.453.570 ; 966 ; 1.853.522.870 ; 345 ; 1.165.355.704 ; 341 ; 1.221.455.798 ; 686 ; 2.386.811.502 ; 1.652 ; 4.240.334.372 ;
22;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 2.027.469.922 ; 4 ; 2.000.000.000 ; 8 ; 4.027.469.922 ; 8 ; 4.027.469.922 ;
23;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 557 ; 131.812.431 ; 2.321 ; 538.178.916 ; 5.500 ; 203.440.367 ; 8.419 ; 418.525.065 ; 16.797 ; 1.291.956.779 ; 171 ; 1.370.878.375 ; 161 ; 768.004.814 ; 332 ; 2.138.883.189 ; 17.129 ; 3.430.839.968 ;
