Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Outubro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 146 ; 18.387.447 ; 1.619 ; 82.660.242 ; 991 ; 88.897.962 ; 7.923 ; 420.333.799 ; 10.679 ; 610.279.450 ; 628 ; 3.183.488.549 ; 626 ; 2.793.683.996 ; 1.254 ; 5.977.172.545 ; 11.933 ; 6.587.451.995 ;
15;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 384 ; 2.698.495.764 ; 419 ; 2.550.516.374 ; 803 ; 5.249.012.138 ; 12 ; 390.109.070 ; 17 ; 477.500.000 ; 29 ; 867.609.070 ; 832 ; 6.116.621.208 ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 133 ; 83.714.228 ; 692 ; 163.846.440 ; 254 ; 930.633.375 ; 464 ; 665.074.329 ; 1.543 ; 1.843.268.372 ; 1.137 ; 2.131.447.088 ; 1.135 ; 2.072.325.804 ; 2.272 ; 4.203.772.892 ; 3.815 ; 6.047.041.264 ;
17;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.265 ; 231.408.587 ; 6.407 ; 438.117.235 ; 10.275 ; 498.696.493 ; 27.771 ; 562.225.002 ; 45.718 ; 1.730.447.317 ; 166 ; 2.352.598.493 ; 164 ; 1.904.866.481 ; 330 ; 4.257.464.974 ; 46.048 ; 5.987.912.291 ;
18;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 85 ; 122.277.799 ; 225 ; 61.642.668 ; 120 ; 83.796.937 ; 180 ; 132.876.416 ; 610 ; 400.593.820 ; 195 ; 2.629.381.811 ; 194 ; 2.838.898.025 ; 389 ; 5.468.279.836 ; 999 ; 5.868.873.656 ;
19;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 426 ; 1.805.432.509 ; 465 ; 1.812.867.733 ; 891 ; 3.618.300.242 ; 47 ; 960.862.544 ; 43 ; 952.401.659 ; 90 ; 1.913.264.203 ; 981 ; 5.531.564.445 ;
20;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 254 ; 160.558.893 ; 1.245 ; 199.154.340 ; 3.145 ; 767.397.120 ; 3.395 ; 632.901.363 ; 8.039 ; 1.760.011.716 ; 119 ; 854.231.243 ; 121 ; 925.885.715 ; 240 ; 1.780.116.958 ; 8.279 ; 3.540.128.674 ;
21;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 5 ; 71.853.982 ; 48 ; 32.579.480 ; 135 ; 1.171.156.645 ; 92 ; 586.744.468 ; 280 ; 1.862.334.575 ; 18 ; 371.077.842 ; 35 ; 956.065.870 ; 53 ; 1.327.143.712 ; 333 ; 3.189.478.287 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 108 ; 327.616.918 ; 214 ; 58.980.623 ; 289 ; 499.314.163 ; 353 ; 386.717.259 ; 964 ; 1.272.628.963 ; 274 ; 713.036.358 ; 291 ; 1.014.477.112 ; 565 ; 1.727.513.470 ; 1.529 ; 3.000.142.433 ;
23;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 221 ; 40.223.624 ; 800 ; 12.582.344 ; 36.456 ; 150.843.516 ; 70.166 ; 1.024.424.890 ; 107.643 ; 1.228.074.374 ; 939 ; 1.159.846.682 ; 2.889 ; 310.626.532 ; 3.828 ; 1.470.473.214 ; 111.471 ; 2.698.547.588 ;
