Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mai/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
14;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 2.341 ; 9.669.769.155 ; 2.189 ; 5.678.200.128 ; 4.531 ; 15.348.041.690 ; 86 ; 1.981.440.323 ; 272 ; 6.123.457.294 ; 358,0 ; 8.104.897.617,0 ; 4.889 ; 23.452.939.307 ;
15;61.146.577;BANCO BARCLAYS S.A.; 7 ; 72.708.597 ; 18 ; 55.396.600 ; 882 ; 5.637.380.962 ; 1.109 ; 4.752.082.768 ; 2.016 ; 10.517.568.928 ; 701 ; 5.990.919.851 ; 895 ; 6.778.923.891 ; 1.596,0 ; 12.769.843.741,6 ; 3.612 ; 23.287.412.670 ;
16;61.820.817;BANCO PAULISTA S.A.; 412 ; 44.527.620 ; 2.065 ; 156.766.589 ; 6.279 ; 420.915.943 ; 12.297 ; 1.125.610.734 ; 21.053 ; 1.747.820.887 ; 6.925 ; 10.328.463.971 ; 45.516 ; 9.487.175.811 ; 52.441,0 ; 19.815.639.781,8 ; 73.494 ; 21.563.460.668 ;
17;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.576.734 ; 2.516 ; 1.731.398.284 ; 5.715 ; 1.921.543.491 ; 17.379 ; 6.451.070.163 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541,1 ; 18.039 ; 15.583.052.704 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 750 ; 370.192.178 ; 2.500 ; 583.852.899 ; 2.390 ; 1.216.046.951 ; 2.265 ; 511.501.377 ; 7.905 ; 2.681.593.405 ; 1.603 ; 6.200.937.158 ; 1.943 ; 6.692.406.422 ; 3.546,0 ; 12.893.343.579,2 ; 11.451 ; 15.574.936.984 ;
19;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 72 ; 261.915.602 ; 1.040 ; 135.488.686 ; 730 ; 2.494.541.101 ; 1.293 ; 2.744.051.725 ; 3.135 ; 5.635.997.115 ; 679 ; 4.289.487.800 ; 700 ; 4.340.229.686 ; 1.379,0 ; 8.629.717.485,8 ; 4.514 ; 14.265.714.600 ;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 909 ; 3.830.987.962 ; 970 ; 3.944.890.133 ; 1.885 ; 7.806.862.705 ; 42 ; 1.763.507.796 ; 47 ; 1.874.183.465 ; 89,0 ; 3.637.691.261,0 ; 1.974 ; 11.444.553.966 ;
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 41 ; 102.943.687 ;;; 41 ; 102.943.687 ; 14 ; 5.250.000.000 ; 14 ; 5.250.000.000 ; 28,0 ; 10.500.000.000,0 ; 69 ; 10.602.943.687 ;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 140 ; 246.050.117 ;;; 203 ; 3.672.212.309 ; 287 ; 698.431.148 ; 630 ; 4.616.693.573 ; 15 ; 927.524.423 ; 52 ; 4.044.467.250 ; 67,0 ; 4.971.991.672,5 ; 697 ; 9.588.685.246 ;
23;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 103 ; 2.927.017 ; 2.141 ; 112.689.868 ; 677 ; 45.906.678 ; 3.052 ; 130.767.720 ; 5.973 ; 292.291.284 ; 5.651 ; 4.570.742.968 ; 50.198 ; 4.361.889.961 ; 55.849,0 ; 8.932.632.928,9 ; 61.822 ; 9.224.924.213 ;
24;58.160.789;BANCO SAFRA S.A.; 1.139 ; 1.120.533.690 ; 4.934 ; 917.764.522 ; 3.971 ; 837.995.725 ; 15.022 ; 1.622.254.433 ; 25.066 ; 4.498.548.369 ; 657 ; 2.875.380.243 ; 588 ; 1.834.669.786 ; 1.245,0 ; 4.710.050.028,6 ; 26.311 ; 9.208.598.398 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 192 ; 1.076.159.769 ; 165 ; 75.547.829 ; 284 ; 611.899.588 ; 1.101 ; 559.111.921 ; 1.742 ; 2.322.719.107 ; 152 ; 1.336.098.332 ; 183 ; 2.384.189.389 ; 335,0 ; 3.720.287.720,8 ; 2.077 ; 6.043.006.828 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 122 ; 3.770.882 ; 720 ; 29.696.040 ; 17.146 ; 285.127.108 ; 15.908 ; 921.510.124 ; 33.896 ; 1.240.104.154 ; 1.854 ; 2.399.880.053 ; 32.447 ; 1.662.995.668 ; 34.301,0 ; 4.062.875.721,0 ; 68.197 ; 5.302.979.875 ;
27;62.232.889;BANCO DAYCOVAL S.A.; 600 ; 196.993.776 ; 2.239 ; 311.279.252 ; 2.678 ; 609.659.649 ; 16.140 ; 486.426.245 ; 21.657 ; 1.604.358.922 ; 1.416 ; 1.617.750.579 ; 1.958 ; 1.576.482.243 ; 3.374,0 ; 3.194.232.822,4 ; 25.031 ; 4.798.591.744 ;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 578 ; 567.446.204 ; 1.788 ; 551.266.445 ; 1.438 ; 1.036.350.106 ; 2.256 ; 327.162.686 ; 6.060 ; 2.482.225.443 ; 254 ; 700.564.178 ; 290 ; 1.405.729.640 ; 544,0 ; 2.106.293.818,3 ; 6.604 ; 4.588.519.261 ;
29;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 73 ; 358.413.736 ; 29 ; 7.234.863 ; 66 ; 307.515.660 ; 280 ; 64.058.988 ; 448 ; 737.223.247 ; 252 ; 1.283.501.353 ; 286 ; 1.942.987.930 ; 538,0 ; 3.226.489.283,5 ; 986 ; 3.963.712.530 ;
30;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 57 ; 366.577.707 ; 36 ; 185.409.542 ; 84 ; 26.583.531 ; 273 ; 258.403.760 ; 450 ; 836.974.540 ; 182 ; 1.541.811.745 ; 233 ; 1.458.759.992 ; 415,0 ; 3.000.571.736,7 ; 865 ; 3.837.546.277 ;
31;00.360.305;CAIXA ECONOMICA FEDERAL; 687 ; 89.378.087 ; 997 ; 35.488.922 ; 23.037 ; 578.485.096 ; 36.956 ; 450.578.919 ; 61.677 ; 1.153.931.024 ; 513 ; 943.479.050 ; 502 ; 1.114.367.389 ; 1.015,0 ; 2.057.846.439,2 ; 62.692 ; 3.211.777.464 ;
32;28.195.667;BANCO ABC BRASIL S.A.; 268 ; 253.057.386 ; 555 ; 84.966.584 ; 108 ; 190.579.552 ; 1.201 ; 194.309.556 ; 2.132 ; 722.913.077 ; 65 ; 962.536.868 ; 102 ; 1.360.600.186 ; 167,0 ; 2.323.137.054,3 ; 2.299 ; 3.046.050.132 ;
33;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 594 ; 850.098.963 ; 583 ; 264.277.438 ; 1.177 ; 1.114.376.401 ; 39 ; 647.671.832 ; 272 ; 1.239.095.382 ; 311,0 ; 1.886.767.213,5 ; 1.488 ; 3.001.143.614 ;
34;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 6 ; 991.777 ; 18 ; 1.055.681 ; 64 ; 29.939.546 ; 157 ; 35.603.748 ; 245 ; 67.590.752 ; 154 ; 1.268.441.940 ; 260 ; 1.306.448.924 ; 414,0 ; 2.574.890.864,0 ; 659 ; 2.642.481.616 ;
35;15.114.366;BANCO BBM S/A; 103 ; 68.991.575 ; 18 ; 60.493.773 ; 76 ; 65.036.737 ; 196 ; 107.355.598 ; 393 ; 301.877.683 ; 107 ; 1.114.343.878 ; 131 ; 1.032.841.966 ; 238,0 ; 2.147.185.843,5 ; 631 ; 2.449.063.526 ;
36;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 55 ; 1.044.150.000 ; 4 ; 174.200.000 ; 59 ; 1.218.350.000 ; 4 ; 174.200.000 ; 55 ; 1.044.150.000 ; 59,0 ; 1.218.350.000,0 ; 118 ; 2.436.700.000 ;
37;49.336.860;ING BANK N.V.; 138 ; 630.432.663 ; 10 ; 27.838.297 ; 63 ; 418.543.878 ; 345 ; 87.173.593 ; 556 ; 1.163.988.431 ; 24 ; 246.648.388 ; 67 ; 983.153.453 ; 91,0 ; 1.229.801.841,5 ; 647 ; 2.393.790.272 ;
38;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 41 ; 17.244.857 ; 27 ; 1.699.128 ; 19 ; 47.234 ; 26 ; 218.149 ; 113 ; 19.209.369 ; 259 ; 1.169.130.000 ; 281 ; 1.178.860.000 ; 540,0 ; 2.347.990.000,0 ; 653 ; 2.367.199.369 ;
39;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 15 ; 9.579.393 ; 3 ; 59.709 ; 711 ; 347.352.433 ; 653 ; 179.973.734 ; 1.382 ; 536.965.268 ; 235 ; 738.531.733 ; 249 ; 974.251.059 ; 484,0 ; 1.712.782.791,9 ; 1.866 ; 2.249.748.060 ;
40;13.059.145;BEXS BANCO DE C∂MBIO S/A; 99 ; 262.665.059 ; 688 ; 34.556.219 ; 617 ; 83.881.049 ; 1.689 ; 97.550.551 ; 3.093 ; 478.652.878 ; 1.405 ; 613.169.297 ; 1.444 ; 827.904.894 ; 2.849,0 ; 1.441.074.190,2 ; 5.942 ; 1.919.727.068 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.776 ; 484.630.692 ; 6.215 ; 386.905.569 ; 1.751 ; 132.474.106 ; 7.753 ; 131.178.168 ; 19.495 ; 1.135.188.535 ; 154 ; 267.494.328 ; 164 ; 365.042.632 ; 318,0 ; 632.536.960,5 ; 19.813 ; 1.767.725.496 ;
42;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 1.233 ; 4.905.041 ; 16.170 ; 124.048.119 ; 17.404 ; 129.039.189 ; 3.347 ; 867.171.839 ; 872 ; 748.133.737 ; 4.219,0 ; 1.615.305.576,1 ; 21.623 ; 1.744.344.765 ;
43;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 776 ; 411.139.783 ; 997 ; 132.589.684 ; 282 ; 91.295.494 ; 1.348 ; 221.809.409 ; 3.403 ; 856.834.370 ; 165 ; 343.860.451 ; 171 ; 404.923.274 ; 336,0 ; 748.783.724,8 ; 3.739 ; 1.605.618.095 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 197 ; 6.120.134 ; 2.132 ; 56.238.321 ; 2.674 ; 26.390.790 ; 7.864 ; 479.981.374 ; 12.867 ; 568.730.620 ; 15.869 ; 743.276.248 ; 797 ; 239.546.729 ; 16.666,0 ; 982.822.977,6 ; 29.533 ; 1.551.553.597 ;
45;71.027.866;BANCO BONSUCESSO S.A.;;; 2 ; 16.380 ; 238 ; 1.835.756 ; 934 ; 22.600.514 ; 1.174 ; 24.452.650 ; 625 ; 676.496.373 ; 2.084 ; 655.207.687 ; 2.709,0 ; 1.331.704.060,5 ; 3.883 ; 1.356.156.710 ;
46;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 36 ; 2.192.707 ; 124 ; 2.668.517 ; 181 ; 38.009.992 ; 524 ; 41.998.992 ; 865 ; 84.870.208 ; 305 ; 612.007.182 ; 360 ; 610.112.085 ; 665,0 ; 1.222.119.266,7 ; 1.530 ; 1.306.989.475 ;
47;58.616.418;BANCO FIBRA S.A.; 333 ; 75.247.720 ; 859 ; 62.602.425 ; 471 ; 205.497.577 ; 1.164 ; 341.595.188 ; 2.827 ; 684.942.911 ; 200 ; 431.976.717 ; 121 ; 80.961.091 ; 321,0 ; 512.937.807,5 ; 3.148 ; 1.197.880.718 ;
48;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 5.621 ; 47.886.446 ; 27.458 ; 398.812.410 ; 33.094 ; 446.742.797 ; 10.654 ; 545.852.487 ; 668 ; 193.578.496 ; 11.322,0 ; 739.430.983,2 ; 44.416 ; 1.186.173.780 ;
