Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.668 ; 4.137.583.085 ; 7.312 ; 2.891.352.599 ; 4.002 ; 6.172.176.715 ; 10.992 ; 8.259.281.076 ; 23.974 ; 21.460.393.476 ; 1.071 ; 8.731.134.154 ; 956 ; 7.831.638.241 ; 2.027 ; 16.562.772.394 ; 26.001 ; 38.023.165.871 
17;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 248 ; 1.519.202.929 ; 792 ; 983.505.581 ; 1.125 ; 5.032.297.099 ; 2.181 ; 6.322.118.323 ; 4.346 ; 13.857.123.932 ; 2.628 ; 12.258.776.140 ; 3.709 ; 11.525.496.245 ; 6.337 ; 23.784.272.385 ; 10.683 ; 37.641.396.317 
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 247 ; 711.763.659 ; 171 ; 151.000.711 ; 415 ; 1.070.889.375 ; 695 ; 263.159.705 ; 1.528 ; 2.196.813.450 ; 1.265 ; 15.440.241.081 ; 1.349 ; 16.801.704.164 ; 2.614 ; 32.241.945.244 ; 4.142 ; 34.438.758.694 
19;59.588.111;BANCO VOTORANTIM S.A.; 1.388 ; 2.849.881.570 ; 7.367 ; 1.916.198.244 ; 4.138 ; 3.995.653.382 ; 9.495 ; 5.303.330.177 ; 22.388 ; 14.065.063.373 ; 3.822 ; 8.806.706.054 ; 9.467 ; 8.512.522.286 ; 13.289 ; 17.319.228.340 ; 35.677 ; 31.384.291.713 
20;49.336.860;ING BANK N.V.; 342 ; 3.001.002.572 ; 229 ; 255.057.373 ; 237 ; 669.220.234 ; 655 ; 325.117.915 ; 1.463 ; 4.250.398.094 ; 573 ; 9.020.746.267 ; 714 ; 12.408.040.756 ; 1.287 ; 21.428.787.022 ; 2.750 ; 25.679.185.116 
21;61.820.817;BANCO PAULISTA S.A.; 2.384 ; 1.550.286.218 ; 5.859 ; 396.381.140 ; 550.508 ; 2.052.480.937 ; 18.440 ; 2.065.428.698 ; 577.191 ; 6.064.576.993 ; 20.193 ; 7.454.819.891 ; 145.105 ; 8.573.996.867 ; 165.298 ; 16.028.816.758 ; 742.489 ; 22.093.393.751 
22;58.160.789;BANCO SAFRA S.A.; 2.456 ; 1.347.984.315 ; 10.335 ; 1.261.415.460 ; 12.071 ; 3.119.237.576 ; 26.940 ; 3.674.006.300 ; 51.802 ; 9.402.643.651 ; 2.007 ; 3.344.141.915 ; 1.962 ; 2.882.719.599 ; 3.969 ; 6.226.861.514 ; 55.771 ; 15.629.505.165 
23;28.195.667;BANCO ABC BRASIL S.A.; 935 ; 469.527.965 ; 1.976 ; 321.031.238 ; 452 ; 2.128.895.754 ; 2.799 ; 1.731.024.780 ; 6.162 ; 4.650.479.737 ; 1.428 ; 5.255.401.618 ; 2.409 ; 5.605.729.931 ; 3.837 ; 10.861.131.549 ; 9.999 ; 15.511.611.286 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.250 ; 2.843.222.019 ; 423 ; 361.543.555 ; 1.016 ; 2.461.868.740 ; 2.988 ; 2.342.076.393 ; 5.677 ; 8.008.710.707 ; 226 ; 1.441.971.810 ; 307 ; 4.291.694.717 ; 533 ; 5.733.666.527 ; 6.210 ; 13.742.377.234 
25;68.900.810;BANCO RENDIMENTO S.A.; 249 ; 40.809.530 ; 1.608 ; 344.167.063 ; 485.880 ; 1.824.170.642 ; 119.139 ; 2.018.837.001 ; 606.876 ; 4.227.984.236 ; 7.291 ; 4.522.063.257 ; 112.470 ; 4.013.648.188 ; 119.761 ; 8.535.711.445 ; 726.637 ; 12.763.695.682 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 2.070 ; 899.261.943 ; 8.362 ; 1.897.601.080 ; 4.250 ; 1.843.540.213 ; 7.011 ; 1.528.719.276 ; 21.693 ; 6.169.122.512 ; 1.336 ; 3.099.101.433 ; 1.297 ; 2.417.678.092 ; 2.633 ; 5.516.779.525 ; 24.326 ; 11.685.902.037 
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 388 ; 908.350.941 ; 336 ; 102.800.569 ; 180 ; 2.236.102.697 ; 1.150 ; 1.208.251.987 ; 2.054 ; 4.455.506.193 ; 153 ; 2.408.020.138 ; 247 ; 4.377.288.421 ; 400 ; 6.785.308.559 ; 2.454 ; 11.240.814.752 
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.853 ; 120.864.930 ; 18.175 ; 738.097.847 ; 11.777 ; 1.163.920.630 ; 35.782 ; 1.454.302.708 ; 68.587 ; 3.477.186.115 ; 10.101 ; 4.173.514.997 ; 93.076 ; 3.291.800.626 ; 103.177 ; 7.465.315.624 ; 171.764 ; 10.942.501.739 
29;00.360.305;CAIXA ECONOMICA FEDERAL; 2.363 ; 779.973.536 ; 1.737 ; 51.691.573 ; 89.766 ; 1.741.160.230 ; 20.450 ; 2.525.392.698 ; 114.316 ; 5.098.218.038 ; 1.453 ; 2.300.386.926 ; 1.563 ; 2.142.204.347 ; 3.016 ; 4.442.591.274 ; 117.332 ; 9.540.809.311 
30;78.632.767;BANCO OURINVEST S.A.; 1.564 ; 167.358.108 ; 11.286 ; 641.389.873 ; 6.723 ; 909.325.763 ; 18.210 ; 1.424.327.099 ; 37.783 ; 3.142.400.842 ; 6.877 ; 3.381.871.981 ; 113.549 ; 2.413.516.113 ; 120.426 ; 5.795.388.094 ; 158.209 ; 8.937.788.936 
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 738 ; 1.281.852.684 ;;; 1.136 ; 1.039.046.444 ; 504 ; 3.113.135.396 ; 2.378 ; 5.434.034.524 ; 108 ; 2.126.723.827 ; 55 ; 1.079.464.712 ; 163 ; 3.206.188.539 ; 2.541 ; 8.640.223.064 
32;03.532.415;BANCO ABN AMRO S.A.; 136 ; 565.832.406 ;;; 564 ; 3.564.955.921 ; 677 ; 3.553.225.059 ; 1.377 ; 7.684.013.386 ; 56 ; 186.059.841 ; 150 ; 768.365.506 ; 206 ; 954.425.347 ; 1.583 ; 8.638.438.733 
33;62.232.889;BANCO DAYCOVAL S.A.; 5.975 ; 912.758.586 ; 7.729 ; 469.376.155 ; 7.853 ; 272.977.504 ; 28.562 ; 996.895.625 ; 50.119 ; 2.652.007.870 ; 5.984 ; 2.712.950.338 ; 27.260 ; 2.478.801.891 ; 33.244 ; 5.191.752.229 ; 83.363 ; 7.843.760.099 
34;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 262 ; 1.535.294.277 ; 261 ; 2.246.838.343 ; 523 ; 3.782.132.621 ; 201 ; 2.228.693.522 ; 174 ; 1.517.155.064 ; 375 ; 3.745.848.586 ; 898 ; 7.527.981.207 
35;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 672 ; 40.405.660 ; 6.771 ; 300.934.034 ; 2.744 ; 642.230.572 ; 445.661 ; 1.216.662.174 ; 455.848 ; 2.200.232.440 ; 2.620 ; 2.942.745.930 ; 4.244 ; 2.105.704.321 ; 6.864 ; 5.048.450.251 ; 462.712 ; 7.248.682.691 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 263 ; 1.255.569.307 ; 549 ; 18.661.198 ; 1.864 ; 370.614.053 ; 4.955 ; 1.552.160.572 ; 7.631 ; 3.197.005.131 ; 1.814 ; 1.467.303.165 ; 877 ; 1.526.412.969 ; 2.691 ; 2.993.716.134 ; 10.322 ; 6.190.721.265 
37;71.027.866;BANCO BS2 S.A.; 663 ; 106.351.776 ; 2.849 ; 176.207.196 ; 6.688 ; 824.817.450 ; 11.884 ; 1.016.171.567 ; 22.084 ; 2.123.547.990 ; 5.275 ; 2.109.748.288 ; 28.519 ; 1.861.794.484 ; 33.794 ; 3.971.542.773 ; 55.878 ; 6.095.090.763 
38;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 8 ; 56.934.476 ; 124 ; 80.104.706 ; 116 ; 1.492.981.700 ; 176 ; 1.033.262.205 ; 424 ; 2.663.283.087 ; 143 ; 1.201.729.493 ; 131 ; 1.637.551.867 ; 274 ; 2.839.281.360 ; 698 ; 5.502.564.447 
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 752 ; 540.267.078 ; 2.037 ; 233.497.253 ; 155 ; 698.211.817 ; 2.735 ; 1.083.278.328 ; 5.679 ; 2.555.254.477 ; 402 ; 1.397.794.332 ; 301 ; 1.333.975.682 ; 703 ; 2.731.770.014 ; 6.382 ; 5.287.024.491 
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 623 ; 527.472.328 ; 2.107 ; 365.314.970 ; 1.107 ; 673.823.711 ; 1.301 ; 696.496.788 ; 5.138 ; 2.263.107.797 ; 1.011 ; 1.365.281.333 ; 1.027 ; 1.609.377.096 ; 2.038 ; 2.974.658.429 ; 7.176 ; 5.237.766.226 
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.974 ; 879.629.974 ; 3.037 ; 964.097.730 ; 5.011 ; 1.843.727.705 ; 236 ; 1.193.629.761 ; 627 ; 1.108.481.125 ; 863 ; 2.302.110.886 ; 5.874 ; 4.145.838.591 
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 330 ; 272.979.831 ; 236 ; 221.375.825 ; 235 ; 892.195.462 ; 617 ; 453.973.927 ; 1.418 ; 1.840.525.044 ; 347 ; 509.176.082 ; 297 ; 999.117.617 ; 644 ; 1.508.293.700 ; 2.062 ; 3.348.818.743 
