Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Setembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 63 ; 233.845.215 ; 869 ; 436.374.615 ; 110 ; 455.639.202 ; 380 ; 438.506.599 ; 1.422 ; 1.564.365.631 ; 510 ; 2.532.686.723 ; 516 ; 2.313.442.309 ; 1.026 ; 4.846.129.032 ; 2.448 ; 6.410.494.663 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 500 ; 1.656.179.508 ; 424 ; 1.970.251.072 ; 924 ; 3.626.430.580 ; 58 ; 973.058.139 ; 44 ; 657.589.163 ; 102 ; 1.630.647.302 ; 1.026 ; 5.257.077.882 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 9 ; 100.136.187 ; 28 ; 16.122.586 ; 154 ; 1.695.180.421 ; 166 ; 1.304.528.564 ; 357 ; 3.115.967.758 ; 24 ; 777.628.661 ; 44 ; 1.302.627.876 ; 68 ; 2.080.256.537 ; 425 ; 5.196.224.295 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 103 ; 79.799.513 ; 748 ; 114.517.427 ; 251 ; 1.373.983.499 ; 434 ; 532.096.730 ; 1.536 ; 2.100.397.169 ; 665 ; 1.075.029.985 ; 683 ; 1.652.110.640 ; 1.348 ; 2.727.140.625 ; 2.884 ; 4.827.537.794 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 341 ; 2.177.427.728 ; 375 ; 2.081.059.707 ; 716 ; 4.258.487.435 ; 2 ; 30.111.820 ; 7 ; 185.000.000 ; 9 ; 215.111.820 ; 725 ; 4.473.599.255 ;
19;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 872 ; 232.082.037 ; 7.193 ; 534.219.892 ; 7.864 ; 439.513.748 ; 31.298 ; 709.170.858 ; 47.227 ; 1.914.986.535 ; 146 ; 1.556.407.625 ; 159 ; 940.545.686 ; 305 ; 2.496.953.311 ; 47.532 ; 4.411.939.846 ;
20;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 180 ; 133.125.569 ; 1.330 ; 254.542.880 ; 2.344 ; 712.503.327 ; 3.693 ; 422.274.388 ; 7.547 ; 1.522.446.164 ; 118 ; 1.050.256.185 ; 176 ; 1.232.509.617 ; 294 ; 2.282.765.802 ; 7.841 ; 3.805.211.966 ;
21;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 67 ; 61.279.564 ; 203 ; 42.982.226 ; 75 ; 182.747.958 ; 167 ; 114.910.622 ; 512 ; 401.920.370 ; 155 ; 1.318.557.876 ; 165 ; 1.411.442.359 ; 320 ; 2.730.000.235 ; 832 ; 3.131.920.605 ;
22;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 212 ; 36.530.987 ; 915 ; 5.377.377 ; 31.939 ; 152.668.981 ; 77.966 ; 1.218.645.023 ; 111.032 ; 1.413.222.368 ; 865 ; 1.364.912.981 ; 3.029 ; 336.424.200 ; 3.894 ; 1.701.337.181 ; 114.926 ; 3.114.559.549 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 76 ; 312.067.963 ; 6 ; 1.529.492 ; 67 ; 264.062.806 ; 173 ; 376.195.041 ; 322 ; 953.855.302 ; 82 ; 859.729.313 ; 84 ; 811.655.806 ; 166 ; 1.671.385.119 ; 488 ; 2.625.240.421 ;
