Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 135 ; 35.222.359 ; 477 ; 82.083.518 ; 438 ; 361.212.300 ; 471 ; 434.533.549 ; 1.521 ; 913.051.727 ; 491 ; 1.657.629.687 ; 452 ; 1.787.672.124 ; 943 ; 3.445.301.811 ; 2.464 ; 4.358.353.538 ;;;;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 264 ; 1.153.593.415 ; 170 ; 988.172.756 ; 434 ; 2.141.766.172 ; 32 ; 822.645.307 ; 32 ; 1.222.116.800 ; 64 ; 2.044.762.107 ; 498 ; 4.186.528.279 ;;;;
18;59.588.111;BANCO VOTORANTIM S.A.; 186 ; 295.857.632 ; 1.487 ; 304.058.619 ; 306 ; 378.919.978 ; 1.072 ; 774.974.143 ; 3.051 ; 1.753.810.372 ; 312 ; 1.037.165.328 ; 699 ; 628.110.999 ; 1.011 ; 1.665.276.327 ; 4.062 ; 3.419.086.699 ;;;;
19;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 51 ; 107.104.373 ;;; 89 ; 35.963.552 ; 70 ; 1.528.755.301 ; 210 ; 1.671.823.226 ; 39 ; 1.296.849.725 ; 2 ; 11.712.213 ; 41 ; 1.308.561.939 ; 251 ; 2.980.385.164 ;;;;
20;10.690.848;BANCO DA CHINA BRASIL S.A.; 5 ; 8.358.694 ; 7 ; 376.488 ; 25 ; 1.279.190.112 ; 56 ; 1.166.436.618 ; 93 ; 2.454.361.913 ; 15 ; 33.520.000 ; 10 ; 170.824.702 ; 25 ; 204.344.702 ; 118 ; 2.658.706.615 ;;;;
21;61.820.817;BANCO PAULISTA S.A.; 149 ; 84.168.956 ; 501 ; 35.819.751 ; 780 ; 120.422.667 ; 1.199 ; 125.634.040 ; 2.629 ; 366.045.415 ; 1.270 ; 576.032.276 ; 10.838 ; 608.717.778 ; 12.108 ; 1.184.750.053 ; 14.737 ; 1.550.795.468 ;;;;
22;71.027.866;BANCO BONSUCESSO S.A.; 25 ; 5.077.231 ; 9 ; 613.056 ; 54 ; 20.764.500 ; 239 ; 11.735.622 ; 327 ; 38.190.409 ; 241 ; 721.259.740 ; 635 ; 727.098.976 ; 876 ; 1.448.358.716 ; 1.203 ; 1.486.549.124 ;;;;
23;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 10 ; 18.408.759 ; 62 ; 105.882.725 ; 116 ; 155.994.513 ; 62 ; 92.498.644 ; 250 ; 372.784.641 ; 142 ; 550.050.597 ; 191 ; 511.794.224 ; 333 ; 1.061.844.821 ; 583 ; 1.434.629.462 ;;;;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 9 ; 9.584.137 ; 1 ; 1.538.405 ; 36 ; 37.356.906 ; 40 ; 116.066.426 ; 86 ; 164.545.875 ; 68 ; 658.882.229 ; 75 ; 587.787.236 ; 143 ; 1.246.669.465 ; 229 ; 1.411.215.340 ;;;;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 137 ; 29.077.675 ; 491 ; 75.468.222 ; 381 ; 533.767.868 ; 462 ; 86.636.963 ; 1.471 ; 724.950.729 ; 50 ; 125.978.941 ; 72 ; 528.582.880 ; 122 ; 654.561.820 ; 1.593 ; 1.379.512.549 ;;;;
