Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Janeiro-Fevereiro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 807 ; 3.436.538.866 ; 907 ; 4.819.781.669 ; 1.714 ; 8.256.320.535 ; 144 ; 2.662.796.517 ; 89 ; 1.281.824.119 ; 233 ; 3.944.620.636 ; 1.947 ; 12.200.941.171 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.657 ; 329.920.520 ; 10.628 ; 665.667.374 ; 11.144 ; 816.332.508 ; 32.066 ; 1.220.736.384 ; 55.495 ; 3.032.656.786 ; 332 ; 4.589.874.258 ; 327 ; 3.800.705.988 ; 659 ; 8.390.580.246 ; 56.154 ; 11.423.237.032 ;
16;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 651 ; 3.797.930.357 ; 687 ; 3.764.974.157 ; 1.338 ; 7.562.904.514 ; 19 ; 479.988.976 ; 22 ; 570.000.000 ; 41 ; 1.049.988.976 ; 1.379 ; 8.612.893.490 ;
17;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 141 ; 342.458.357 ; 12 ; 2.371.188 ; 136 ; 375.291.335 ; 335 ; 628.996.674 ; 624 ; 1.349.117.554 ; 253 ; 3.497.481.524 ; 270 ; 3.718.441.834 ; 523 ; 7.215.923.358 ; 1.147 ; 8.565.040.912 ;
18;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 164 ; 8.766.400 ; 2.056 ; 145.234.771 ; 1.104 ; 149.620.507 ; 15.407 ; 304.921.775 ; 18.731 ; 608.543.453 ; 1.018 ; 4.105.573.652 ; 1.079 ; 3.815.587.388 ; 2.097 ; 7.921.161.040 ; 20.828 ; 8.529.704.493 ;
19;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 121 ; 145.309.860 ; 432 ; 136.442.488 ; 172 ; 78.788.759 ; 254 ; 179.964.413 ; 979 ; 540.505.520 ; 333 ; 3.961.179.342 ; 344 ; 3.840.643.024 ; 677 ; 7.801.822.366 ; 1.656 ; 8.342.327.886 ;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 276 ; 324.754.767 ; 1.467 ; 438.123.788 ; 463 ; 1.857.283.687 ; 894 ; 1.159.569.198 ; 3.100 ; 3.779.731.440 ; 1.493 ; 2.075.293.649 ; 1.506 ; 2.477.785.408 ; 2.999 ; 4.553.079.057 ; 6.099 ; 8.332.810.497 ;
21;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 188 ; 6.700.990 ; 1.835 ; 195.766.099 ; 66.508 ; 439.433.046 ; 160.030 ; 3.391.261.712 ; 228.561 ; 4.033.161.847 ; 1.902 ; 3.716.518.509 ; 5.101 ; 574.936.795 ; 7.003 ; 4.291.455.304 ; 235.564 ; 8.324.617.151 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 121 ; 1.091.649.388 ; 226 ; 48.193.359 ; 426 ; 486.832.178 ; 570 ; 705.126.897 ; 1.343 ; 2.331.801.822 ; 337 ; 1.998.288.343 ; 370 ; 2.891.681.686 ; 707 ; 4.889.970.029 ; 2.050 ; 7.221.771.851 ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 273 ; 334.485.875 ; 2.284 ; 318.760.437 ; 2.919 ; 752.267.570 ; 5.191 ; 912.808.316 ; 10.667 ; 2.318.322.198 ; 221 ; 2.103.031.315 ; 285 ; 1.440.867.355 ; 506 ; 3.543.898.670 ; 11.173 ; 5.862.220.868 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 22 ; 274.902.840 ; 95 ; 112.532.875 ; 229 ; 1.571.821.825 ; 296 ; 1.099.508.849 ; 642 ; 3.058.766.389 ; 21 ; 624.210.353 ; 54 ; 1.355.338.393 ; 75 ; 1.979.548.746 ; 717 ; 5.038.315.135 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 1.098 ; 303.085.605 ; 3.829 ; 175.226.827 ; 9.748 ; 981.955.037 ; 11.624 ; 1.481.535.555 ; 26.299 ; 2.941.803.024 ; 3.455 ; 1.142.546.630 ; 8.171 ; 763.036.075 ; 11.626 ; 1.905.582.705 ; 37.925 ; 4.847.385.729 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 791 ; 207.835.900 ; 3.494 ; 1.064.139.060 ; 12.578 ; 308.939.400 ; 13.332 ; 303.181.227 ; 30.195 ; 1.884.095.587 ; 217 ; 1.587.842.672 ; 160 ; 730.226.733 ; 377 ; 2.318.069.405 ; 30.572 ; 4.202.164.992 ;
