Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em SETEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 145 ; 125.855.814 ; 1.196 ; 404.429.347 ; 340 ; 448.564.582 ; 1.034 ; 951.684.521 ; 2.715 ; 1.930.534.264 ; 286 ; 1.816.994.180 ; 657 ; 1.063.089.951 ; 943 ; 2.880.084.131 ; 3.658 ; 4.810.618.395 ;;;;
17;00.360.305;CAIXA ECONOMICA FEDERAL; 260 ; 59.191.981 ; 160 ; 7.539.986 ; 4.365 ; 1.433.822.126 ; 1.741 ; 157.326.072 ; 6.526 ; 1.657.880.166 ; 98 ; 152.111.275 ; 121 ; 1.484.067.344 ; 219 ; 1.636.178.620 ; 6.745 ; 3.294.058.785 ;;;;
18;58.160.789;BANCO SAFRA S.A.; 230 ; 53.577.394 ; 790 ; 64.731.179 ; 805 ; 182.934.737 ; 2.177 ; 1.363.228.397 ; 4.002 ; 1.664.471.706 ; 95 ; 1.362.128.519 ; 69 ; 261.942.172 ; 164 ; 1.624.070.691 ; 4.166 ; 3.288.542.397 ;;;;
19;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 151 ; 152.181.477 ; 471 ; 85.159.975 ; 491 ; 672.321.490 ; 542 ; 496.230.828 ; 1.655 ; 1.405.893.769 ; 359 ; 780.605.715 ; 369 ; 1.023.075.350 ; 728 ; 1.803.681.066 ; 2.383 ; 3.209.574.835 ;;;;
20;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 56.000.000 ;;; 259 ; 944.361.683 ; 624 ; 1.104.126.320 ; 884 ; 2.104.488.002 ; 20 ; 565.183.026 ; 19 ; 499.682.412 ; 39 ; 1.064.865.438 ; 923 ; 3.169.353.440 ;;;;
21;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 9 ; 151.101.997 ;;; 15 ; 65.770.623 ; 62 ; 4.593.152 ; 86 ; 221.465.772 ; 103 ; 1.257.264.420 ; 110 ; 1.470.912.584 ; 213 ; 2.728.177.004 ; 299 ; 2.949.642.777 ;;;;
22;61.146.577;BANCO BARCLAYS S.A.;;;;; 125 ; 199.773.974 ; 144 ; 759.638.278 ; 269 ; 959.412.252 ; 130 ; 721.629.716 ; 134 ; 134.388.317 ; 264 ; 856.018.033 ; 533 ; 1.815.430.285 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 63 ; 233.133.946 ; 22 ; 12.035.130 ; 101 ; 230.475.996 ; 282 ; 342.784.846 ; 468 ; 818.429.918 ; 13 ; 278.334.658 ; 19 ; 317.841.274 ; 32 ; 596.175.931 ; 500 ; 1.414.605.850 ;;;;
24;61.820.817;BANCO PAULISTA S.A.; 90 ; 65.633.890 ; 362 ; 25.460.480 ; 711 ; 113.099.623 ; 1.504 ; 89.685.117 ; 2.667 ; 293.879.110 ; 1.072 ; 477.785.010 ; 7.580 ; 551.413.053 ; 8.652 ; 1.029.198.063 ; 11.319 ; 1.323.077.172 ;;;;
25;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 9 ; 70.715.797 ; 35 ; 20.068.603 ; 21 ; 59.354.595 ; 47 ; 77.496.060 ; 112 ; 227.635.055 ; 121 ; 499.811.419 ; 171 ; 550.710.994 ; 292 ; 1.050.522.413 ; 404 ; 1.278.157.468 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 157 ; 169.469.292 ; 456 ; 55.082.438 ; 332 ; 331.102.458 ; 529 ; 110.339.665 ; 1.474 ; 665.993.852 ; 66 ; 106.638.213 ; 89 ; 443.440.930 ; 155 ; 550.079.142 ; 1.629 ; 1.216.072.994 ;;;;
