Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;59.588.111;BANCO VOTORANTIM S.A.; 261 ; 277.675.775 ; 1.045 ; 170.697.813 ; 245 ; 263.325.913 ; 632 ; 486.276.214 ; 2.183 ; 1.197.975.715 ; 244 ; 1.503.171.592 ; 396 ; 647.030.324 ; 640 ; 2.150.201.916 ; 2.823 ; 3.348.177.631 ;
18;53.518.684;BANCO HSBC S.A.; 18 ; 384.744.818 ; 128 ; 44.782.864 ; 42 ; 81.627.033 ; 164 ; 557.191.795 ; 352 ; 1.068.346.510 ; 106 ; 799.761.449 ; 119 ; 698.736.346 ; 225 ; 1.498.497.795 ; 577 ; 2.566.844.305 ;
19;28.195.667;BANCO ABC BRASIL S.A.; 139 ; 115.567.447 ; 476 ; 58.331.934 ; 186 ; 182.133.576 ; 376 ; 251.853.002 ; 1.177 ; 607.885.959 ; 238 ; 1.153.362.131 ; 381 ; 579.249.073 ; 619 ; 1.732.611.205 ; 1.796 ; 2.340.497.164 ;
20;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 110 ; 431.989.332 ; 25 ; 12.754.717 ; 76 ; 185.524.512 ; 197 ; 110.676.298 ; 408 ; 740.944.859 ; 58 ; 418.004.087 ; 67 ; 788.731.900 ; 125 ; 1.206.735.986 ; 533 ; 1.947.680.846 ;
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 203 ; 339.575.332 ; 262 ; 513.843.147 ; 465 ; 853.418.478 ; 17 ; 542.106.951 ; 17 ; 482.111.171 ; 34 ; 1.024.218.121 ; 499 ; 1.877.636.600 ;
22;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 105 ; 168.798.580 ; 221 ; 105.271.470 ; 289 ; 308.585.826 ; 357 ; 395.900.480 ; 972 ; 978.556.356 ; 105 ; 384.356.897 ; 133 ; 316.242.399 ; 238 ; 700.599.296 ; 1.210 ; 1.679.155.652 ;
23;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 7 ; 45.658.134 ; 21 ; 48.901.689 ; 18 ; 356.845.015 ; 144 ; 266.942.840 ; 190 ; 718.347.677 ; 14 ; 440.500.000 ; 14 ; 490.500.256 ; 28 ; 931.000.256 ; 218 ; 1.649.347.933 ;
24;49.336.860;ING BANK N.V.; 9 ; 39.072.280 ;;; 26 ; 4.531.184 ; 46 ; 42.810.304 ; 81 ; 86.413.768 ; 25 ; 772.135.591 ; 24 ; 787.048.010 ; 49 ; 1.559.183.601 ; 130 ; 1.645.597.369 ;
25;68.900.810;BANCO RENDIMENTO S.A.; 37 ; 1.605.209 ; 154 ; 31.682.115 ; 328.871 ; 593.677.542 ; 3.558 ; 53.502.486 ; 332.620 ; 680.467.352 ; 1.602 ; 188.304.196 ; 6.880 ; 683.025.907 ; 8.482 ; 871.330.104 ; 341.102 ; 1.551.797.456 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 832 ; 123.812.689 ; 2.024 ; 97.474.302 ; 1.766 ; 143.227.317 ; 3.962 ; 294.590.223 ; 8.584 ; 659.104.531 ; 2.061 ; 313.946.919 ; 3.664 ; 195.324.072 ; 5.725 ; 509.270.991 ; 14.309 ; 1.168.375.522 ;
