Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JANEIRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
8;61.820.817;BANCO PAULISTA S.A.; 39 ; 82.537.660 ; 401 ; 48.597.980 ; 676 ; 106.957.032 ; 1.873 ; 213.837.185 ; 2.989 ; 451.929.857 ; 1.083 ; 1.685.821.862 ; 7.857 ; 1.565.475.341 ; 8.940 ; 3.251.297.203 ; 11.929 ; 3.703.227.060 ;;;;
9;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 146 ; 49.318.312 ; 502 ; 121.538.659 ; 516 ; 750.653.012 ; 506 ; 203.867.519 ; 1.670 ; 1.125.377.502 ; 285 ; 860.735.587 ; 306 ; 1.437.511.626 ; 591 ; 2.298.247.213 ; 2.261 ; 3.423.624.715 ;;;;
10;59.588.111;BANCO VOTORANTIM S.A.; 107 ; 225.067.441 ; 1.223 ; 342.589.963 ; 231 ; 222.579.941 ; 865 ; 462.375.563 ; 2.426 ; 1.252.612.906 ; 96 ; 1.140.755.121 ; 569 ; 775.632.413 ; 665 ; 1.916.387.534 ; 3.091 ; 3.169.000.441 ;;;;
11;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 9 ; 87.549.860 ; 24 ; 47.132.248 ; 20 ; 662.649 ; 36 ; 17.398.646 ; 89 ; 152.743.403 ; 123 ; 1.333.060.447 ; 201 ; 1.362.960.558 ; 324 ; 2.696.021.004 ; 413 ; 2.848.764.407 ;;;;
12;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 44 ; 1.529.964 ; 371 ; 30.759.248 ; 184 ; 87.327.000 ; 930 ; 42.986.132 ; 1.529 ; 162.602.344 ; 1.367 ; 1.001.082.932 ; 10.286 ; 1.031.712.126 ; 11.653 ; 2.032.795.057 ; 13.182 ; 2.195.397.401 ;;;;
13;58.160.789;BANCO SAFRA S.A.; 147 ; 45.971.657 ; 1.657 ; 193.692.252 ; 777 ; 580.977.848 ; 2.783 ; 272.792.609 ; 5.364 ; 1.093.434.366 ; 110 ; 251.472.054 ; 99 ; 413.176.172 ; 209 ; 664.648.226 ; 5.573 ; 1.758.082.592 ;;;;
14;00.360.305;CAIXA ECONOMICA FEDERAL; 171 ; 62.529.410 ; 189 ; 4.987.806 ; 5.036 ; 524.416.583 ; 2.995 ; 284.075.024 ; 8.391 ; 876.008.824 ; 118 ; 264.626.271 ; 115 ; 564.595.021 ; 233 ; 829.221.292 ; 8.624 ; 1.705.230.116 ;;;;
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 11 ; 39.657.178 ; 9 ; 2.942.928 ; 17 ; 3.757.792 ; 42 ; 5.780.014 ; 79 ; 52.137.913 ; 109 ; 568.614.260 ; 115 ; 608.542.284 ; 224 ; 1.177.156.544 ; 303 ; 1.229.294.457 ;;;;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 162 ; 577.370.284 ; 138 ; 425.102.257 ; 300 ; 1.002.472.541 ; 9 ; 88.481.675 ; 11 ; 92.447.843 ; 20 ; 180.929.518 ; 320 ; 1.183.402.059 ;;;;
17;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 76 ; 295.762.114 ; 13 ; 17.735.454 ; 66 ; 223.510.857 ; 156 ; 375.138.753 ; 311 ; 912.147.177 ; 9 ; 46.713.482 ; 14 ; 218.618.685 ; 23 ; 265.332.167 ; 334 ; 1.177.479.344 ;;;;
18;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 73 ; 45.183.547 ; 377 ; 101.984.876 ; 333 ; 410.699.585 ; 480 ; 113.291.682 ; 1.263 ; 671.159.690 ; 62 ; 125.959.453 ; 81 ; 366.977.928 ; 143 ; 492.937.380 ; 1.406 ; 1.164.097.071 ;;;;
19;68.900.810;BANCO RENDIMENTO S.A.; 2 ; 202.102 ; 61 ; 4.600.807 ; 4.196 ; 66.349.769 ; 2.186 ; 206.325.135 ; 6.445 ; 277.477.813 ; 358 ; 458.816.849 ; 7.641 ; 269.898.560 ; 7.999 ; 728.715.409 ; 14.444 ; 1.006.193.222 ;;;;
20;78.632.767;BANCO OURINVEST S.A.;;; 47 ; 5.497.016 ; 187 ; 3.491.037 ; 522 ; 11.188.481 ; 756 ; 20.176.534 ; 366 ; 494.458.975 ; 5.186 ; 466.901.556 ; 5.552 ; 961.360.531 ; 6.308 ; 981.537.065 ;;;;
21;62.232.889;BANCO DAYCOVAL S.A.; 229 ; 89.829.128 ; 463 ; 36.752.908 ; 494 ; 12.920.870 ; 3.112 ; 75.149.209 ; 4.298 ; 214.652.114 ; 317 ; 363.614.074 ; 1.262 ; 341.242.214 ; 1.579 ; 704.856.288 ; 5.877 ; 919.508.402 ;;;;
22;28.195.667;BANCO ABC BRASIL S.A.; 46 ; 11.950.119 ; 113 ; 15.398.524 ; 29 ; 170.014.032 ; 320 ; 69.627.178 ; 508 ; 266.989.853 ; 27 ; 235.309.412 ; 33 ; 358.586.560 ; 60 ; 593.895.972 ; 568 ; 860.885.825 ;;;;
23;49.336.860;ING BANK N.V.; 18 ; 139.000.661 ; 6 ; 37.882.627 ; 12 ; 147.207.398 ; 56 ; 57.838.508 ; 92 ; 381.929.194 ; 9 ; 70.262.750 ; 22 ; 320.320.650 ; 31 ; 390.583.400 ; 123 ; 772.512.594 ;;;;
24;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 37 ; 227.936.699 ;;; 49 ; 29.323.692 ; 46 ; 90.484.973 ; 132 ; 347.745.364 ; 4 ; 269.946.335 ;;; 4 ; 269.946.335 ; 136 ; 617.691.700 ;;;;
25;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 147 ; 49.858.502 ; 185 ; 256.403.706 ; 332 ; 306.262.209 ; 25 ; 240.534.869 ; 35 ; 37.100.000 ; 60 ; 277.634.869 ; 392 ; 583.897.077 ;;;;
26;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 14 ; 256.690.000 ;;; 14 ; 256.690.000 ;;; 14 ; 256.690.000 ; 14 ; 256.690.000 ; 28 ; 513.380.000 ;;;;
27;71.027.866;BANCO BONSUCESSO S.A.;;; 2 ; 14.360 ; 52 ; 30.721 ; 100 ; 2.246.396 ; 154 ; 2.291.477 ; 244 ; 232.711.632 ; 201 ; 230.347.979 ; 445 ; 463.059.611 ; 599 ; 465.351.088 ;;;;
28;15.114.366;BANCO BBM S/A; 12 ; 8.119.563 ; 5 ; 18.601.374 ; 10 ; 20.582.000 ; 30 ; 6.192.243 ; 57 ; 53.495.181 ; 10 ; 175.472.757 ; 18 ; 190.471.649 ; 28 ; 365.944.406 ; 85 ; 419.439.587 ;;;;
29;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 35 ; 448.842 ; 502 ; 13.219.579 ; 722 ; 5.979.673 ; 1.951 ; 113.591.266 ; 3.210 ; 133.239.360 ; 3.817 ; 200.989.701 ; 109 ; 80.548.362 ; 3.926 ; 281.538.064 ; 7.136 ; 414.777.424 ;;;;
30;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 11.000.000 ; 2 ; 488.333 ; 14 ; 18.733.153 ; 68 ; 6.156.391 ; 86 ; 36.377.877 ; 42 ; 168.299.527 ; 90 ; 189.384.456 ; 132 ; 357.683.983 ; 218 ; 394.061.860 ;;;;
31;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 655 ; 68.968.992 ; 1.504 ; 70.121.291 ; 342 ; 18.991.434 ; 1.671 ; 72.851.020 ; 4.172 ; 230.932.738 ; 42 ; 88.067.731 ; 22 ; 32.892.188 ; 64 ; 120.959.919 ; 4.236 ; 351.892.657 ;;;;
32;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 215 ; 2.087.453 ; 3.101 ; 34.981.195 ; 3.316 ; 37.068.648 ; 704 ; 168.040.476 ; 144 ; 135.114.136 ; 848 ; 303.154.612 ; 4.164 ; 340.223.260 ;;;;
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 19 ; 17.593.575 ; 144 ; 4.659.660 ; 147 ; 41.499.874 ; 543 ; 50.520.916 ; 853 ; 114.274.024 ; 251 ; 98.627.291 ; 313 ; 103.062.861 ; 564 ; 201.690.152 ; 1.417 ; 315.964.177 ;;;;
34;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 1.270.443 ;;; 142 ; 52.430.546 ; 102 ; 33.249.329 ; 248 ; 86.950.318 ; 32 ; 97.149.750 ; 43 ; 114.463.135 ; 75 ; 211.612.885 ; 323 ; 298.563.203 ;;;;
