Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;49.336.860;ING BANK N.V.; 261 ; 1.862.183.173 ; 32 ; 36.908.547 ; 134 ; 495.763.414 ; 356 ; 340.829.852 ; 783 ; 2.735.684.986 ; 690 ; 12.143.075.939 ; 777 ; 14.201.977.998 ; 1.467 ; 26.345.053.937 ; 2.250 ; 29.080.738.923 ;;;;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 79 ; 463.207.411 ; 47 ; 26.454.895 ; 287 ; 514.066.015 ; 441 ; 386.424.764 ; 854 ; 1.390.153.084 ; 661 ; 12.784.766.906 ; 690 ; 13.350.895.193 ; 1.351 ; 26.135.662.100 ; 2.205 ; 27.525.815.184 ;;;;
17;03.532.415;BANCO ABN AMRO S.A.; 24 ; 139.090.455 ; 26 ; 6.251.567 ; 601 ; 5.527.511.172 ; 653 ; 5.540.634.611 ; 1.304 ; 11.213.487.806 ; 110 ; 6.158.142.066 ; 122 ; 6.285.300.253 ; 232 ; 12.443.442.320 ; 1.536 ; 23.656.930.125 ;;;;
18;59.588.111;BANCO VOTORANTIM S.A.; 576 ; 1.406.447.954 ; 4.090 ; 1.012.642.596 ; 2.955 ; 2.427.201.496 ; 6.626 ; 2.364.648.488 ; 14.247 ; 7.210.940.535 ; 2.136 ; 5.754.494.961 ; 6.343 ; 6.052.952.470 ; 8.479 ; 11.807.447.431 ; 22.726 ; 19.018.387.967 ;;;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 588 ; 1.636.883.131 ; 3.160 ; 1.190.022.953 ; 2.124 ; 3.953.635.855 ; 4.819 ; 3.846.648.869 ; 10.691 ; 10.627.190.809 ; 439 ; 3.762.973.300 ; 451 ; 4.124.735.832 ; 890 ; 7.887.709.132 ; 11.581 ; 18.514.899.941 ;;;;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 9 ; 20.814.669 ;;; 1.478 ; 4.895.134.581 ; 1.462 ; 3.770.584.952 ; 2.949 ; 8.686.534.202 ; 179 ; 4.160.670.098 ; 215 ; 5.051.142.361 ; 394 ; 9.211.812.458 ; 3.343 ; 17.898.346.661 ;;;;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 806 ; 3.081.045.214 ; 248 ; 247.303.775 ; 562 ; 888.491.295 ; 1.528 ; 1.053.844.850 ; 3.144 ; 5.270.685.135 ; 251 ; 1.857.465.185 ; 328 ; 4.560.820.921 ; 579 ; 6.418.286.106 ; 3.723 ; 11.688.971.241 ;;;;
22;68.900.810;BANCO RENDIMENTO S.A.; 182 ; 18.497.771 ; 1.266 ; 182.719.586 ; 258.263 ; 1.117.918.349 ; 76.443 ; 1.011.272.794 ; 336.154 ; 2.330.408.500 ; 5.018 ; 4.072.403.874 ; 72.991 ; 4.032.916.769 ; 78.009 ; 8.105.320.644 ; 414.163 ; 10.435.729.144 ;;;;
23;28.195.667;BANCO ABC BRASIL S.A.; 507 ; 538.774.087 ; 1.327 ; 366.248.220 ; 695 ; 592.501.528 ; 1.910 ; 872.853.245 ; 4.439 ; 2.370.377.079 ; 1.075 ; 3.940.512.746 ; 2.127 ; 3.980.328.937 ; 3.202 ; 7.920.841.683 ; 7.641 ; 10.291.218.762 ;;;;
24;61.820.817;BANCO PAULISTA S.A.; 1.143 ; 751.282.770 ; 2.354 ; 120.943.309 ; 837.409 ; 954.907.825 ; 8.997 ; 663.498.732 ; 849.903 ; 2.490.632.636 ; 12.431 ; 3.329.918.108 ; 73.448 ; 4.216.591.681 ; 85.879 ; 7.546.509.788 ; 935.782 ; 10.037.142.424 ;;;;
25;58.160.789;BANCO SAFRA S.A.; 1.047 ; 561.409.625 ; 6.253 ; 809.798.988 ; 6.440 ; 2.377.726.129 ; 15.406 ; 2.528.604.934 ; 29.146 ; 6.277.539.676 ; 1.254 ; 1.640.618.143 ; 1.181 ; 1.143.234.617 ; 2.435 ; 2.783.852.760 ; 31.581 ; 9.061.392.437 ;;;;
26;00.360.305;CAIXA ECONOMICA FEDERAL; 896 ; 422.447.627 ; 733 ; 23.447.443 ; 55.375 ; 1.051.473.968 ; 11.193 ; 2.463.924.496 ; 68.197 ; 3.961.293.533 ; 957 ; 2.787.115.986 ; 993 ; 1.745.924.379 ; 1.950 ; 4.533.040.365 ; 70.147 ; 8.494.333.898 ;;;;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 527 ; 866.004.131 ;;; 768 ; 343.738.735 ; 261 ; 2.815.882.496 ; 1.556 ; 4.025.625.362 ; 111 ; 3.259.223.034 ; 25 ; 921.526.123 ; 136 ; 4.180.749.157 ; 1.692 ; 8.206.374.519 ;;;;
28;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 46 ; 148.074.301 ; 151 ; 131.684.431 ; 305 ; 1.131.305.478 ; 662 ; 1.158.640.580 ; 1.164 ; 2.569.704.790 ; 842 ; 2.685.449.841 ; 1.214 ; 2.601.195.983 ; 2.056 ; 5.286.645.825 ; 3.220 ; 7.856.350.615 ;;;;
29;78.632.767;BANCO OURINVEST S.A.; 1.192 ; 89.501.804 ; 10.303 ; 565.083.158 ; 4.853 ; 554.437.917 ; 14.254 ; 708.494.735 ; 30.602 ; 1.917.517.614 ; 4.054 ; 2.374.346.290 ; 62.132 ; 1.741.627.648 ; 66.186 ; 4.115.973.938 ; 96.788 ; 6.033.491.553 ;;;;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 121 ; 320.215.615 ; 78 ; 51.840.912 ; 107 ; 743.971.594 ; 891 ; 762.910.071 ; 1.197 ; 1.878.938.193 ; 165 ; 1.971.692.089 ; 187 ; 2.147.681.558 ; 352 ; 4.119.373.647 ; 1.549 ; 5.998.311.839 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.070 ; 458.343.677 ; 4.438 ; 932.036.866 ; 2.662 ; 1.323.053.442 ; 3.928 ; 539.328.838 ; 12.098 ; 3.252.762.823 ; 593 ; 1.149.687.792 ; 598 ; 1.457.191.673 ; 1.191 ; 2.606.879.465 ; 13.289 ; 5.859.642.288 ;;;;
32;62.232.889;BANCO DAYCOVAL S.A.; 3.702 ; 563.073.373 ; 4.283 ; 290.484.374 ; 4.979 ; 185.461.748 ; 20.879 ; 1.319.048.053 ; 33.843 ; 2.358.067.548 ; 3.461 ; 2.066.051.703 ; 10.490 ; 1.227.985.836 ; 13.951 ; 3.294.037.539 ; 47.794 ; 5.652.105.087 ;;;;
33;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.851 ; 62.105.224 ; 10.987 ; 413.781.766 ; 7.732 ; 540.917.089 ; 22.706 ; 760.671.813 ; 43.276 ; 1.777.475.893 ; 5.754 ; 2.089.888.079 ; 43.167 ; 1.500.323.233 ; 48.921 ; 3.590.211.312 ; 92.197 ; 5.367.687.205 ;;;;
34;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 494 ; 38.695.514 ; 4.605 ; 183.903.818 ; 2.376 ; 633.306.724 ; 534.114 ; 1.002.226.811 ; 541.589 ; 1.858.132.867 ; 1.649 ; 1.799.151.133 ; 2.387 ; 1.287.182.017 ; 4.036 ; 3.086.333.151 ; 545.625 ; 4.944.466.017 ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 170 ; 873.651.018 ; 254 ; 12.779.823 ; 1.784 ; 331.141.125 ; 6.540 ; 1.242.777.143 ; 8.748 ; 2.460.349.110 ; 619 ; 984.218.312 ; 384 ; 931.538.195 ; 1.003 ; 1.915.756.507 ; 9.751 ; 4.376.105.617 ;;;;
36;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.221 ; 1.071.301.078 ; 2.671 ; 1.446.453.581 ; 3.892 ; 2.517.754.660 ; 186 ; 1.050.330.967 ; 304 ; 687.850.000 ; 490 ; 1.738.180.967 ; 4.382 ; 4.255.935.627 ;;;;
