Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mai/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 2.643 ; 4.664.932.655 ; 1.806 ; 6.337.594.285 ; 4.450 ; 11.041.526.940 ; 188 ; 4.604.193.821 ; 132 ; 3.158.455.038 ; 320 ; 7.762.648.859 ; 4.770 ; 18.804.175.799 ;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 739 ; 227.127.385 ; 2.162 ; 379.745.575 ; 2.613 ; 1.305.728.523 ; 2.604 ; 1.062.660.352 ; 8.118 ; 2.975.261.835 ; 1.948 ; 7.779.809.390 ; 1.843 ; 7.974.918.528 ; 3.791 ; 15.754.727.918 ; 11.909 ; 18.729.989.753 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 666 ; 1.349.190.713 ; 5.449 ; 851.450.835 ; 1.442 ; 2.375.102.584 ; 5.082 ; 3.909.540.895 ; 12.639 ; 8.485.285.027 ; 1.495 ; 5.303.680.574 ; 3.098 ; 4.317.352.557 ; 4.593 ; 9.621.033.131 ; 17.232 ; 18.106.318.158 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 813 ; 3.399.260.482 ; 851 ; 4.646.088.832 ; 1.664 ; 8.045.349.314 ; 125 ; 4.605.216.616 ; 110 ; 3.107.712.665 ; 235 ; 7.712.929.281 ; 1.899 ; 15.758.278.595 ;
19;58.160.789;BANCO SAFRA S.A.; 769 ; 381.446.562 ; 3.238 ; 347.327.862 ; 3.939 ; 706.367.026 ; 9.951 ; 1.370.457.586 ; 17.897 ; 2.805.599.035 ; 589 ; 3.351.935.855 ; 549 ; 2.596.102.933 ; 1.138 ; 5.948.038.788 ; 19.035 ; 8.753.637.824 ;
20;00.360.305;CAIXA ECONOMICA FEDERAL; 1.320 ; 871.558.685 ; 874 ; 48.273.529 ; 24.199 ; 409.560.860 ; 6.486 ; 2.192.014.820 ; 32.879 ; 3.521.407.894 ; 417 ; 2.252.751.975 ; 524 ; 1.299.441.524 ; 941 ; 3.552.193.499 ; 33.820 ; 7.073.601.393 ;
21;61.820.817;BANCO PAULISTA S.A.; 498 ; 276.724.041 ; 1.644 ; 118.972.852 ; 3.336 ; 489.032.371 ; 4.489 ; 485.168.815 ; 9.967 ; 1.369.898.079 ; 5.728 ; 2.515.130.024 ; 42.410 ; 2.684.376.335 ; 48.138 ; 5.199.506.359 ; 58.105 ; 6.569.404.438 ;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 59 ; 143.992.112 ; 345 ; 117.345.874 ; 240 ; 371.301.079 ; 326 ; 439.743.009 ; 970 ; 1.072.382.073 ; 534 ; 2.300.538.328 ; 591 ; 2.290.005.437 ; 1.125 ; 4.590.543.766 ; 2.095 ; 5.662.925.838 ;
23;49.336.860;ING BANK N.V.; 162 ; 807.806.734 ; 34 ; 49.250.313 ; 45 ; 217.021.022 ; 387 ; 278.459.789 ; 628 ; 1.352.537.858 ; 78 ; 1.258.320.568 ; 100 ; 2.044.235.894 ; 178 ; 3.302.556.463 ; 806 ; 4.655.094.321 ;
24;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 678 ; 197.833.911 ; 2.067 ; 291.156.560 ; 1.711 ; 1.117.991.631 ; 2.378 ; 680.891.003 ; 6.834 ; 2.287.873.105 ; 272 ; 682.420.896 ; 369 ; 1.025.142.670 ; 641 ; 1.707.563.566 ; 7.475 ; 3.995.436.671 ;
