Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 930 ; 1.016.643.788 ; 3.779 ; 985.009.771 ; 1.385 ; 1.675.479.337 ; 2.787 ; 1.717.459.615 ; 8.881 ; 5.394.592.511 ; 2.232 ; 21.180.761.113 ; 2.864 ; 21.190.135.510 ; 5.096 ; 42.370.896.623 ; 13.977 ; 47.765.489.134 ;
14;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO C MBIO - PRUDENCIAL; 842 ; 99.460.461 ; 10.428 ; 519.131.090 ; 4.962 ; 216.450.362 ; 51.158 ; 2.515.405.405 ; 67.390 ; 3.350.447.318 ; 3.289 ; 21.076.976.017 ; 3.999 ; 18.363.367.515 ; 7.288 ; 39.440.343.532 ; 74.678 ; 42.790.790.850 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 4.042 ; 14.433.329.551 ; 4.629 ; 15.864.865.357 ; 8.671 ; 30.298.194.908 ; 365 ; 6.934.204.038 ; 316 ; 5.499.845.964 ; 681 ; 12.434.050.002 ; 9.352 ; 42.732.244.910 ;
16;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.915 ; 17.318.783.104 ; 2.165 ; 17.469.811.891 ; 4.080 ; 34.788.594.995 ; 106 ; 3.443.241.856 ; 86 ; 3.415.700.000 ; 192 ; 6.858.941.856 ; 4.272 ; 41.647.536.851 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 616 ; 804.314.745 ; 4.345 ; 1.047.796.674 ; 1.765 ; 3.661.676.683 ; 3.199 ; 5.477.060.783 ; 9.925 ; 10.990.848.885 ; 5.685 ; 14.181.280.312 ; 5.668 ; 11.724.937.337 ; 11.353 ; 25.906.217.649 ; 21.278 ; 36.897.066.534 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 6.726 ; 1.245.752.465 ; 46.323 ; 2.169.144.178 ; 60.541 ; 3.828.253.856 ; 235.243 ; 5.189.434.876 ; 348.833 ; 12.432.585.375 ; 894 ; 11.306.742.677 ; 1.093 ; 8.865.113.638 ; 1.987 ; 20.171.856.315 ; 350.820 ; 32.604.441.690 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 498 ; 1.606.719.408 ; 19 ; 30.044.243 ; 385 ; 1.678.323.855 ; 969 ; 1.455.377.256 ; 1.871 ; 4.770.464.762 ; 719 ; 10.208.841.883 ; 816 ; 12.253.865.457 ; 1.535 ; 22.462.707.340 ; 3.406 ; 27.233.172.102 ;
20;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 1 ; 5.000.000 ; -   ; -   ; 1 ; 5.000.000 ; 35 ; 13.288.463.490 ; 43 ; 13.900.000.000 ; 78 ; 27.188.463.490 ; 79 ; 27.193.463.490 ;
21;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 24 ; 1.022.044.532 ; 1 ; 4.000.000 ; 765 ; 5.694.151.141 ; 849 ; 5.154.429.560 ; 1.639 ; 11.874.625.233 ; 88 ; 3.367.198.043 ; 168 ; 5.258.539.799 ; 256 ; 8.625.737.842 ; 1.895 ; 20.500.363.075 ;
22;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 1.894 ; 741.855.189 ; 6.881 ; 719.080.393 ; 139.830 ; 3.652.054.740 ; 99.041 ; 3.534.722.940 ; 247.646 ; 8.647.713.262 ; 2.021 ; 6.320.208.119 ; 1.992 ; 5.485.606.196 ; 4.013 ; 11.805.814.315 ; 251.659 ; 20.453.527.577 ;
