Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;59.588.111;BANCO VOTORANTIM S.A.; 289 ; 357.940.934 ; 678 ; 138.467.392 ; 248 ; 280.352.702 ; 625 ; 575.824.234 ; 1.840 ; 1.352.585.261 ; 481 ; 1.183.818.750 ; 717 ; 1.385.739.473 ; 1.198 ; 2.569.558.223 ; 3.038 ; 3.922.143.484 ;
18;02.801.938;BANCO MORGAN STANLEY S.A.; 29 ; 174.400.000 ; 38 ; 5.925.467 ; 284 ; 1.098.162.369 ; 425 ; 763.289.377 ; 776 ; 2.041.777.213 ; 14 ; 322.849.434 ; 29 ; 822.860.040 ; 43 ; 1.145.709.474 ; 819 ; 3.187.486.687 ;
19;53.518.684;BANCO HSBC S.A.; 39 ; 350.545.172 ; 107 ; 303.260.921 ; 153 ; 554.103.666 ; 254 ; 252.786.109 ; 553 ; 1.460.695.868 ; 124 ; 605.892.783 ; 147 ; 1.118.785.369 ; 271 ; 1.724.678.152 ; 824 ; 3.185.374.019 ;
20;28.195.667;BANCO ABC BRASIL S.A.; 147 ; 116.373.643 ; 578 ; 143.274.866 ; 129 ; 355.897.885 ; 506 ; 238.901.909 ; 1.360 ; 854.448.303 ; 123 ; 897.468.763 ; 204 ; 888.209.260 ; 327 ; 1.785.678.023 ; 1.687 ; 2.640.126.327 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 68 ; 310.240.414 ; 50 ; 33.816.933 ; 107 ; 419.877.685 ; 246 ; 323.982.651 ; 471 ; 1.087.917.683 ; 85 ; 499.757.627 ; 118 ; 1.030.890.888 ; 203 ; 1.530.648.515 ; 674 ; 2.618.566.198 ;
22;31.872.495;BANCO C6 S.A.; 135 ; 174.719.570 ; 951 ; 160.728.282 ; 7.298 ; 211.519.347 ; 54.988 ; 564.015.197 ; 63.372 ; 1.110.982.397 ; 139 ; 876.366.725 ; 187 ; 567.776.449 ; 326 ; 1.444.143.174 ; 63.698 ; 2.555.125.570 ;
23;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.294 ; 120.081.514 ; 2.011 ; 102.674.853 ; 5.074 ; 536.392.962 ; 7.751 ; 687.050.965 ; 16.130 ; 1.446.200.295 ; 1.903 ; 586.102.116 ; 5.642 ; 442.506.543 ; 7.545 ; 1.028.608.658 ; 23.675 ; 2.474.808.953 ;
24;33.264.668;BANCO XP S.A.; 527 ; 166.572.441 ; 3.063 ; 475.924.226 ; 2.605 ; 217.417.442 ; 5.973 ; 511.572.914 ; 12.168 ; 1.371.487.023 ; 104 ; 710.537.260 ; 81 ; 75.468.239 ; 185 ; 786.005.499 ; 12.353 ; 2.157.492.522 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 11 ; 86.958.897 ; 7 ; 2.102.255 ; 21 ; 302.476.793 ; 151 ; 50.440.616 ; 190 ; 441.978.560 ; 28 ; 585.000.000 ; 49 ; 858.000.000 ; 77 ; 1.443.000.000 ; 267 ; 1.884.978.560 ;
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 102 ; 5.818.869 ; 773 ; 97.493.717 ; 347 ; 43.936.836 ; 11.397 ; 36.838.495 ; 12.619 ; 184.087.917 ; 430 ; 882.544.137 ; 487 ; 799.266.382 ; 917 ; 1.681.810.519 ; 13.536 ; 1.865.898.436 ;
27;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 132 ; 95.263.040 ; 164 ; 440.436.323 ; 296 ; 535.699.363 ; 26 ; 716.165.910 ; 21 ; 536.170.888 ; 47 ; 1.252.336.798 ; 343 ; 1.788.036.161 ;
28;07.679.404;BANCO TOPÁZIO S.A.; 64 ; 15.584.250 ; 298 ; 6.855.423 ; 20.609 ; 98.000.174 ; 57.167 ; 555.197.393 ; 78.138 ; 675.637.240 ; 1.051 ; 767.549.782 ; 2.681 ; 320.825.010 ; 3.732 ; 1.088.374.793 ; 81.870 ; 1.764.012.032 ;
29;78.632.767;BANCO OURINVEST S.A.; 1.230 ; 126.153.637 ; 2.230 ; 134.618.997 ; 22.603 ; 307.015.182 ; 6.717 ; 302.113.566 ; 32.780 ; 869.901.381 ; 800 ; 386.991.922 ; 11.386 ; 310.800.605 ; 12.186 ; 697.792.527 ; 44.966 ; 1.567.693.907 ;
30;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 83 ; 183.671.685 ; 179 ; 44.993.332 ; 83 ; 98.050.791 ; 126 ; 171.016.955 ; 471 ; 497.732.764 ; 82 ; 483.716.344 ; 101 ; 551.909.527 ; 183 ; 1.035.625.871 ; 654 ; 1.533.358.635 ;
31;58.160.789;BANCO SAFRA S.A.; 377 ; 120.106.952 ; 878 ; 120.549.117 ; 1.114 ; 291.332.603 ; 1.853 ; 135.045.328 ; 4.222 ; 667.033.999 ; 270 ; 314.816.704 ; 275 ; 434.721.324 ; 545 ; 749.538.028 ; 4.767 ; 1.416.572.027 ;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 6 ; 113.911.122 ; 3 ; 488.913 ; 30 ; 75.636.024 ; 69 ; 83.257.604 ; 108 ; 273.293.664 ; 83 ; 513.941.628 ; 84 ; 571.787.602 ; 167 ; 1.085.729.230 ; 275 ; 1.359.022.894 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 579 ; 114.720.018 ; 1.407 ; 124.678.286 ; 9.421 ; 235.694.630 ; 3.063 ; 242.323.805 ; 14.470 ; 717.416.739 ; 474 ; 264.311.863 ; 1.294 ; 202.602.266 ; 1.768 ; 466.914.129 ; 16.238 ; 1.184.330.868 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 154 ; 123.207.278 ; 767 ; 175.009.465 ; 404 ; 254.110.762 ; 563 ; 151.015.845 ; 1.888 ; 703.343.350 ; 67 ; 196.291.059 ; 69 ; 231.842.843 ; 136 ; 428.133.902 ; 2.024 ; 1.131.477.252 ;
35;68.900.810;BANCO RENDIMENTO S.A.; 39 ; 3.089.517 ; 253 ; 31.092.386 ; 151.444 ; 324.140.128 ; 2.397 ; 72.465.544 ; 154.133 ; 430.787.575 ; 1.542 ; 192.215.102 ; 7.409 ; 401.960.588 ; 8.951 ; 594.175.690 ; 163.084 ; 1.024.963.265 ;
36;71.027.866;BANCO BS2 S.A.; 420 ; 176.304.453 ; 1.142 ; 103.569.684 ; 9.107 ; 174.855.748 ; 10.433 ; 121.760.762 ; 21.102 ; 576.490.647 ; 44 ; 140.982.060 ; 57 ; 252.544.093 ; 101 ; 393.526.153 ; 21.203 ; 970.016.800 ;
37;58.616.418;BANCO FIBRA S.A.; 139 ; 95.114.764 ; 892 ; 122.671.819 ; 36 ; 1.009.188 ; 262 ; 17.128.197 ; 1.329 ; 235.923.969 ; 101 ; 259.435.203 ; 92 ; 215.723.738 ; 193 ; 475.158.941 ; 1.522 ; 711.082.909 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 78 ; 114.602.219 ; 237 ; 62.567.303 ; 21 ; 109.412.982 ; 199 ; 45.922.384 ; 535 ; 332.504.888 ; 46 ; 126.181.960 ; 38 ; 206.476.046 ; 84 ; 332.658.006 ; 619 ; 665.162.895 ;
39;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 46.925 ; 191.478.507 ; 362.032 ; 213.214.649 ; 408.957 ; 404.693.156 ; 900 ; 118.266.685 ; 901 ; 96.530.168 ; 1.801 ; 214.796.853 ; 410.758 ; 619.490.009 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 56 ; 155.591.345 ; 170 ; 5.270.698 ; 11.775 ; 50.658.119 ; 47.952 ; 65.265.254 ; 59.953 ; 276.785.416 ; 225 ; 64.526.454 ; 63 ; 189.525.753 ; 288 ; 254.052.207 ; 60.241 ; 530.837.622 ;
41;03.609.817;BANCO CARGILL S.A.; 58 ; 166.562.202 ;;; 26 ; 60.112.229 ; 39 ; 5.958.610 ; 123 ; 232.633.041 ; 1 ; 50.000.000 ; 7 ; 217.750.000 ; 8 ; 267.750.000 ; 131 ; 500.383.041 ;
42;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 58.371.677 ; 1 ; 739.000 ; 1 ; 5 ; 195 ; 113.977.448 ; 202 ; 173.088.130 ; 17 ; 171.067.322 ; 8 ; 113.091.304 ; 25 ; 284.158.626 ; 227 ; 457.246.756 ;
43;15.114.366;BANCO BOCOM BBM S.A.; 22 ; 24.725.563 ; 72 ; 18.829.880 ; 43 ; 127.436.794 ; 246 ; 137.057.103 ; 383 ; 308.049.339 ; 6 ; 33.471.630 ; 10 ; 95.211.095 ; 16 ; 128.682.726 ; 399 ; 436.732.065 ;
44;10.690.848;BANCO DA CHINA BRASIL S.A.; 15 ; 36.674.497 ; 17 ; 1.852.006 ; 23 ; 151.488.039 ; 73 ; 23.021.993 ; 128 ; 213.036.535 ; 20 ; 24.992.394 ; 23 ; 188.291.260 ; 43 ; 213.283.654 ; 171 ; 426.320.190 ;
45;00.360.305;CAIXA ECONOMICA FEDERAL; 149 ; 74.259.526 ; 84 ; 1.912.717 ; 7.246 ; 61.799.366 ; 918 ; 63.412.118 ; 8.397 ; 201.383.727 ; 198 ; 83.348.609 ; 206 ; 106.926.977 ; 404 ; 190.275.586 ; 8.801 ; 391.659.314 ;
46;33.923.798;BANCO MASTER S/A; 67 ; 50.523.889 ; 104 ; 7.961.023 ; 5.440 ; 39.841.878 ; 259 ; 13.421.780 ; 5.870 ; 111.748.571 ; 34 ; 104.305.780 ; 57 ; 170.809.808 ; 91 ; 275.115.588 ; 5.961 ; 386.864.159 ;
47;00.997.185;BANCO B3 S.A.;;;;; 167 ; 119.376.073 ; 160 ; 157.896.587 ; 327 ; 277.272.660 ; 42 ; 66.518.898 ; 36 ; 27.973.021 ; 78 ; 94.491.920 ; 405 ; 371.764.580 ;
48;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 77 ; 9.603.468 ; 51 ; 3.172.353 ; 4.137 ; 134.764.060 ; 239 ; 8.644.646 ; 4.504 ; 156.184.527 ; 60 ; 4.586.488 ; 185 ; 137.137.280 ; 245 ; 141.723.768 ; 4.749 ; 297.908.295 ;
49;07.656.500;BANCO KDB DO BRASIL S.A.;;; 11 ; 4.238.903 ; 72 ; 42.688.870 ; 387 ; 120.812.564 ; 470 ; 167.740.336 ; 77 ; 113.964.836 ; 6 ; 11.668.000 ; 83 ; 125.632.836 ; 553 ; 293.373.173 ;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 238 ; 6.599.100 ; 1.629 ; 41.203.301 ; 2.056 ; 39.892.795 ; 3.912 ; 87.927.408 ; 7.835 ; 175.622.604 ; 441 ; 96.147.247 ; 86 ; 14.244.963 ; 527 ; 110.392.210 ; 8.362 ; 286.014.814 ;
51;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 29 ; 17.109.361 ; 26 ; 126.553.393 ; 55 ; 143.662.754 ; 9 ; 125.500.865 ; 10 ; 13.200.000 ; 19 ; 138.700.865 ; 74 ; 282.363.619 ;
52;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 765 ; 71.048.489 ; 464 ; 29.748.892 ; 378 ; 26.588.182 ; 503 ; 7.052.274 ; 2.110 ; 134.437.836 ; 21 ; 23.128.917 ; 48 ; 83.534.864 ; 69 ; 106.663.781 ; 2.179 ; 241.101.618 ;
53;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 4 ; 1.671.109 ; 18 ; 3.824.590 ; 18 ; 85.600.845 ; 42 ; 88.270.290 ; 82 ; 179.366.834 ; 8 ; 5.433.122 ; 8 ; 40.598.211 ; 16 ; 46.031.333 ; 98 ; 225.398.168 ;
54;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.006 ; 61.954.312 ; 779 ; 36.228.450 ; 856 ; 22.462.912 ; 406 ; 30.389.038 ; 3.047 ; 151.034.712 ; 22 ; 29.047.871 ; 17 ; 39.944.607 ; 39 ; 68.992.478 ; 3.086 ; 220.027.190 ;
55;30.723.886;BANCO MODAL S.A.; 3 ; 137.284 ;;; 130 ; 97.822.366 ; 123 ; 90.852.558 ; 256 ; 188.812.208 ; 3 ; 5.003.724 ; 2 ; 10.003.724 ; 5 ; 15.007.448 ; 261 ; 203.819.656 ;
56;61.024.352;BANCO VOITER S.A.; 52 ; 36.580.961 ; 150 ; 33.568.813 ; 151 ; 20.391.419 ; 896 ; 60.183.639 ; 1.249 ; 150.724.832 ; 65 ; 45.710.947 ; 59 ; 4.709.562 ; 124 ; 50.420.508 ; 1.373 ; 201.145.340 ;
57;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 216 ; 4.583.075 ; 785 ; 25.553.284 ; 4.229 ; 28.921.117 ; 2.893 ; 52.269.970 ; 8.123 ; 111.327.446 ; 1.678 ; 64.744.694 ; 118 ; 20.294.337 ; 1.796 ; 85.039.031 ; 9.919 ; 196.366.477 ;
58;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 17 ; 791.170 ; 159 ; 14.439.582 ; 235 ; 36.721.035 ; 463 ; 53.686.783 ; 874 ; 105.638.570 ; 182 ; 55.586.076 ; 90 ; 24.374.237 ; 272 ; 79.960.313 ; 1.146 ; 185.598.883 ;
59;60.889.128;BANCO SOFISA S.A.; 184 ; 48.493.923 ; 57 ; 5.523.010 ; 26 ; 5.321.341 ; 97 ; 1.923.602 ; 364 ; 61.261.876 ; 7 ; 30.237.512 ; 20 ; 56.241.529 ; 27 ; 86.479.041 ; 391 ; 147.740.916 ;
60;00.416.968;BANCO INTER S.A.; 28 ; 9.471.130 ; 6 ; 118.901 ; 11.065 ; 56.764.841 ; 9.332 ; 24.211.637 ; 20.431 ; 90.566.510 ; 12 ; 2.032.303 ; 15 ; 44.046.711 ; 27 ; 46.079.013 ; 20.458 ; 136.645.523 ;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 152 ; 3.534.695 ; 962 ; 28.741.814 ; 659 ; 11.515.144 ; 1.417 ; 18.747.240 ; 3.190 ; 62.538.893 ; 710 ; 49.738.746 ; 80 ; 17.293.388 ; 790 ; 67.032.134 ; 3.980 ; 129.571.027 ;
62;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 12.874 ; 41.750.377 ; 19.916 ; 59.664.082 ; 32.790 ; 101.414.459 ; 87 ; 21.822.219 ; 343 ; 5.205.095 ; 430 ; 27.027.314 ; 33.220 ; 128.441.773 ;
63;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.; 6 ; 160.146 ; 161 ; 4.780.460 ; 161 ; 5.543.278 ; 1.818 ; 50.548.810 ; 2.146 ; 61.032.694 ; 947 ; 51.159.562 ; 19 ; 2.692.265 ; 966 ; 53.851.827 ; 3.112 ; 114.884.521 ;
64;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 99 ; 2.226.863 ; 791 ; 14.124.968 ; 2.946 ; 15.332.828 ; 2.812 ; 20.375.237 ; 6.648 ; 52.059.896 ; 3.411 ; 35.331.287 ; 496 ; 18.227.482 ; 3.907 ; 53.558.769 ; 10.555 ; 105.618.664 ;
65;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 25 ; 13.496.773 ; 20 ; 14.223.172 ; 17 ; 24.737.628 ; 90 ; 3.474.520 ; 152 ; 55.932.093 ; 12 ; 17.615.718 ; 12 ; 29.122.124 ; 24 ; 46.737.842 ; 176 ; 102.669.934 ;
66;62.144.175;BANCO PINE S.A.; 35 ; 21.484.187 ; 221 ; 29.472.458 ; 11 ; 810.926 ; 48 ; 5.061.213 ; 315 ; 56.828.784 ; 9 ; 27.856.299 ; 6 ; 12.619.665 ; 15 ; 40.475.964 ; 330 ; 97.304.748 ;
67;61.186.680;BANCO BMG S.A.; 1 ; 970.874 ; 1 ; 1.614.423 ; 20 ; 632.384 ; 43 ; 7.719.992 ; 65 ; 10.937.672 ; 3 ; 52.000.000 ; 4 ; 32.983.874 ; 7 ; 84.983.874 ; 72 ; 95.921.546 ;
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 165 ; 3.500.397 ; 1.242 ; 32.018.037 ; 417 ; 5.342.989 ; 1.083 ; 10.820.491 ; 2.907 ; 51.681.914 ; 531 ; 37.892.683 ; 55 ; 3.918.424 ; 586 ; 41.811.107 ; 3.493 ; 93.493.021 ;
69;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 120 ; 2.806.247 ; 945 ; 30.614.567 ; 570 ; 9.595.272 ; 601 ; 7.363.953 ; 2.236 ; 50.380.039 ; 454 ; 32.720.414 ; 78 ; 7.085.213 ; 532 ; 39.805.627 ; 2.768 ; 90.185.666 ;
70;45.246.410;BANCO GENIAL S.A.; 9 ; 576.526 ; 29 ; 3.057.142 ; 257 ; 33.970.118 ; 292 ; 40.674.638 ; 587 ; 78.278.424 ; 14 ; 7.469.389 ; 7 ; 2.331.220 ; 21 ; 9.800.610 ; 608 ; 88.079.034 ;
71;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 41 ; 23.539.960 ; 58 ; 8.070.617 ; 131 ; 19.211.742 ; 230 ; 50.822.319 ; 67 ; 35.114.699 ; 3 ; 442.838 ; 70 ; 35.557.537 ; 300 ; 86.379.856 ;
72;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 30 ; 9.918.916 ; 20 ; 24.306.028 ; 9 ; 335.998 ; 22 ; 7.677.469 ; 81 ; 42.238.411 ; 13 ; 31.509.026 ; 17 ; 9.733.872 ; 30 ; 41.242.898 ; 111 ; 83.481.309 ;
73;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 48 ; 1.507.663 ; 321 ; 4.693.872 ; 2.029 ; 18.945.580 ; 3.062 ; 31.449.289 ; 5.460 ; 56.596.403 ; 1.045 ; 21.140.712 ; 59 ; 5.426.760 ; 1.104 ; 26.567.472 ; 6.564 ; 83.163.875 ;
74;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 917 ; 10.229.109 ; 3.411 ; 37.606.991 ; 4.328 ; 47.836.100 ; 2.683 ; 30.304.521 ; 1.036 ; 2.966.689 ; 3.719 ; 33.271.210 ; 8.047 ; 81.107.310 ;
75;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 18 ; 14.648.990 ; 46 ; 7.761.204 ; 36 ; 3.675.388 ; 125 ; 2.258.762 ; 225 ; 28.344.344 ; 50 ; 25.760.221 ; 20 ; 18.967.104 ; 70 ; 44.727.324 ; 295 ; 73.071.669 ;
76;59.118.133;BANCO LUSO BRASILEIRO S.A.; 90 ; 12.216.062 ; 156 ; 9.890.449 ; 34 ; 8.463.774 ; 136 ; 2.612.128 ; 416 ; 33.182.414 ; 190 ; 12.624.328 ; 111 ; 20.795.561 ; 301 ; 33.419.889 ; 717 ; 66.602.303 ;
77;12.392.983;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.; 8 ; 130.325 ; 413 ; 28.883.939 ; 49 ; 822.453 ; 47 ; 1.037.175 ; 517 ; 30.873.894 ; 447 ; 32.107.313 ; 69 ; 3.313.019 ; 516 ; 35.420.332 ; 1.033 ; 66.294.225 ;
78;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 24 ; 689.728 ; 636 ; 20.292.580 ; 242 ; 3.271.896 ; 639 ; 5.478.521 ; 1.541 ; 29.732.725 ; 1.038 ; 25.968.329 ; 179 ; 4.158.412 ; 1.217 ; 30.126.741 ; 2.758 ; 59.859.465 ;
