Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;58.160.789;BANCO SAFRA S.A.; 224 ; 102.319.821 ; 1.285 ; 163.264.631 ; 868 ; 1.340.005.611 ; 1.632 ; 224.154.431 ; 4.009 ; 1.829.744.494 ; 215 ; 214.453.648 ; 263 ; 1.287.469.742 ; 478 ; 1.501.923.390 ; 4.487 ; 3.331.667.884 ;
18;49.336.860;ING BANK N.V.; 14 ; 49.060.763 ;;; 8 ; 936.919 ; 44 ; 94.160.059 ; 66 ; 144.157.741 ; 39 ; 1.453.035.279 ; 35 ; 1.411.923.096 ; 74 ; 2.864.958.374 ; 140 ; 3.009.116.115 ;
19;59.588.111;BANCO VOTORANTIM S.A.; 111 ; 40.714.853 ; 749 ; 77.405.771 ; 188 ; 227.638.284 ; 723 ; 526.381.461 ; 1.771 ; 872.140.368 ; 223 ; 1.647.547.765 ; 355 ; 351.464.908 ; 578 ; 1.999.012.673 ; 2.349 ; 2.871.153.041 ;
20;28.195.667;BANCO ABC BRASIL S.A.; 130 ; 122.082.347 ; 398 ; 60.317.456 ; 159 ; 63.718.903 ; 350 ; 241.260.110 ; 1.037 ; 487.378.815 ; 204 ; 971.168.102 ; 376 ; 735.199.759 ; 580 ; 1.706.367.861 ; 1.617 ; 2.193.746.676 ;
21;53.518.684;BANCO HSBC S.A.; 10 ; 44.314.771 ; 216 ; 106.511.735 ; 54 ; 211.509.839 ; 111 ; 313.985.110 ; 391 ; 676.321.454 ; 140 ; 624.879.331 ; 156 ; 589.387.990 ; 296 ; 1.214.267.321 ; 687 ; 1.890.588.776 ;
22;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 246 ; 712.971.409 ; 223 ; 460.169.459 ; 469 ; 1.173.140.868 ; 21 ; 212.990.800 ; 31 ; 385.948.508 ; 52 ; 598.939.308 ; 521 ; 1.772.080.176 ;
23;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 95 ; 187.073.581 ; 190 ; 85.622.280 ; 282 ; 324.272.516 ; 416 ; 272.823.018 ; 983 ; 869.791.394 ; 71 ; 257.144.331 ; 117 ; 615.311.423 ; 188 ; 872.455.754 ; 1.171 ; 1.742.247.148 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 69 ; 72.692.003 ; 21 ; 10.187.118 ; 82 ; 203.988.019 ; 248 ; 188.123.340 ; 420 ; 474.990.479 ; 51 ; 575.743.692 ; 51 ; 603.250.629 ; 102 ; 1.178.994.320 ; 522 ; 1.653.984.799 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 735 ; 122.333.598 ; 2.138 ; 90.462.733 ; 1.546 ; 218.954.213 ; 4.378 ; 469.329.003 ; 8.797 ; 901.079.547 ; 1.610 ; 394.256.087 ; 4.632 ; 176.666.034 ; 6.242 ; 570.922.120 ; 15.039 ; 1.472.001.667 ;
26;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 12 ; 55.628.061 ; 18 ; 6.148.903 ; 23 ; 508.178.316 ; 117 ; 258.855.586 ; 170 ; 828.810.865 ; 9 ; 109.794.070 ; 23 ; 403.248.133 ; 32 ; 513.042.203 ; 202 ; 1.341.853.068 ;
