Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Fev/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;61.146.577;BANCO BARCLAYS S.A.;;;;; 247 ; 1.675.768.001 ; 248 ; 1.148.495.238 ; 495 ; 2.824.263.239 ; 251 ; 1.571.539.454 ; 392 ; 2.180.868.234 ; 643 ; 3.752.407.688 ; 1.138 ; 6.576.670.927 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 242 ; 507.711.896 ; 2.241 ; 561.059.519 ; 444 ; 551.811.745 ; 1.850 ; 961.189.208 ; 4.777 ; 2.581.772.369 ; 215 ; 2.036.163.977 ; 1.015 ; 1.460.033.374 ; 1.230 ; 3.496.197.351 ; 6.007 ; 6.077.969.720 ;;;;
17;61.820.817;BANCO PAULISTA S.A.; 92 ; 103.767.475 ; 687 ; 84.363.982 ; 1.260 ; 215.389.733 ; 3.356 ; 332.358.896 ; 5.395 ; 735.880.085 ; 2.015 ; 2.541.120.721 ; 13.646 ; 2.409.018.943 ; 15.661 ; 4.950.139.664 ; 21.056 ; 5.686.019.749 ;;;;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 287 ; 144.819.019 ; 978 ; 208.201.726 ; 996 ; 968.747.377 ; 914 ; 268.920.904 ; 3.175 ; 1.590.689.026 ; 496 ; 1.502.166.563 ; 542 ; 2.146.910.353 ; 1.038 ; 3.649.076.915 ; 4.213 ; 5.239.765.941 ;;;;
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 19 ; 101.949.860 ; 49 ; 62.658.448 ; 45 ; 35.627.671 ; 71 ; 26.689.909 ; 184 ; 226.925.888 ; 242 ; 2.058.604.616 ; 359 ; 2.055.614.849 ; 601 ; 4.114.219.465 ; 785 ; 4.341.145.354 ;;;;
20;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 74 ; 2.976.625 ; 616 ; 47.718.634 ; 371 ; 185.303.624 ; 1.645 ; 181.688.089 ; 2.706 ; 417.686.972 ; 2.417 ; 1.525.788.127 ; 17.179 ; 1.488.880.417 ; 19.596 ; 3.014.668.544 ; 22.302 ; 3.432.355.516 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 305 ; 135.151.015 ; 2.888 ; 304.547.590 ; 1.532 ; 723.667.190 ; 4.918 ; 426.710.308 ; 9.643 ; 1.590.076.103 ; 201 ; 455.009.299 ; 183 ; 574.125.462 ; 384 ; 1.029.134.762 ; 10.027 ; 2.619.210.864 ;;;;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 346 ; 99.381.662 ; 328 ; 7.866.280 ; 8.915 ; 766.548.896 ; 4.852 ; 351.814.392 ; 14.441 ; 1.225.611.229 ; 240 ; 391.156.503 ; 245 ; 896.624.227 ; 485 ; 1.287.780.729 ; 14.926 ; 2.513.391.958 ;;;;
23;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 340 ; 1.008.715.519 ; 222 ; 931.251.731 ; 562 ; 1.939.967.250 ; 10 ; 198.481.675 ; 15 ; 254.447.843 ; 25 ; 452.929.518 ; 587 ; 2.392.896.768 ;;;;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 113 ; 386.363.532 ; 22 ; 38.543.316 ; 127 ; 347.207.174 ; 261 ; 636.332.102 ; 523 ; 1.408.446.124 ; 26 ; 131.510.432 ; 37 ; 588.057.910 ; 63 ; 719.568.342 ; 586 ; 2.128.014.466 ;;;;
