Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Abril/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 125 ; 286.973.507 ; 748 ; 396.809.263 ; 175 ; 506.039.063 ; 334 ; 657.052.451 ; 1.382 ; 1.846.874.284 ; 498 ; 2.491.579.662 ; 505 ; 2.351.548.793 ; 1.003 ; 4.843.128.455 ; 2.385 ; 6.690.002.739 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 111 ; 5.921.028 ; 1.245 ; 85.286.013 ; 657 ; 131.280.590 ; 8.204 ; 285.446.868 ; 10.217 ; 507.934.499 ; 605 ; 2.983.828.675 ; 636 ; 2.739.108.925 ; 1.241 ; 5.722.937.600 ; 11.458 ; 6.230.872.099 ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 102 ; 69.675.196 ; 423 ; 226.943.664 ; 238 ; 1.690.215.479 ; 805 ; 1.355.118.037 ; 1.568 ; 3.341.952.376 ; 646 ; 1.166.505.256 ; 656 ; 1.352.002.219 ; 1.302 ; 2.518.507.475 ; 2.870 ; 5.860.459.851 ;
17;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 79 ; 246.950.545 ; 8 ; 2.989.281 ; 76 ; 238.222.370 ; 259 ; 609.411.526 ; 422 ; 1.097.573.722 ; 107 ; 2.040.482.663 ; 119 ; 2.167.118.258 ; 226 ; 4.207.600.921 ; 648 ; 5.305.174.643 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.052 ; 95.048.262 ; 6.495 ; 405.253.941 ; 7.841 ; 344.335.753 ; 20.312 ; 400.737.320 ; 35.700 ; 1.245.375.276 ; 170 ; 2.019.008.855 ; 174 ; 1.624.778.198 ; 344 ; 3.643.787.053 ; 36.044 ; 4.889.162.329 ;
19;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 268 ; 21.065.287 ; 1.040 ; 140.792.132 ; 36.050 ; 225.168.180 ; 85.815 ; 1.819.454.981 ; 123.173 ; 2.206.480.580 ; 1.018 ; 2.027.018.398 ; 2.868 ; 312.046.552 ; 3.886 ; 2.339.064.950 ; 127.059 ; 4.545.545.530 ;
20;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 70 ; 756.210.755 ; 140 ; 57.977.622 ; 227 ; 254.719.207 ; 314 ; 140.189.551 ; 751 ; 1.209.097.135 ; 232 ; 826.622.462 ; 260 ; 1.782.468.176 ; 492 ; 2.609.090.638 ; 1.243 ; 3.818.187.773 ;
21;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 396 ; 1.665.208.829 ; 403 ; 1.625.039.766 ; 799 ; 3.290.248.595 ; 5 ; 171.501.000 ; 3 ; 150.106.450 ; 8 ; 321.607.450 ; 807 ; 3.611.856.045 ;
22;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 150 ; 232.226.227 ; 1.274 ; 154.607.113 ; 1.581 ; 432.738.718 ; 2.988 ; 435.864.983 ; 5.993 ; 1.255.437.041 ; 141 ; 1.034.580.998 ; 158 ; 1.101.911.112 ; 299 ; 2.136.492.110 ; 6.292 ; 3.391.929.151 ;
23;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 110 ; 122.909.927 ; 164 ; 43.970.557 ; 91 ; 109.877.440 ; 126 ; 127.833.166 ; 491 ; 404.591.090 ; 179 ; 1.374.564.745 ; 175 ; 1.431.868.835 ; 354 ; 2.806.433.580 ; 845 ; 3.211.024.670 ;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 693 ; 101.990.665 ; 1.997 ; 84.490.887 ; 5.303 ; 521.611.066 ; 6.280 ; 756.916.500 ; 14.273 ; 1.465.009.118 ; 1.673 ; 701.137.732 ; 4.678 ; 489.242.882 ; 6.351 ; 1.190.380.614 ; 20.624 ; 2.655.389.732 ;
25;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 7 ; 359.906.725 ; 33 ; 14.832.076 ; 129 ; 540.888.422 ; 148 ; 682.906.922 ; 317 ; 1.598.534.145 ; 16 ; 450.000.000 ; 20 ; 555.000.000 ; 36 ; 1.005.000.000 ; 353 ; 2.603.534.145 ;
26;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 678 ; 73.009.668 ; 3.571 ; 228.433.319 ; 42.157 ; 416.248.448 ; 40.714 ; 575.093.832 ; 87.120 ; 1.292.785.267 ; 1.051 ; 624.116.742 ; 9.154 ; 283.939.822 ; 10.205 ; 908.056.564 ; 97.325 ; 2.200.841.831 ;
27;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 141 ; 161.121.922 ; 570 ; 112.482.467 ; 58 ; 48.476.703 ; 431 ; 154.700.971 ; 1.200 ; 476.782.063 ; 103 ; 820.382.104 ; 139 ; 673.023.944 ; 242 ; 1.493.406.048 ; 1.442 ; 1.970.188.111 ;
28;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 491 ; 98.733.139 ; 2.005 ; 210.853.898 ; 57.492 ; 343.633.115 ; 40.861 ; 215.187.008 ; 100.849 ; 868.407.160 ; 375 ; 333.611.465 ; 2.438 ; 585.500.934 ; 2.813 ; 919.112.399 ; 103.662 ; 1.787.519.559 ;
29;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 97 ; 284.551.360 ; 233 ; 259.191.637 ; 4.367 ; 101.808.437 ; 535 ; 174.168.138 ; 5.232 ; 819.719.572 ; 46 ; 522.486.221 ; 42 ; 437.855.574 ; 88 ; 960.341.795 ; 5.320 ; 1.780.061.367 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 6.181 ; 1.818.592 ; 16 ; 3.213 ; 1.180.594 ; 478.527.000 ; 1.387.925 ; 480.139.541 ; 2.574.716 ; 960.488.346 ; 990 ; 218.849.024 ; 993 ; 219.052.925 ; 1.983 ; 437.901.949 ; 2.576.699 ; 1.398.390.295 ;
31;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 20 ; 182.498.730 ; 1 ; 282.000 ; 28 ; 24.940.534 ; 59 ; 17.028.043 ; 108 ; 224.749.307 ; 71 ; 445.753.204 ; 85 ; 636.843.706 ; 156 ; 1.082.596.910 ; 264 ; 1.307.346.217 ;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 1.400.000 ; 1 ; 5.970.430 ; 28 ; 210.300.045 ; 100 ; 391.528.179 ; 130 ; 609.198.654 ; 19 ; 475.500.000 ; 4 ; 190.000.000 ; 23 ; 665.500.000 ; 153 ; 1.274.698.654 ;
33;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 51 ; 22.869.962 ; 63 ; 28.751.000 ; 48 ; 117.624.776 ; 225 ; 136.663.858 ; 387 ; 305.909.596 ; 67 ; 419.759.494 ; 74 ; 485.691.556 ; 141 ; 905.451.050 ; 528 ; 1.211.360.646 ;
