Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Ago/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.356 ; 2.943.898.093 ; 6.310 ; 1.701.406.726 ; 2.740 ; 5.699.793.681 ; 8.201 ; 5.607.659.833 ; 18.607 ; 15.952.758.332 ; 515 ; 8.610.054.085 ; 550 ; 9.847.912.334 ; 1.065 ; 18.457.966.420 ; 19.672 ; 34.410.724.752 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 4.291 ; 7.176.843.877 ; 3.509 ; 9.514.316.048 ; 7.801 ; 16.730.159.925 ; 312 ; 7.398.317.324 ; 236 ; 5.025.116.357 ; 548 ; 12.423.433.681 ; 8.349 ; 29.153.593.606 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 1.117 ; 2.388.936.886 ; 8.880 ; 1.314.306.533 ; 2.334 ; 3.386.189.643 ; 8.891 ; 5.612.079.695 ; 21.222 ; 12.701.512.757 ; 2.437 ; 7.505.988.389 ; 5.183 ; 6.427.251.904 ; 7.620 ; 13.933.240.293 ; 28.842 ; 26.634.753.050 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.728 ; 5.983.787.007 ; 1.550 ; 7.365.972.531 ; 3.278 ; 13.349.759.538 ; 184 ; 6.958.625.214 ; 193 ; 5.739.456.269 ; 377 ; 12.698.081.482 ; 3.655 ; 26.047.841.021 ;
19;58.160.789;BANCO SAFRA S.A.; 1.350 ; 785.558.845 ; 5.940 ; 621.700.605 ; 6.509 ; 1.944.660.606 ; 16.434 ; 2.391.086.358 ; 30.233 ; 5.743.006.414 ; 1.151 ; 6.547.643.771 ; 1.121 ; 6.134.038.784 ; 2.272 ; 12.681.682.554 ; 32.505 ; 18.424.688.969 ;
20;61.820.817;BANCO PAULISTA S.A.; 879 ; 470.597.068 ; 2.687 ; 192.023.414 ; 5.475 ; 810.058.092 ; 8.498 ; 868.735.079 ; 17.539 ; 2.341.413.652 ; 9.538 ; 4.383.950.927 ; 76.835 ; 4.637.181.953 ; 86.373 ; 9.021.132.880 ; 103.912 ; 11.362.546.532 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 108 ; 308.165.292 ; 651 ; 171.270.428 ; 504 ; 1.228.260.315 ; 518 ; 699.759.322 ; 1.781 ; 2.407.455.358 ; 912 ; 3.647.983.345 ; 1.037 ; 4.304.547.271 ; 1.949 ; 7.952.530.616 ; 3.730 ; 10.359.985.973 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.259 ; 1.407.586.176 ; 1.654 ; 69.454.368 ; 40.509 ; 609.382.175 ; 11.078 ; 2.375.059.440 ; 55.500 ; 4.461.482.160 ; 758 ; 2.607.642.360 ; 951 ; 2.148.267.403 ; 1.709 ; 4.755.909.763 ; 57.209 ; 9.217.391.924 ;
23;49.336.860;ING BANK N.V.; 237 ; 1.170.850.610 ; 51 ; 64.542.453 ; 89 ; 447.832.277 ; 584 ; 411.163.114 ; 961 ; 2.094.388.454 ; 122 ; 2.523.393.757 ; 152 ; 3.532.634.337 ; 274 ; 6.056.028.094 ; 1.235 ; 8.150.416.548 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 69 ; 608.887.875 ; 3 ; 6.600.842 ; 156 ; 465.976.078 ; 412 ; 100.589.164 ; 640 ; 1.182.053.960 ; 473 ; 2.542.299.180 ; 520 ; 3.510.739.359 ; 993 ; 6.053.038.539 ; 1.633 ; 7.235.092.499 ;
