Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.706 ; 2.250.682.838 ; 19.333 ; 2.052.259.666 ; 20.990 ; 4.722.177.164 ; 31.557 ; 4.845.494.430 ; 77.586 ; 13.870.614.098 ; 769 ; 11.152.318.135 ; 903 ; 13.106.440.988 ; 1.672 ; 24.258.759.123 ; 79.258 ; 38.129.373.221 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.127 ; 1.896.383.979 ; 7.588 ; 1.728.859.164 ; 6.247 ; 7.180.046.261 ; 9.244 ; 6.120.630.369 ; 24.206 ; 16.925.919.773 ; 201 ; 3.055.328.087 ; 219 ; 4.101.467.665 ; 420 ; 7.156.795.752 ; 24.626 ; 24.082.715.525 ;;;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 241 ; 835.127.106 ; 1.870 ; 496.463.261 ; 1.081 ; 5.012.987.728 ; 1.802 ; 4.631.066.325 ; 4.994 ; 10.975.644.420 ; 242 ; 5.231.426.098 ; 197 ; 4.710.664.555 ; 439 ; 9.942.090.653 ; 5.433 ; 20.917.735.073 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.095 ; 1.808.295.631 ; 17.393 ; 1.511.644.636 ; 33.447 ; 2.915.592.987 ; 32.816 ; 5.753.715.879 ; 90.751 ; 11.989.249.133 ; 349 ; 4.723.467.741 ; 355 ; 3.806.929.852 ; 704 ; 8.530.397.593 ; 91.455 ; 20.519.646.726 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 6.790 ; 3.325.154.634 ; 20.887 ; 3.121.030.345 ; 46.040 ; 2.742.860.275 ; 28.290 ; 3.704.647.645 ; 102.007 ; 12.893.692.899 ; 633 ; 3.580.773.037 ; 594 ; 2.630.822.195 ; 1.227 ; 6.211.595.232 ; 103.234 ; 19.105.288.131 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 7.086 ; 3.353.819.768 ; 11.299 ; 2.310.263.555 ; 15.117 ; 1.317.869.094 ; 18.234 ; 2.185.681.051 ; 51.736 ; 9.167.633.468 ; 320 ; 1.635.552.442 ; 328 ; 2.957.591.094 ; 648 ; 4.593.143.536 ; 52.384 ; 13.760.777.004 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 64 ; 83.608.792 ; 389 ; 174.189.118 ; 224 ; 1.830.034.790 ; 486 ; 2.048.760.700 ; 1.163 ; 4.136.593.401 ; 157 ; 3.816.384.459 ; 175 ; 4.774.800.548 ; 332 ; 8.591.185.007 ; 1.495 ; 12.727.778.408 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 15 ; 58.899.788 ; 47 ; 4.707.109 ; 391 ; 386.799.799 ; 529 ; 272.613.068 ; 982 ; 723.019.763 ; 119 ; 4.842.436.377 ; 96 ; 4.141.858.741 ; 215 ; 8.984.295.118 ; 1.197 ; 9.707.314.880 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 91 ; 465.188.058 ; 679 ; 178.883.654 ; 366 ; 2.741.530.221 ; 1.372 ; 2.631.886.000 ; 2.508 ; 6.017.487.934 ; 192 ; 1.268.442.519 ; 137 ; 1.457.684.848 ; 329 ; 2.726.127.367 ; 2.837 ; 8.743.615.300 ;;;;
10;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 541 ; 1.525.546.126 ; 432 ; 2.279.623.395 ; 973 ; 3.805.169.521 ; 81 ; 2.396.928.440 ; 46 ; 1.238.394.112 ; 127 ; 3.635.322.552 ; 1.100 ; 7.440.492.073 ;;;;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 125 ; 405.482.243 ; 987 ; 217.936.072 ; 885 ; 1.915.625.483 ; 1.470 ; 1.664.217.688 ; 3.467 ; 4.203.261.486 ; 447 ; 1.267.335.255 ; 446 ; 1.655.933.276 ; 893 ; 2.923.268.531 ; 4.360 ; 7.126.530.017 ;;;;
