Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Abr/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
14;61.146.577;BANCO BARCLAYS S.A.; 6 ; 62.708.597 ; 18 ; 55.396.600 ; 703 ; 4.633.411.753 ; 825 ; 3.890.336.866 ; 1.552 ; 8.641.853.817 ; 558 ; 4.970.263.306 ; 703 ; 5.651.677.218 ; 1.261,0 ; 10.621.940.523,9 ; 2.813 ; 19.263.794.341 ;
15;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 1.979 ; 7.918.904.391 ; 1.908 ; 4.259.503.184 ; 3.888 ; 12.178.479.982 ; 61 ; 1.375.754.436 ; 223 ; 5.244.771.814 ; 284,0 ; 6.620.526.250,2 ; 4.172 ; 18.799.006.232 ;
16;61.820.817;BANCO PAULISTA S.A.; 355 ; 28.695.533 ; 1.663 ; 131.504.272 ; 5.057 ; 313.100.363 ; 9.723 ; 882.024.480 ; 16.798 ; 1.355.324.648 ; 5.746 ; 8.295.067.043 ; 37.431 ; 7.608.103.928 ; 43.177,0 ; 15.903.170.971,0 ; 59.975 ; 17.258.495.619 ;
17;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.576.734 ; 2.516 ; 1.731.398.284 ; 5.715 ; 1.921.543.491 ; 17.379 ; 6.451.070.163 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541,1 ; 18.039 ; 15.583.052.704 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 603 ; 290.195.021 ; 1.929 ; 460.227.736 ; 1.880 ; 1.027.310.686 ; 1.806 ; 449.802.678 ; 6.218 ; 2.227.536.122 ; 1.270 ; 5.146.796.267 ; 1.591 ; 5.539.018.958 ; 2.861,0 ; 10.685.815.225,2 ; 9.079 ; 12.913.351.347 ;
19;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 59 ; 180.477.585 ; 899 ; 125.313.094 ; 582 ; 2.114.027.600 ; 1.090 ; 2.346.865.953 ; 2.630 ; 4.766.684.232 ; 569 ; 3.491.638.869 ; 593 ; 3.391.285.846 ; 1.162,0 ; 6.882.924.715,3 ; 3.792 ; 11.649.608.948 ;
20;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 32 ; 78.245.407 ;;; 32 ; 78.245.407 ; 14 ; 5.250.000.000 ; 14 ; 5.250.000.000 ; 28,0 ; 10.500.000.000,0 ; 60 ; 10.578.245.407 ;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 774 ; 3.244.415.768 ; 816 ; 3.337.475.741 ; 1.596 ; 6.612.876.118 ; 33 ; 1.446.762.796 ; 42 ; 1.629.183.465 ; 75,0 ; 3.075.946.261,0 ; 1.671 ; 9.688.822.379 ;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 115 ; 229.852.408 ;;; 162 ; 3.561.680.197 ; 214 ; 604.872.766 ; 491 ; 4.396.405.370 ; 15 ; 927.524.423 ; 50 ; 3.944.467.250 ; 65,0 ; 4.871.991.672,5 ; 556 ; 9.268.397.043 ;
23;58.160.789;BANCO SAFRA S.A.; 924 ; 908.121.504 ; 3.830 ; 732.028.718 ; 3.158 ; 745.172.632 ; 12.018 ; 1.077.064.114 ; 19.930 ; 3.462.386.968 ; 548 ; 2.369.073.803 ; 499 ; 1.734.158.783 ; 1.047,0 ; 4.103.232.586,0 ; 20.977 ; 7.565.619.554 ;
24;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 84 ; 2.461.744 ; 1.774 ; 97.639.981 ; 531 ; 37.077.561 ; 2.322 ; 106.132.266 ; 4.711 ; 243.311.552 ; 4.457 ; 3.560.955.977 ; 39.881 ; 3.377.759.002 ; 44.338,0 ; 6.938.714.979,5 ; 49.049 ; 7.182.026.532 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 139 ; 785.741.696 ; 137 ; 61.003.203 ; 228 ; 539.557.973 ; 798 ; 453.074.131 ; 1.302 ; 1.839.377.002 ; 130 ; 1.094.931.447 ; 152 ; 1.853.004.188 ; 282,0 ; 2.947.935.634,4 ; 1.584 ; 4.787.312.636 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 112 ; 3.175.831 ; 609 ; 23.564.815 ; 13.437 ; 241.900.905 ; 12.561 ; 748.148.669 ; 26.719 ; 1.016.790.221 ; 1.468 ; 1.911.011.234 ; 25.986 ; 1.320.115.651 ; 27.454,0 ; 3.231.126.885,2 ; 54.173 ; 4.247.917.106 ;
27;62.232.889;BANCO DAYCOVAL S.A.; 469 ; 167.540.876 ; 1.745 ; 259.857.097 ; 2.142 ; 605.623.756 ; 13.002 ; 407.059.339 ; 17.358 ; 1.440.081.068 ; 1.131 ; 1.291.833.150 ; 1.417 ; 1.359.486.615 ; 2.548,0 ; 2.651.319.765,5 ; 19.906 ; 4.091.400.834 ;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 471 ; 526.778.809 ; 1.323 ; 428.548.381 ; 1.161 ; 875.560.040 ; 1.795 ; 271.903.131 ; 4.750 ; 2.102.790.361 ; 185 ; 552.656.325 ; 237 ; 1.241.302.879 ; 422,0 ; 1.793.959.204,1 ; 5.172 ; 3.896.749.565 ;
29;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 59 ; 188.143.510 ; 29 ; 7.234.863 ; 57 ; 305.127.155 ; 231 ; 43.889.368 ; 376 ; 544.394.897 ; 203 ; 1.168.595.867 ; 227 ; 1.677.613.488 ; 430,0 ; 2.846.209.354,3 ; 806 ; 3.390.604.251 ;
30;28.195.667;BANCO ABC BRASIL S.A.; 220 ; 181.376.536 ; 464 ; 64.649.057 ; 79 ; 101.776.273 ; 966 ; 153.231.015 ; 1.729 ; 501.032.881 ; 42 ; 793.231.582 ; 79 ; 1.238.462.459 ; 121,0 ; 2.031.694.041,2 ; 1.850 ; 2.532.726.922 ;
31;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 45 ; 275.344.676 ; 28 ; 107.680.929 ; 69 ; 21.006.288 ; 232 ; 149.966.124 ; 374 ; 553.998.016 ; 117 ; 972.284.626 ; 162 ; 982.709.765 ; 279,0 ; 1.954.994.391,7 ; 653 ; 2.508.992.408 ;
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 44 ; 967.150.000 ; 4 ; 174.200.000 ; 48 ; 1.141.350.000 ; 4 ; 174.200.000 ; 44 ; 967.150.000 ; 48,0 ; 1.141.350.000,0 ; 96 ; 2.282.700.000 ;
33;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 6 ; 991.777 ; 12 ; 933.770 ; 51 ; 27.376.480 ; 118 ; 18.642.714 ; 187 ; 47.944.742 ; 131 ; 1.062.630.978 ; 198 ; 1.100.886.683 ; 329,0 ; 2.163.517.661,0 ; 516 ; 2.211.462.403 ;
34;00.360.305;CAIXA ECONOMICA FEDERAL; 512 ; 55.728.009 ; 782 ; 26.364.733 ; 17.385 ; 214.658.903 ; 32.679 ; 362.999.768 ; 51.358 ; 659.751.412 ; 427 ; 800.699.376 ; 407 ; 670.078.799 ; 834,0 ; 1.470.778.175,1 ; 52.192 ; 2.130.529.588 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 459 ; 581.996.600 ; 464 ; 249.963.415 ; 923 ; 831.960.015 ; 33 ; 477.399.019 ; 206 ; 810.484.071 ; 239,0 ; 1.287.883.090,5 ; 1.162 ; 2.119.843.105 ;
36;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 11 ; 8.463.689 ; 3 ; 59.709 ; 536 ; 292.444.913 ; 512 ; 115.046.627 ; 1.062 ; 416.014.937 ; 188 ; 686.159.727 ; 204 ; 934.884.431 ; 392,0 ; 1.621.044.158,3 ; 1.454 ; 2.037.059.096 ;
37;49.336.860;ING BANK N.V.; 104 ; 502.090.263 ; 4 ; 26.858.299 ; 43 ; 344.902.346 ; 294 ; 86.283.917 ; 445 ; 960.134.825 ; 13 ; 144.181.468 ; 55 ; 856.690.098 ; 68,0 ; 1.000.871.566,5 ; 513 ; 1.961.006.391 ;
38;15.114.366;BANCO BBM S/A; 66 ; 47.918.085 ; 18 ; 60.493.773 ; 61 ; 62.699.251 ; 160 ; 106.168.958 ; 305 ; 277.280.067 ; 88 ; 900.663.635 ; 94 ; 682.661.375 ; 182,0 ; 1.583.325.010,7 ; 487 ; 1.860.605.077 ;
39;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 32 ; 15.366.662 ; 21 ; 942.994 ; 15 ; 36.304 ; 18 ; 115.140 ; 86 ; 16.461.101 ; 199 ; 889.130.000 ; 223 ; 901.860.000 ; 422,0 ; 1.790.990.000,0 ; 508 ; 1.807.451.101 ;
40;13.059.145;BEXS BANCO DE C∂MBIO S/A; 86 ; 206.340.357 ; 560 ; 29.145.034 ; 509 ; 62.709.684 ; 1.348 ; 88.553.503 ; 2.503 ; 386.748.578 ; 1.130 ; 483.052.541 ; 1.171 ; 634.148.680 ; 2.301,0 ; 1.117.201.220,2 ; 4.804 ; 1.503.949.798 ;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.884 ; 356.400.612 ; 4.961 ; 320.240.510 ; 1.421 ; 106.031.095 ; 6.324 ; 111.558.261 ; 15.590 ; 894.230.478 ; 128 ; 234.202.280 ; 119 ; 263.002.603 ; 247,0 ; 497.204.883,6 ; 15.837 ; 1.391.435.362 ;
42;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 596 ; 338.099.052 ; 783 ; 109.100.447 ; 193 ; 72.694.667 ; 1.054 ; 183.320.301 ; 2.626 ; 703.214.468 ; 139 ; 318.161.918 ; 135 ; 351.612.854 ; 274,0 ; 669.774.771,9 ; 2.900 ; 1.372.989.240 ;
43;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 1.020 ; 2.984.182 ; 12.745 ; 94.591.422 ; 13.766 ; 97.661.634 ; 2.660 ; 678.553.839 ; 701 ; 587.050.391 ; 3.361,0 ; 1.265.604.229,9 ; 17.127 ; 1.363.265.864 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 138 ; 4.060.799 ; 1.651 ; 45.165.166 ; 2.157 ; 20.657.259 ; 6.199 ; 381.548.563 ; 10.145 ; 451.431.788 ; 12.576 ; 585.007.473 ; 682 ; 182.976.488 ; 13.258,0 ; 767.983.961,1 ; 23.403 ; 1.219.415.749 ;
45;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 31 ; 2.147.853 ; 99 ; 2.030.940 ; 141 ; 32.786.250 ; 392 ; 34.311.172 ; 663 ; 71.276.215 ; 270 ; 547.947.250 ; 313 ; 550.705.540 ; 583,0 ; 1.098.652.790,0 ; 1.246 ; 1.169.929.005 ;
46;71.027.866;BANCO BONSUCESSO S.A.;;; 1 ; 1.680 ; 195 ; 1.555.268 ; 718 ; 17.837.096 ; 914 ; 19.394.044 ; 473 ; 527.747.808 ; 1.651 ; 510.742.801 ; 2.124,0 ; 1.038.490.608,9 ; 3.038 ; 1.057.884.653 ;
47;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 28 ; 185.366.584 ; 40 ; 92.346.333 ; 27 ; 184.729.051 ; 164 ; 8.490.815 ; 259 ; 470.932.783 ; 25 ; 114.143.181 ; 49 ; 383.368.444 ; 74,0 ; 497.511.625,7 ; 333 ; 968.444.408 ;
48;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 21 ; 660.550 ; 71 ; 1.182.007 ; 1.100 ; 13.758.942 ; 3.675 ; 74.583.788 ; 4.867 ; 90.185.287 ; 6.727 ; 456.463.489 ; 1.536 ; 395.995.299 ; 8.263,0 ; 852.458.788,4 ; 13.130 ; 942.644.075 ;
49;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 11 ; 27.754 ; 4.529 ; 39.267.050 ; 22.163 ; 315.051.432 ; 26.707 ; 354.362.423 ; 8.514 ; 424.755.726 ; 527 ; 148.066.680 ; 9.041,0 ; 572.822.406,0 ; 35.748 ; 927.184.829 ;
50;62.144.175;BANCO PINE S.A.; 46 ; 93.406.583 ; 229 ; 103.337.045 ; 33 ; 117.152.120 ; 303 ; 135.235.953 ; 611 ; 449.131.702 ; 18 ; 239.827.094 ; 17 ; 234.816.893 ; 35,0 ; 474.643.987,0 ; 646 ; 923.775.689 ;
