Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2018;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.672 ; 1.550.249.779 ; 17.581 ; 1.777.391.676 ; 18.833 ; 3.902.057.215 ; 25.198 ; 4.538.623.870 ; 66.284 ; 11.768.322.540 ; 491 ; 8.300.678.977 ; 472 ; 7.628.292.713 ; 963 ; 15.928.971.690 ; 67.247 ; 27.697.294.230 ;;;;
2;60.746.948;BANCO BRADESCO S.A.; 6.596 ; 2.715.159.194 ; 17.081 ; 2.348.696.825 ; 31.701 ; 5.287.348.363 ; 24.592 ; 5.721.574.325 ; 79.970 ; 16.072.778.707 ; 670 ; 1.902.531.687 ; 710 ; 2.284.903.983 ; 1.380 ; 4.187.435.670 ; 81.350 ; 20.260.214.377 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.335 ; 1.774.211.530 ; 5.858 ; 1.582.425.581 ; 6.434 ; 6.184.721.177 ; 9.591 ; 6.817.945.575 ; 23.218 ; 16.359.303.863 ; 257 ; 1.903.215.882 ; 266 ; 1.774.681.883 ; 523 ; 3.677.897.764 ; 23.741 ; 20.037.201.627 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 186 ; 595.375.008 ; 2.262 ; 473.022.397 ; 856 ; 3.711.170.622 ; 1.648 ; 3.892.333.930 ; 4.952 ; 8.671.901.956 ; 213 ; 2.132.001.503 ; 244 ; 2.699.093.091 ; 457 ; 4.831.094.594 ; 5.409 ; 13.502.996.550 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 6.449 ; 1.141.142.467 ; 12.898 ; 1.097.335.507 ; 37.222 ; 2.739.769.421 ; 27.452 ; 3.343.085.130 ; 84.021 ; 8.321.332.525 ; 229 ; 2.369.361.071 ; 194 ; 1.974.262.168 ; 423 ; 4.343.623.239 ; 84.444 ; 12.664.955.764 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 6.697 ; 2.827.912.920 ; 7.579 ; 1.200.645.071 ; 17.137 ; 1.599.457.971 ; 32.354 ; 2.403.043.998 ; 63.767 ; 8.031.059.960 ; 305 ; 396.233.936 ; 331 ; 2.068.694.793 ; 636 ; 2.464.928.728 ; 64.403 ; 10.495.988.688 ;;;;
7;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 161 ; 81.309.766 ; 410 ; 60.335.805 ; 503 ; 102.938.017 ; 453 ; 208.688.576 ; 1.527 ; 453.272.165 ; 573 ; 3.772.751.870 ; 562 ; 3.677.246.590 ; 1.135 ; 7.449.998.459 ; 2.662 ; 7.903.270.624 ;;;;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 130 ; 594.206.001 ; 397 ; 248.924.023 ; 344 ; 2.159.734.605 ; 1.433 ; 1.860.945.468 ; 2.304 ; 4.863.810.097 ; 36 ; 897.616.129 ; 60 ; 1.184.388.799 ; 96 ; 2.082.004.927 ; 2.400 ; 6.945.815.024 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 198 ; 306.032.152 ; 1.346 ; 267.743.411 ; 746 ; 1.449.600.643 ; 1.575 ; 1.417.442.144 ; 3.865 ; 3.440.818.350 ; 456 ; 1.571.050.376 ; 460 ; 1.480.788.468 ; 916 ; 3.051.838.844 ; 4.781 ; 6.492.657.194 ;;;;
