Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Out/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
15;59.588.111;BANCO VOTORANTIM S.A.; 1.501 ; 3.144.094.310 ; 13.986 ; 3.372.451.822 ; 2.740 ; 4.872.791.336 ; 11.085 ; 7.309.958.714 ; 29.312 ; 18.699.296.182 ; 1.829 ; 11.061.859.894 ; 5.124 ; 8.346.940.256 ; 6.953 ; 19.408.800.150 ; 36.265 ; 38.108.096.332 ;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.551 ; 1.066.451.736 ; 5.220 ; 935.749.900 ; 5.033 ; 5.101.342.459 ; 5.006 ; 2.778.027.431 ; 16.810 ; 9.881.571.526 ; 3.238 ; 8.536.504.562 ; 3.220 ; 10.980.475.937 ; 6.458 ; 19.516.980.499 ; 23.268 ; 29.398.552.025 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.863 ; 8.778.450.033 ; 1.798 ; 8.262.103.117 ; 3.661 ; 17.040.553.150 ; 101 ; 5.050.951.319 ; 118 ; 5.208.572.341 ; 219 ; 10.259.523.660 ; 3.880 ; 27.300.076.810 ;
18;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 88 ; 232.702.088 ;;; 88 ; 232.702.088 ; 43 ; 12.230.000.000 ; 43 ; 12.230.000.000 ; 86 ; 24.460.000.000 ; 174 ; 24.692.702.088 ;
19;61.146.577;BANCO BARCLAYS S.A.;;; 29 ; 14.722.126 ; 1.104 ; 5.384.172.012 ; 1.238 ; 5.022.825.756 ; 2.371 ; 10.421.719.894 ; 1.373 ; 6.863.854.811 ; 1.914 ; 7.230.475.956 ; 3.287 ; 14.094.330.767 ; 5.658 ; 24.516.050.661 ;
20;58.160.789;BANCO SAFRA S.A.; 1.990 ; 761.147.775 ; 11.247 ; 1.213.599.804 ; 8.142 ; 2.661.398.904 ; 23.398 ; 4.079.848.852 ; 44.777 ; 8.715.995.336 ; 1.137 ; 7.264.760.919 ; 1.023 ; 5.626.232.556 ; 2.160 ; 12.890.993.475 ; 46.937 ; 21.606.988.810 ;
21;61.820.817;BANCO PAULISTA S.A.; 731 ; 621.410.848 ; 3.625 ; 293.373.016 ; 6.533 ; 1.128.609.059 ; 16.748 ; 1.290.552.769 ; 27.637 ; 3.333.945.691 ; 11.012 ; 8.636.840.537 ; 76.428 ; 8.765.423.965 ; 87.440 ; 17.402.264.502 ; 115.077 ; 20.736.210.193 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.391 ; 1.274.175.269 ; 1.843 ; 110.050.407 ; 48.022 ; 6.175.994.842 ; 18.913 ; 3.229.428.306 ; 71.169 ; 10.789.648.825 ; 1.034 ; 1.463.055.510 ; 1.228 ; 5.564.941.719 ; 2.262 ; 7.027.997.228 ; 73.431 ; 17.817.646.053 ;
23;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 144 ; 959.202.635 ; 312 ; 306.825.655 ; 242 ; 311.961.398 ; 486 ; 411.806.980 ; 1.184 ; 1.989.796.668 ; 1.179 ; 6.450.091.555 ; 1.595 ; 7.144.814.420 ; 2.774 ; 13.594.905.975 ; 3.958 ; 15.584.702.643 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 114 ; 695.604.871 ; 14 ; 4.661.568 ; 162 ; 557.710.390 ; 495 ; 139.343.331 ; 785 ; 1.397.320.160 ; 930 ; 6.269.399.236 ; 978 ; 7.293.181.194 ; 1.908 ; 13.562.580.430 ; 2.693 ; 14.959.900.590 ;
