Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Março/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 375 ; 1.263.142.163 ; 435 ; 2.612.299.785 ; 810 ; 3.875.441.948 ; 85 ; 1.791.812.020 ; 25 ; 440.710.539 ; 110 ; 2.232.522.559 ; 920 ; 6.107.964.507 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 882 ; 230.579.518 ; 5.826 ; 271.693.349 ; 6.237 ; 358.326.360 ; 20.841 ; 1.025.806.727 ; 33.786 ; 1.886.405.954 ; 193 ; 2.444.739.961 ; 196 ; 1.742.925.308 ; 389 ; 4.187.665.269 ; 34.175 ; 6.074.071.223 ;
16;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 42 ; 165.926.534 ; 3 ; 760.629 ; 69 ; 162.847.869 ; 160 ; 158.839.339 ; 274 ; 488.374.371 ; 115 ; 2.772.165.545 ; 116 ; 2.741.057.805 ; 231 ; 5.513.223.350 ; 505 ; 6.001.597.721 ;
17;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 334 ; 175.752.482 ; 981 ; 141.540.162 ; 24.181 ; 2.374.828.170 ; 16.880 ; 238.465.079 ; 42.376 ; 2.930.585.893 ; 289 ; 469.713.613 ; 374 ; 2.581.197.998 ; 663 ; 3.050.911.611 ; 43.039 ; 5.981.497.504 ;
18;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 17 ; 884.958.464 ; 21 ; 48.352.651 ; 153 ; 1.342.535.254 ; 175 ; 1.537.556.954 ; 366 ; 3.813.403.323 ; 9 ; 580.358.204 ; 34 ; 975.357.940 ; 43 ; 1.555.716.144 ; 409 ; 5.369.119.467 ;
19;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 88 ; 95.951.666 ; 163 ; 54.521.598 ; 68 ; 240.043.092 ; 148 ; 176.228.930 ; 467 ; 566.745.286 ; 176 ; 2.281.144.112 ; 179 ; 2.375.874.022 ; 355 ; 4.657.018.134 ; 822 ; 5.223.763.420 ;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 88 ; 95.227.059 ; 301 ; 318.146.048 ; 249 ; 1.272.216.329 ; 391 ; 497.250.558 ; 1.029 ; 2.182.839.994 ; 553 ; 1.009.799.527 ; 576 ; 1.788.002.301 ; 1.129 ; 2.797.801.828 ; 2.158 ; 4.980.641.822 ;
21;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 287 ; 25.863.879 ; 1.147 ; 156.374.689 ; 32.404 ; 226.281.188 ; 79.739 ; 1.785.968.771 ; 113.577 ; 2.194.488.527 ; 938 ; 1.978.528.456 ; 2.705 ; 286.140.057 ; 3.643 ; 2.264.668.513 ; 117.220 ; 4.459.157.040 ;
22;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 338 ; 1.867.453.835 ; 353 ; 1.914.894.562 ; 691 ; 3.782.348.397 ; 8 ; 145.108.610 ; 14 ; 306.000.000 ; 22 ; 451.108.610 ; 713 ; 4.233.457.007 ;
23;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 85 ; 3.725.273 ; 1.228 ; 80.977.230 ; 521 ; 102.358.973 ; 7.576 ; 205.876.316 ; 9.410 ; 392.937.792 ; 525 ; 1.999.258.417 ; 538 ; 1.819.471.176 ; 1.063 ; 3.818.729.593 ; 10.473 ; 4.211.667.385 ;
