Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.381 ; 1.814.997.227 ; 4.089 ; 2.503.854.887 ; 2.914 ; 8.573.328.753 ; 4.777 ; 5.534.582.265 ; 13.161 ; 18.426.763.132 ; 6.849 ; 17.930.821.598 ; 7.016 ; 20.448.719.125 ; 13.865 ; 38.379.540.723 ; 27.026 ; 56.806.303.855 ;;
16;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 3.903 ; 25.679.146.632 ; 4.289 ; 25.155.348.219 ; 8.192 ; 50.834.494.851 ; 147 ; 2.382.902.340 ; 130 ; 2.919.780.007 ; 277 ; 5.302.682.347 ; 8.469 ; 56.137.177.198 ;;
17;53.518.684;BANCO HSBC S.A.; 493 ; 4.423.153.940 ; 989 ; 584.046.532 ; 2.379 ; 5.144.217.630 ; 3.722 ; 3.813.223.228 ; 7.583 ; 13.964.641.330 ; 1.669 ; 11.728.598.977 ; 1.841 ; 16.876.619.193 ; 3.510 ; 28.605.218.170 ; 11.093 ; 42.569.859.500 ;;
18;31.872.495;BANCO C6 S.A.; 1.036 ; 1.976.946.428 ; 9.685 ; 1.757.259.590 ; 65.736 ; 6.467.403.688 ; 497.396 ; 8.589.883.563 ; 573.853 ; 18.791.493.269 ; 1.439 ; 12.659.588.837 ; 2.013 ; 10.798.562.116 ; 3.452 ; 23.458.150.953 ; 577.305 ; 42.249.644.222 ;;
19;33.264.668;BANCO XP S.A.; 5.344 ; 2.182.129.137 ; 40.039 ; 5.260.588.684 ; 51.343 ; 5.153.535.847 ; 218.575 ; 9.353.947.080 ; 315.301 ; 21.950.200.748 ; 1.398 ; 13.766.911.598 ; 1.374 ; 6.295.430.739 ; 2.772 ; 20.062.342.337 ; 318.073 ; 42.012.543.085 ;;
20;07.679.404;BANCO TOPÁZIO S.A.; 1.854 ; 435.520.883 ; 4.256 ; 245.161.788 ; 335.167 ; 1.860.754.407 ; 879.193 ; 15.634.568.609 ; 1.220.470 ; 18.176.005.687 ; 12.287 ; 17.077.894.540 ; 39.317 ; 3.499.399.549 ; 51.604 ; 20.577.294.089 ; 1.272.074 ; 38.753.299.776 ;;
21;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 1.408 ; 100.080.274 ; 12.196 ; 1.552.091.358 ; 4.836 ; 940.979.020 ; 106.782 ; 1.305.199.764 ; 125.222 ; 3.898.350.416 ; 5.041 ; 17.527.638.994 ; 5.902 ; 15.713.749.060 ; 10.943 ; 33.241.388.054 ; 136.165 ; 37.139.738.470 ;;
22;02.801.938;BANCO MORGAN STANLEY S.A.; 138 ; 2.122.353.308 ; 715 ; 932.143.911 ; 1.900 ; 11.175.593.351 ; 2.350 ; 7.565.058.826 ; 5.103 ; 21.795.149.396 ; 141 ; 4.705.111.408 ; 316 ; 9.408.195.723 ; 457 ; 14.113.307.131 ; 5.560 ; 35.908.456.527 ;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 881 ; 3.013.784.281 ; 78 ; 61.065.199 ; 984 ; 4.396.286.599 ; 2.575 ; 4.842.956.054 ; 4.518 ; 12.314.092.133 ; 921 ; 9.550.924.918 ; 1.060 ; 12.322.852.989 ; 1.981 ; 21.873.777.907 ; 6.499 ; 34.187.870.040 ;;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 979 ; 1.595.158.784 ; 2.235 ; 668.023.063 ; 935 ; 1.621.897.057 ; 1.938 ; 1.824.897.360 ; 6.087 ; 5.709.976.264 ; 1.501 ; 13.210.929.703 ; 1.673 ; 14.483.792.948 ; 3.174 ; 27.694.722.651 ; 9.261 ; 33.404.698.915 ;;
25;78.632.767;BANCO OURINVEST S.A.; 7.607 ; 944.898.972 ; 31.775 ; 1.729.310.315 ; 363.531 ; 5.052.604.729 ; 536.485 ; 9.409.704.449 ; 939.398 ; 17.136.518.465 ; 11.480 ; 9.389.139.497 ; 144.605 ; 3.948.083.869 ; 156.085 ; 13.337.223.366 ; 1.095.483 ; 30.473.741.831 ;;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 4.667 ; 949.777.391 ; 11.284 ; 851.366.397 ; 64.234 ; 7.126.970.573 ; 90.245 ; 10.094.839.540 ; 170.430 ; 19.022.953.901 ; 18.967 ; 6.983.278.138 ; 59.591 ; 4.126.605.214 ; 78.558 ; 11.109.883.352 ; 248.988 ; 30.132.837.253 ;;
