Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Fev/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 922 ; 1.687.757.986 ; 674 ; 2.464.813.655 ; 1.597 ; 4.191.571.640 ; 55 ; 1.561.066.660 ; 48 ; 1.054.773.800 ; 103 ; 2.615.840.460 ; 1.700 ; 6.807.412.100 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 182 ; 763.342.402 ; 334 ; 1.836.707.146 ; 516 ; 2.600.049.548 ; 43 ; 1.800.490.795 ; 26 ; 657.391.955 ; 69 ; 2.457.882.750 ; 585 ; 5.057.932.298 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 282 ; 83.054.603 ; 815 ; 137.983.918 ; 1.058 ; 548.658.881 ; 936 ; 251.603.583 ; 3.091 ; 1.021.300.984 ; 639 ; 1.818.308.520 ; 611 ; 2.069.935.544 ; 1.250 ; 3.888.244.064 ; 4.341 ; 4.909.545.048 ;
19;58.160.789;BANCO SAFRA S.A.; 287 ; 78.196.808 ; 1.071 ; 121.399.555 ; 1.470 ; 133.264.865 ; 3.497 ; 650.259.250 ; 6.325 ; 983.120.479 ; 230 ; 1.785.878.700 ; 205 ; 1.103.967.728 ; 435 ; 2.889.846.428 ; 6.760 ; 3.872.966.906 ;
20;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 22 ; 40.173.181 ; 193 ; 64.028.369 ; 67 ; 230.569.604 ; 112 ; 177.725.007 ; 394 ; 512.496.161 ; 166 ; 832.163.935 ; 229 ; 874.663.436 ; 395 ; 1.706.827.371 ; 789 ; 2.219.323.532 ;
21;61.820.817;BANCO PAULISTA S.A.; 202 ; 109.229.565 ; 625 ; 47.918.438 ; 1.325 ; 197.834.967 ; 1.184 ; 133.090.285 ; 3.336 ; 488.073.254 ; 1.856 ; 632.289.643 ; 11.941 ; 780.624.721 ; 13.797 ; 1.412.914.364 ; 17.133 ; 1.900.987.618 ;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 95 ; 207.496.294 ;;; 135 ; 87.199.958 ; 125 ; 52.066.536 ; 355 ; 346.762.788 ; 13 ; 238.454.118 ; 19 ; 1.150.582.984 ; 32 ; 1.389.037.103 ; 387 ; 1.735.799.891 ;
23;00.360.305;CAIXA ECONOMICA FEDERAL; 494 ; 217.112.123 ; 296 ; 11.245.307 ; 9.879 ; 76.374.152 ; 2.274 ; 484.747.730 ; 12.943 ; 789.479.311 ; 145 ; 542.350.964 ; 178 ; 336.136.209 ; 323 ; 878.487.173 ; 13.266 ; 1.667.966.484 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 13 ; 124.642.362 ;;; 46 ; 76.809.979 ; 68 ; 21.006.420 ; 127 ; 222.458.761 ; 150 ; 522.244.468 ; 161 ; 734.386.282 ; 311 ; 1.256.630.750 ; 438 ; 1.479.089.511 ;
25;62.232.889;BANCO DAYCOVAL S.A.; 469 ; 55.910.545 ; 523 ; 27.684.920 ; 958 ; 32.665.603 ; 2.264 ; 365.711.763 ; 4.214 ; 481.972.831 ; 594 ; 603.600.099 ; 2.235 ; 354.124.802 ; 2.829 ; 957.724.901 ; 7.043 ; 1.439.697.732 ;
