Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.489 ; 3.484.436.343 ; 6.361 ; 2.528.959.780 ; 3.426 ; 5.044.455.944 ; 9.545 ; 6.675.751.112 ; 20.821 ; 17.733.603.178 ; 921 ; 7.539.735.421 ; 824 ; 6.461.469.768 ; 1.745 ; 14.001.205.189 ; 22.566 ; 31.734.808.367 
16;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 5.487 ; 8.909.984.988 ; 5.252 ; 10.056.603.323 ; 10.741 ; 19.163.588.311 ; 313 ; 6.667.660.215 ; 262 ; 5.270.206.965 ; 575 ; 11.937.867.179 ; 11.316 ; 31.101.455.491 
17;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 221 ; 633.196.481 ; 150 ; 123.635.800 ; 345 ; 1.041.232.238 ; 581 ; 239.431.345 ; 1.297 ; 2.037.495.862 ; 1.107 ; 12.718.483.130 ; 1.183 ; 14.036.471.238 ; 2.290 ; 26.754.954.368 ; 3.587 ; 28.792.450.230 
18;59.588.111;BANCO VOTORANTIM S.A.; 1.186 ; 2.457.457.566 ; 6.114 ; 1.534.983.199 ; 3.226 ; 3.322.771.107 ; 7.851 ; 4.377.774.574 ; 18.377 ; 11.692.986.446 ; 3.247 ; 7.354.078.428 ; 8.216 ; 7.236.534.808 ; 11.463 ; 14.590.613.236 ; 29.840 ; 26.283.599.682 
19;49.336.860;ING BANK N.V.; 303 ; 2.770.311.112 ; 215 ; 245.018.733 ; 219 ; 666.411.943 ; 531 ; 282.992.975 ; 1.268 ; 3.964.734.763 ; 418 ; 6.033.979.332 ; 539 ; 8.954.644.692 ; 957 ; 14.988.624.025 ; 2.225 ; 18.953.358.788 
20;61.820.817;BANCO PAULISTA S.A.; 2.018 ; 1.352.891.293 ; 4.962 ; 345.336.164 ; 389.667 ; 1.661.605.898 ; 15.974 ; 1.729.229.592 ; 412.621 ; 5.089.062.947 ; 17.134 ; 6.307.172.917 ; 125.744 ; 7.212.685.623 ; 142.878 ; 13.519.858.540 ; 555.499 ; 18.608.921.487 
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 84 ; 225.832.919 ;;; 84 ; 225.832.919 ; 11 ; 7.075.000.000 ; 11 ; 7.075.000.000 ; 22 ; 14.150.000.000 ; 106 ; 14.375.832.919 
22;58.160.789;BANCO SAFRA S.A.; 2.031 ; 1.162.314.582 ; 8.677 ; 1.104.980.087 ; 10.320 ; 2.331.138.373 ; 22.845 ; 3.418.746.693 ; 43.873 ; 8.017.179.735 ; 1.775 ; 3.150.450.072 ; 1.717 ; 2.120.113.469 ; 3.492 ; 5.270.563.542 ; 47.365 ; 13.287.743.277 
23;28.195.667;BANCO ABC BRASIL S.A.; 798 ; 362.635.033 ; 1.639 ; 260.692.309 ; 357 ; 1.788.752.833 ; 2.294 ; 1.354.787.661 ; 5.088 ; 3.766.867.836 ; 1.198 ; 3.631.428.981 ; 2.025 ; 4.191.134.481 ; 3.223 ; 7.822.563.462 ; 8.311 ; 11.589.431.298 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.082 ; 2.617.209.564 ; 354 ; 287.741.707 ; 812 ; 1.782.241.695 ; 2.512 ; 1.936.963.874 ; 4.760 ; 6.624.156.839 ; 168 ; 1.147.238.167 ; 233 ; 3.384.804.613 ; 401 ; 4.532.042.780 ; 5.161 ; 11.156.199.619 
