Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 100 ; 293.072.194 ; 53 ; 40.283.433 ; 108 ; 401.288.422 ; 197 ; 57.288.101 ; 458 ; 791.932.149 ; 479 ; 5.954.790.249 ; 522 ; 6.572.180.562 ; 1.001 ; 12.526.970.810 ; 1.459 ; 13.318.902.959 
17;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 102 ; 602.132.056 ; 264 ; 332.234.850 ; 349 ; 1.563.268.783 ; 695 ; 1.423.755.782 ; 1.410 ; 3.921.391.471 ; 894 ; 4.296.877.675 ; 1.252 ; 4.666.484.278 ; 2.146 ; 8.963.361.952 ; 3.556 ; 12.884.753.423 
18;59.588.111;BANCO VOTORANTIM S.A.; 448 ; 1.045.739.013 ; 2.164 ; 434.538.963 ; 977 ; 1.013.747.288 ; 2.950 ; 1.770.903.294 ; 6.539 ; 4.264.928.558 ; 1.209 ; 3.026.086.384 ; 3.247 ; 2.952.124.249 ; 4.456 ; 5.978.210.633 ; 10.995 ; 10.243.139.190 
19;61.820.817;BANCO PAULISTA S.A.; 707 ; 492.163.451 ; 1.981 ; 145.998.464 ; 46.130 ; 848.181.982 ; 6.325 ; 797.488.140 ; 55.143 ; 2.283.832.038 ; 6.464 ; 2.526.976.981 ; 48.123 ; 2.902.435.228 ; 54.587 ; 5.429.412.209 ; 109.730 ; 7.713.244.247 
20;49.336.860;ING BANK N.V.; 95 ; 851.365.539 ; 89 ; 67.174.758 ; 88 ; 216.769.480 ; 227 ; 52.956.981 ; 499 ; 1.188.266.757 ; 86 ; 2.035.545.874 ; 109 ; 2.866.329.732 ; 195 ; 4.901.875.606 ; 694 ; 6.090.142.363 
21;58.160.789;BANCO SAFRA S.A.; 776 ; 512.435.508 ; 3.770 ; 456.134.809 ; 4.025 ; 971.202.331 ; 9.025 ; 957.977.897 ; 17.596 ; 2.897.750.545 ; 673 ; 1.055.116.989 ; 660 ; 1.140.494.783 ; 1.333 ; 2.195.611.772 ; 18.929 ; 5.093.362.318 
22;28.195.667;BANCO ABC BRASIL S.A.; 315 ; 145.326.328 ; 578 ; 81.901.710 ; 143 ; 855.522.966 ; 813 ; 601.781.124 ; 1.849 ; 1.684.532.127 ; 503 ; 1.483.722.989 ; 736 ; 1.508.672.102 ; 1.239 ; 2.992.395.091 ; 3.088 ; 4.676.927.218 
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 403 ; 916.723.115 ; 95 ; 109.280.103 ; 307 ; 581.862.445 ; 924 ; 761.599.997 ; 1.729 ; 2.369.465.659 ; 53 ; 487.790.188 ; 80 ; 1.402.803.944 ; 133 ; 1.890.594.132 ; 1.862 ; 4.260.059.792 
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 933 ; 42.535.878 ; 5.866 ; 262.605.950 ; 3.675 ; 505.670.625 ; 12.049 ; 549.392.189 ; 22.523 ; 1.360.204.642 ; 3.463 ; 1.525.647.815 ; 32.384 ; 1.265.949.514 ; 35.847 ; 2.791.597.330 ; 58.370 ; 4.151.801.972 
25;68.900.810;BANCO RENDIMENTO S.A.; 60 ; 7.771.613 ; 437 ; 57.749.608 ; 209.262 ; 596.879.480 ; 4.779 ; 696.641.139 ; 214.538 ; 1.359.041.840 ; 2.158 ; 1.451.742.487 ; 34.563 ; 1.319.180.986 ; 36.721 ; 2.770.923.473 ; 251.259 ; 4.129.965.313 
26;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 32 ; 68.478.303 ;;; 32 ; 68.478.303 ; 1 ; 2.000.000.000 ; 1 ; 2.000.000.000 ; 2 ; 4.000.000.000 ; 34 ; 4.068.478.303 
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 99 ; 577.406.542 ; 115 ; 1.338.999.659 ; 214 ; 1.916.406.201 ; 90 ; 1.321.747.189 ; 49 ; 559.114.698 ; 139 ; 1.880.861.886 ; 353 ; 3.797.268.087 
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 657 ; 284.314.511 ; 2.480 ; 551.790.374 ; 1.428 ; 596.099.390 ; 2.515 ; 516.415.455 ; 7.080 ; 1.948.619.730 ; 392 ; 911.439.753 ; 381 ; 722.267.042 ; 773 ; 1.633.706.795 ; 7.853 ; 3.582.326.526 
29;78.632.767;BANCO OURINVEST S.A.; 452 ; 66.413.914 ; 2.515 ; 161.245.277 ; 1.707 ; 189.507.248 ; 4.873 ; 379.714.145 ; 9.547 ; 796.880.584 ; 1.892 ; 1.232.751.517 ; 36.482 ; 957.071.202 ; 38.374 ; 2.189.822.719 ; 47.921 ; 2.986.703.303 
30;62.232.889;BANCO DAYCOVAL S.A.; 1.759 ; 242.691.767 ; 2.281 ; 158.515.427 ; 2.514 ; 78.268.992 ; 9.863 ; 337.051.655 ; 16.417 ; 816.527.841 ; 1.900 ; 1.114.561.263 ; 7.718 ; 979.448.208 ; 9.618 ; 2.094.009.471 ; 26.035 ; 2.910.537.312 
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 114 ; 184.498.671 ; 143 ; 19.031.260 ; 51 ; 768.649.948 ; 259 ; 400.815.287 ; 567 ; 1.372.995.167 ; 23 ; 415.061.548 ; 48 ; 939.057.082 ; 71 ; 1.354.118.629 ; 638 ; 2.727.113.796 
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 113 ; 579.464.901 ; 187 ; 8.638.119 ; 578 ; 119.258.903 ; 1.570 ; 488.097.460 ; 2.448 ; 1.195.459.384 ; 713 ; 486.667.901 ; 405 ; 689.375.245 ; 1.118 ; 1.176.043.145 ; 3.566 ; 2.371.502.529 
33;00.360.305;CAIXA ECONOMICA FEDERAL; 834 ; 283.323.510 ; 623 ; 19.533.896 ; 29.174 ; 282.347.320 ; 7.459 ; 427.811.355 ; 38.090 ; 1.013.016.082 ; 430 ; 535.255.295 ; 448 ; 649.068.132 ; 878 ; 1.184.323.427 ; 38.968 ; 2.197.339.508 
34;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 705 ; 451.050.129 ; 1.009 ; 406.542.696 ; 1.714 ; 857.592.825 ; 67 ; 616.102.857 ; 266 ; 560.940.000 ; 333 ; 1.177.042.857 ; 2.047 ; 2.034.635.683 
35;71.027.866;BANCO BONSUCESSO S.A.; 208 ; 39.330.832 ; 774 ; 39.255.900 ; 1.720 ; 238.215.552 ; 3.692 ; 390.055.460 ; 6.394 ; 706.857.744 ; 2.674 ; 709.844.051 ; 9.871 ; 558.641.505 ; 12.545 ; 1.268.485.556 ; 18.939 ; 1.975.343.301 
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 268 ; 246.232.232 ; 827 ; 138.864.386 ; 350 ; 227.312.894 ; 454 ; 257.250.017 ; 1.899 ; 869.659.530 ; 361 ; 503.255.051 ; 366 ; 579.357.349 ; 727 ; 1.082.612.400 ; 2.626 ; 1.952.271.929 
37;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 208 ; 452.890.589 ;;; 344 ; 190.953.550 ; 146 ; 339.181.921 ; 698 ; 983.026.061 ; 29 ; 498.103.046 ; 23 ; 441.939.565 ; 52 ; 940.042.611 ; 750 ; 1.923.068.671 
38;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 209 ; 12.775.446 ; 1.847 ; 74.451.080 ; 562 ; 96.596.625 ; 139.581 ; 387.813.141 ; 142.199 ; 571.636.292 ; 849 ; 825.316.492 ; 1.204 ; 466.102.033 ; 2.053 ; 1.291.418.526 ; 144.252 ; 1.863.054.818 
39;03.532.415;BANCO ABN AMRO S.A.; 46 ; 176.791.618 ;;; 110 ; 701.886.305 ; 165 ; 706.674.681 ; 321 ; 1.585.352.604 ; 9 ; 25.976.095 ; 48 ; 198.547.176 ; 57 ; 224.523.270 ; 378 ; 1.809.875.875 
