Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 41.860 ; 14.716.922.499 ; 115.839 ; 16.732.230.279 ; 155.929 ; 37.353.209.731 ; 248.845 ; 42.483.670.446 ; 562.473 ; 111.286.032.955 ; 5.399 ; 52.453.184.919 ; 5.301 ; 44.745.479.136 ; 10.700 ; 97.198.664.055 ; 573.173 ; 208.484.697.010 ;
2;33.479.023;BANCO CITIBANK S.A.; 10.093 ; 13.947.076.439 ; 56.019 ; 13.870.402.709 ; 58.969 ; 66.688.931.462 ; 71.812 ; 61.629.778.933 ; 196.893 ; 156.136.189.544 ; 2.285 ; 19.665.407.952 ; 2.519 ; 23.622.903.182 ; 4.804 ; 43.288.311.134 ; 201.697 ; 199.424.500.678 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 63.701 ; 28.635.029.592 ; 185.410 ; 28.326.270.303 ; 237.168 ; 30.141.618.968 ; 265.420 ; 32.829.976.586 ; 751.699 ; 119.932.895.448 ; 3.376 ; 38.387.430.105 ; 3.301 ; 32.221.237.989 ; 6.677 ; 70.608.668.094 ; 758.376 ; 190.541.563.542 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.427 ; 6.525.760.549 ; 17.868 ; 6.663.068.555 ; 9.821 ; 36.577.634.642 ; 15.436 ; 42.304.512.621 ; 45.552 ; 92.070.976.367 ; 3.325 ; 40.971.564.809 ; 3.528 ; 31.533.745.758 ; 6.853 ; 72.505.310.567 ; 52.405 ; 164.576.286.934 ;
5;60.746.948;BANCO BRADESCO S.A.; 35.537 ; 24.185.293.029 ; 73.504 ; 10.343.046.829 ; 179.937 ; 14.091.917.602 ; 136.594 ; 18.196.961.408 ; 425.572 ; 66.817.218.868 ; 2.748 ; 15.064.017.094 ; 2.924 ; 24.452.091.434 ; 5.672 ; 39.516.108.527 ; 431.244 ; 106.333.327.395 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 805 ; 1.248.955.067 ; 4.374 ; 1.617.243.075 ; 1.093 ; 3.689.482.036 ; 2.589 ; 3.533.192.526 ; 8.861 ; 10.088.872.704 ; 2.529 ; 47.132.369.846 ; 2.700 ; 46.972.025.185 ; 5.229 ; 94.104.395.031 ; 14.090 ; 104.193.267.735 ;
7;00.000.000;BANCO DO BRASIL S.A.; 62.607 ; 27.589.074.255 ; 106.941 ; 18.468.407.952 ; 246.407 ; 11.208.854.587 ; 169.160 ; 15.406.215.909 ; 585.115 ; 72.672.552.704 ; 2.255 ; 12.806.123.908 ; 2.236 ; 17.102.579.683 ; 4.491 ; 29.908.703.591 ; 589.606 ; 102.581.256.295 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 2.009 ; 7.464.338.282 ; 7.827 ; 3.269.818.495 ; 14.069 ; 8.074.449.912 ; 21.193 ; 7.391.619.153 ; 45.098 ; 26.200.225.843 ; 1.409 ; 22.667.517.338 ; 3.243 ; 24.641.315.717 ; 4.652 ; 47.308.833.055 ; 49.750 ; 73.509.058.898 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.122 ; 5.848.066.680 ; 5.223 ; 3.997.878.333 ; 3.535 ; 15.303.630.009 ; 5.037 ; 19.419.149.681 ; 14.917 ; 44.568.724.703 ; 1.333 ; 9.949.947.687 ; 706 ; 7.521.281.830 ; 2.039 ; 17.471.229.517 ; 16.956 ; 62.039.954.221 ;
