Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 100 ; 395.992.467 ; 435 ; 144.381.430 ; 312 ; 496.178.958 ; 739 ; 679.668.439 ; 1.586 ; 1.716.221.293 ; 71 ; 568.687.542 ; 71 ; 915.182.148 ; 142 ; 1.483.869.691 ; 1.728 ; 3.200.090.984 
18;59.588.111;BANCO VOTORANTIM S.A.; 75 ; 226.108.756 ; 526 ; 211.493.670 ; 432 ; 258.919.817 ; 861 ; 428.789.152 ; 1.894 ; 1.125.311.394 ; 274 ; 760.959.109 ; 611 ; 646.796.003 ; 885 ; 1.407.755.112 ; 2.779 ; 2.533.066.506 
19;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 9 ; 2.364.496 ;;; 160 ; 551.948.142 ; 129 ; 518.280.023 ; 298 ; 1.072.592.661 ; 25 ; 468.868.057 ; 28 ; 560.872.494 ; 53 ; 1.029.740.551 ; 351 ; 2.102.333.212 
20;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 15 ; 92.797.325 ; 33 ; 33.125.825 ; 67 ; 238.614.019 ; 193 ; 526.370.310 ; 308 ; 890.907.480 ; 174 ; 777.332.107 ; 259 ; 416.958.705 ; 433 ; 1.194.290.812 ; 741 ; 2.085.198.291 
21;28.195.667;BANCO ABC BRASIL S.A.; 60 ; 54.754.373 ; 181 ; 38.076.608 ; 61 ; 246.543.884 ; 294 ; 325.006.124 ; 596 ; 664.380.989 ; 115 ; 654.655.767 ; 200 ; 556.483.897 ; 315 ; 1.211.139.664 ; 911 ; 1.875.520.653 
22;61.820.817;BANCO PAULISTA S.A.; 178 ; 89.260.438 ; 456 ; 24.447.133 ; 76.344 ; 210.907.259 ; 1.287 ; 202.261.481 ; 78.265 ; 526.876.311 ; 1.544 ; 535.620.606 ; 9.920 ; 608.044.739 ; 11.464 ; 1.143.665.345 ; 89.729 ; 1.670.541.656 
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 73 ; 118.638.553 ; 40 ; 32.191.504 ; 118 ; 336.672.862 ; 273 ; 253.126.475 ; 504 ; 740.629.395 ; 24 ; 154.466.794 ; 31 ; 481.367.003 ; 55 ; 635.833.797 ; 559 ; 1.376.463.192 
24;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 28 ; 60.689.794 ; 9 ; 5.309.523 ; 11 ; 307.793.981 ; 122 ; 269.475.715 ; 170 ; 643.269.013 ; 14 ; 232.000.000 ; 30 ; 390.000.000 ; 44 ; 622.000.000 ; 214 ; 1.265.269.013 
25;58.160.789;BANCO SAFRA S.A.; 205 ; 111.544.492 ; 837 ; 81.609.856 ; 850 ; 354.466.529 ; 2.242 ; 141.252.530 ; 4.134 ; 688.873.407 ; 116 ; 126.084.606 ; 122 ; 384.007.805 ; 238 ; 510.092.411 ; 4.372 ; 1.198.965.818 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 130 ; 46.574.301 ; 604 ; 127.439.687 ; 312 ; 235.322.436 ; 553 ; 298.536.269 ; 1.599 ; 707.872.692 ; 67 ; 312.734.738 ; 65 ; 116.757.697 ; 132 ; 429.492.435 ; 1.731 ; 1.137.365.127 
