Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em AGOSTO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
34;62.232.889;BANCO DAYCOVAL S.A.; 204 ; 19.961.300 ; 335 ; 14.976.593 ; 467 ; 13.103.711 ; 1.384 ; 39.183.705 ; 2.390 ; 87.225.309 ; 308 ; 234.120.499 ; 1.756 ; 217.716.177 ; 2.064 ; 451.836.676 ; 4.454 ; 539.061.985 ;;;;
35;68.900.810;BANCO RENDIMENTO S.A.; 5 ; 369.689 ; 45 ; 8.014.719 ; 8.132 ; 72.649.294 ; 1.647 ; 69.345.531 ; 9.829 ; 150.379.233 ; 291 ; 150.751.321 ; 6.704 ; 159.235.665 ; 6.995 ; 309.986.985 ; 16.824 ; 460.366.218 ;;;;
36;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 80.000.000 ; 19 ; 145.000.000 ; 20 ; 225.000.000 ; 19 ; 145.000.000 ; 1 ; 80.000.000 ; 20 ; 225.000.000 ; 40 ; 450.000.000 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 20 ; 36.749.653 ; 25 ; 3.206.398 ; 24 ; 84.222.900 ; 29 ; 16.575.948 ; 98 ; 140.754.900 ; 30 ; 49.247.058 ; 38 ; 147.497.894 ; 68 ; 196.744.952 ; 166 ; 337.499.851 ;;;;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 7 ; 64.320.000 ; 28 ; 31.298.359 ; 13 ; 64.756.207 ; 103 ; 15.684.921 ; 151 ; 176.059.487 ; 7 ; 8.761.930 ; 12 ; 117.255.175 ; 19 ; 126.017.105 ; 170 ; 302.076.592 ;;;;
39;28.195.667;BANCO ABC BRASIL S.A.; 45 ; 11.908.951 ; 85 ; 10.464.121 ; 34 ; 61.170.505 ; 263 ; 72.836.058 ; 427 ; 156.379.634 ; 22 ; 86.168.727 ; 25 ; 43.468.157 ; 47 ; 129.636.884 ; 474 ; 286.016.518 ;;;;
40;15.114.366;BANCO BBM S/A; 28 ; 24.730.606 ; 2 ; 9.011 ; 9 ; 99.597.740 ; 27 ; 475.239 ; 66 ; 124.812.596 ;;; 8 ; 119.500.000 ; 8 ; 119.500.000 ; 74 ; 244.312.596 ;;;;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 748 ; 68.715.641 ; 1.097 ; 50.335.409 ; 413 ; 13.310.601 ; 1.320 ; 15.157.076 ; 3.578 ; 147.518.727 ; 20 ; 26.884.053 ; 29 ; 43.346.970 ; 49 ; 70.231.022 ; 3.627 ; 217.749.750 ;;;;
42;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 5 ; 158.238 ; 1.211 ; 78.275.530 ; 176 ; 7.062.203 ; 832 ; 26.018.473 ; 2.224 ; 111.514.444 ; 1.335 ; 97.790.384 ; 20 ; 690.659 ; 1.355 ; 98.481.044 ; 3.579 ; 209.995.488 ;;;;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 58 ; 1.155.344 ; 450 ; 10.390.216 ; 803 ; 10.204.895 ; 1.678 ; 45.296.956 ; 2.989 ; 67.047.411 ; 2.548 ; 87.560.109 ; 113 ; 43.173.205 ; 2.661 ; 130.733.315 ; 5.650 ; 197.780.726 ;;;;
