Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Fevereiro/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14 ; 7.294.399.832 ; 14 ; 7.000.000.000 ; 28 ; 14.294.399.832 ; 28 ; 14.294.399.832 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 256 ; 27.701.465 ; 3.246 ; 163.172.801 ; 1.584 ; 80.900.020 ; 18.756 ; 697.972.358 ; 23.842 ; 969.746.644 ; 1.152 ; 6.690.551.372 ; 1.357 ; 5.946.180.155 ; 2.509 ; 12.636.731.527 ; 26.351 ; 13.606.478.171 ;
16;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.239 ; 3.982.851.482 ; 1.432 ; 4.840.475.292 ; 2.671 ; 8.823.326.774 ; 117 ; 2.302.616.006 ; 84 ; 1.443.164.842 ; 201 ; 3.745.780.848 ; 2.872 ; 12.569.107.622 ;
17;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 652 ; 5.491.549.881 ; 735 ; 5.541.350.989 ; 1.387 ; 11.032.900.870 ; 23 ; 516.907.570 ; 25 ; 668.700.000 ; 48 ; 1.185.607.570 ; 1.435 ; 12.218.508.440 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 2.027 ; 450.622.393 ; 14.448 ; 721.669.166 ; 18.700 ; 1.908.928.028 ; 91.997 ; 1.667.623.733 ; 127.172 ; 4.748.843.320 ; 273 ; 3.744.973.058 ; 358 ; 3.319.637.944 ; 631 ; 7.064.611.002 ; 127.803 ; 11.813.454.322 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 208 ; 180.143.352 ; 1.378 ; 305.185.494 ; 471 ; 1.288.264.087 ; 980 ; 1.614.887.727 ; 3.037 ; 3.388.480.660 ; 1.374 ; 2.670.746.913 ; 1.369 ; 1.890.789.290 ; 2.743 ; 4.561.536.203 ; 5.780 ; 7.950.016.863 ;
20;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 593 ; 193.114.437 ; 2.356 ; 234.826.774 ; 50.927 ; 1.638.261.867 ; 30.272 ; 1.062.986.560 ; 84.148 ; 3.129.189.638 ; 669 ; 1.906.101.983 ; 674 ; 2.389.354.694 ; 1.343 ; 4.295.456.677 ; 85.491 ; 7.424.646.315 ;
21;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 6 ; 125.277.885 ; 1 ; 4.000.000 ; 212 ; 1.853.532.813 ; 247 ; 1.902.035.217 ; 466 ; 3.884.845.915 ; 36 ; 1.057.656.766 ; 40 ; 1.193.172.454 ; 76 ; 2.250.829.220 ; 542 ; 6.135.675.135 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 138 ; 576.528.270 ; 7 ; 5.060.585 ; 128 ; 375.051.685 ; 303 ; 451.726.360 ; 576 ; 1.408.366.900 ; 225 ; 1.985.064.436 ; 257 ; 2.555.565.898 ; 482 ; 4.540.630.334 ; 1.058 ; 5.948.997.234 ;
23;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 117 ; 523.049.640 ; 509 ; 96.756.199 ; 381 ; 531.035.423 ; 661 ; 398.112.135 ; 1.668 ; 1.548.953.397 ; 535 ; 1.479.193.556 ; 555 ; 1.988.393.972 ; 1.090 ; 3.467.587.528 ; 2.758 ; 5.016.540.925 ;
