Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2018;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;60.746.948;BANCO BRADESCO S.A.; 6.822 ; 5.260.957.299 ; 22.583 ; 2.966.938.702 ; 34.442 ; 5.620.835.310 ; 30.280 ; 8.998.612.964 ; 94.127 ; 22.847.344.276 ; 851 ; 5.361.807.150 ; 820 ; 4.175.315.792 ; 1.671 ; 9.537.122.943 ; 95.798 ; 32.384.467.219 ;;;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.940 ; 1.734.897.430 ; 23.644 ; 2.285.259.338 ; 19.921 ; 8.335.665.813 ; 33.494 ; 5.272.786.155 ; 81.999 ; 17.628.608.736 ; 657 ; 6.150.767.005 ; 643 ; 5.811.821.293 ; 1.300 ; 11.962.588.298 ; 83.299 ; 29.591.197.034 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.286 ; 1.197.628.221 ; 6.956 ; 1.541.546.009 ; 7.338 ; 8.748.867.854 ; 10.754 ; 6.862.633.222 ; 26.334 ; 18.350.675.306 ; 298 ; 2.643.579.005 ; 333 ; 2.515.166.039 ; 631 ; 5.158.745.044 ; 26.965 ; 23.509.420.350 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 6.694 ; 1.162.088.521 ; 18.318 ; 1.675.418.671 ; 42.598 ; 4.736.330.612 ; 34.438 ; 4.162.800.946 ; 102.048 ; 11.736.638.749 ; 294 ; 3.974.031.314 ; 306 ; 3.931.104.073 ; 600 ; 7.905.135.387 ; 102.648 ; 19.641.774.136 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 251 ; 268.983.953 ; 2.660 ; 754.754.748 ; 996 ; 5.049.767.587 ; 2.007 ; 3.278.819.754 ; 5.914 ; 9.352.326.042 ; 275 ; 3.268.429.127 ; 289 ; 3.151.013.230 ; 564 ; 6.419.442.357 ; 6.478 ; 15.771.768.399 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 6.426 ; 2.840.869.003 ; 10.224 ; 1.552.054.805 ; 18.221 ; 2.687.832.149 ; 46.412 ; 3.400.165.135 ; 81.283 ; 10.480.921.092 ; 365 ; 969.368.897 ; 393 ; 1.649.325.059 ; 758 ; 2.618.693.956 ; 82.041 ; 13.099.615.048 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 21 ; 34.812.174 ; 428 ; 66.765.366 ; 181 ; 1.206.053.046 ; 424 ; 1.109.024.594 ; 1.054 ; 2.416.655.181 ; 126 ; 4.500.252.174 ; 118 ; 3.874.581.814 ; 244 ; 8.374.833.987 ; 1.298 ; 10.791.489.168 ;;;;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 227 ; 424.324.523 ; 1.000 ; 394.768.941 ; 932 ; 2.399.993.317 ; 1.732 ; 1.513.829.322 ; 3.891 ; 4.732.916.103 ; 477 ; 1.544.697.300 ; 506 ; 2.654.969.322 ; 983 ; 4.199.666.622 ; 4.874 ; 8.932.582.725 ;;;;
9;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 173 ; 98.370.947 ; 488 ; 65.496.914 ; 481 ; 253.351.616 ; 505 ; 430.737.971 ; 1.647 ; 847.957.448 ; 557 ; 3.216.837.911 ; 525 ; 3.073.857.582 ; 1.082 ; 6.290.695.492 ; 2.729 ; 7.138.652.940 ;;;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 137 ; 550.263.930 ; 340 ; 208.790.605 ; 417 ; 1.328.987.412 ; 2.016 ; 1.477.256.546 ; 2.910 ; 3.565.298.493 ; 32 ; 996.765.683 ; 101 ; 1.434.246.108 ; 133 ; 2.431.011.792 ; 3.043 ; 5.996.310.285 ;;;;
11;30.306.294;BANCO BTG PACTUAL S.A.; 20 ; 224.715.260 ; 37 ; 24.990.060 ; 255 ; 784.511.153 ; 648 ; 497.950.085 ; 960 ; 1.532.166.558 ; 75 ; 2.051.266.756 ; 74 ; 2.250.643.181 ; 149 ; 4.301.909.937 ; 1.109 ; 5.834.076.495 ;;;;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 294 ; 749.041.963 ; 263 ; 416.861.780 ; 557 ; 1.165.903.743 ; 107 ; 2.170.435.760 ; 163 ; 2.384.952.549 ; 270 ; 4.555.388.309 ; 827 ; 5.721.292.052 ;;;;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 386 ; 1.579.645.059 ; 197 ; 958.981.396 ; 583 ; 2.538.626.455 ; 22 ; 877.606.361 ; 50 ; 2.061.103.596 ; 72 ; 2.938.709.957 ; 655 ; 5.477.336.411 ;;;;
14;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 21 ; 45.331.041 ; 10 ; 9.216.606 ; 34 ; 248.396.644 ; 51 ; 41.688.911 ; 116 ; 344.633.203 ; 117 ; 1.781.287.771 ; 133 ; 2.041.751.186 ; 250 ; 3.823.038.957 ; 366 ; 4.167.672.160 ;;;;
15;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 862 ; 1.159.804.918 ; 673 ; 896.347.945 ; 1.535 ; 2.056.152.863 ; 45 ; 1.032.827.610 ; 36 ; 693.840.816 ; 81 ; 1.726.668.426 ; 1.616 ; 3.782.821.289 ;;;;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 137 ; 304.033.552 ; 493 ; 133.728.855 ; 388 ; 778.043.479 ; 918 ; 839.985.070 ; 1.936 ; 2.055.790.957 ; 102 ; 1.232.071.352 ; 77 ; 442.404.659 ; 179 ; 1.674.476.011 ; 2.115 ; 3.730.266.967 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 122 ; 213.223.406 ; 676 ; 164.246.838 ; 251 ; 229.190.647 ; 741 ; 425.117.243 ; 1.790 ; 1.031.778.134 ; 266 ; 979.484.767 ; 1.041 ; 883.418.246 ; 1.307 ; 1.862.903.013 ; 3.097 ; 2.894.681.147 ;;;;
18;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 24 ; 103.467.327 ; 83 ; 83.418.435 ; 112 ; 233.541.386 ; 184 ; 288.748.269 ; 403 ; 709.175.418 ; 194 ; 1.137.424.878 ; 306 ; 1.044.077.686 ; 500 ; 2.181.502.563 ; 903 ; 2.890.677.981 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 179 ; 149.269.492 ; 598 ; 44.437.302 ; 736 ; 420.159.675 ; 1.950 ; 257.238.312 ; 3.463 ; 871.104.780 ; 1.583 ; 786.539.507 ; 13.669 ; 1.051.489.994 ; 15.252 ; 1.838.029.501 ; 18.715 ; 2.709.134.281 ;;;;
20;68.900.810;BANCO RENDIMENTO S.A.; 19 ; 2.789.974 ; 103 ; 7.445.350 ; 68.484 ; 173.827.648 ; 740 ; 241.240.506 ; 69.346 ; 425.303.477 ; 563 ; 477.645.492 ; 10.291 ; 424.281.553 ; 10.854 ; 901.927.046 ; 80.200 ; 1.327.230.522 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 153 ; 151.492.062 ; 1.077 ; 100.417.967 ; 857 ; 291.536.448 ; 2.560 ; 218.348.826 ; 4.647 ; 761.795.304 ; 175 ; 192.126.437 ; 172 ; 311.607.446 ; 347 ; 503.733.884 ; 4.994 ; 1.265.529.187 ;;;;
22;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 14 ; 306.009.925 ; 25 ; 148.110.037 ; 39 ; 454.119.962 ; 10 ; 300.815.980 ; 15 ; 456.998.184 ; 25 ; 757.814.163 ; 64 ; 1.211.934.125 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 63 ; 100.834.371 ; 44 ; 55.250.825 ; 80 ; 369.983.943 ; 272 ; 207.781.865 ; 459 ; 733.851.004 ; 17 ; 142.103.474 ; 21 ; 302.100.030 ; 38 ; 444.203.504 ; 497 ; 1.178.054.508 ;;;;
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 196 ; 10.183.374 ; 1.771 ; 80.560.805 ; 849 ; 67.951.345 ; 3.411 ; 130.776.904 ; 6.227 ; 289.472.428 ; 950 ; 503.777.971 ; 9.147 ; 376.091.883 ; 10.097 ; 879.869.854 ; 16.324 ; 1.169.342.282 ;;;;
25;49.336.860;ING BANK N.V.; 9 ; 34.886.077 ; 6 ; 7.106.881 ; 17 ; 39.722.837 ; 55 ; 7.992.996 ; 87 ; 89.708.790 ; 24 ; 491.604.762 ; 27 ; 572.019.090 ; 51 ; 1.063.623.852 ; 138 ; 1.153.332.642 ;;;;
26;78.632.767;BANCO OURINVEST S.A.; 58 ; 7.661.081 ; 752 ; 54.328.743 ; 346 ; 44.820.972 ; 1.231 ; 110.705.660 ; 2.387 ; 217.516.456 ; 588 ; 474.681.272 ; 10.977 ; 366.707.396 ; 11.565 ; 841.388.668 ; 13.952 ; 1.058.905.124 ;;;;
27;62.232.889;BANCO DAYCOVAL S.A.; 373 ; 48.550.464 ; 637 ; 43.319.112 ; 637 ; 31.245.916 ; 3.057 ; 150.279.946 ; 4.704 ; 273.395.438 ; 574 ; 382.406.777 ; 2.287 ; 311.247.207 ; 2.861 ; 693.653.984 ; 7.565 ; 967.049.422 ;;;;
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 35 ; 411.447.365 ; 16 ; 63.066.493 ; 51 ; 474.513.858 ; 8 ; 48.999.974 ; 15 ; 396.661.000 ; 23 ; 445.660.974 ; 74 ; 920.174.832 ;;;;
29;28.195.667;BANCO ABC BRASIL S.A.; 61 ; 16.545.701 ; 157 ; 23.478.944 ; 32 ; 94.591.442 ; 194 ; 20.296.448 ; 444 ; 154.912.535 ; 131 ; 360.932.801 ; 196 ; 301.722.794 ; 327 ; 662.655.595 ; 771 ; 817.568.130 ;;;;
30;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 217 ; 124.966.089 ; 297 ; 297.045.408 ; 514 ; 422.011.496 ; 27 ; 281.928.546 ; 56 ; 109.700.000 ; 83 ; 391.628.546 ; 597 ; 813.640.042 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 133 ; 29.294.761 ; 677 ; 124.575.001 ; 346 ; 153.054.659 ; 578 ; 105.289.247 ; 1.734 ; 412.213.667 ; 84 ; 223.031.811 ; 80 ; 174.524.735 ; 164 ; 397.556.546 ; 1.898 ; 809.770.213 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 36 ; 213.391.688 ; 51 ; 1.986.554 ; 132 ; 28.830.269 ; 463 ; 144.884.257 ; 682 ; 389.092.767 ; 229 ; 153.894.134 ; 115 ; 250.803.620 ; 344 ; 404.697.754 ; 1.026 ; 793.790.521 ;;;;
33;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 25 ; 45.560.218 ; 22 ; 5.018.860 ; 12 ; 291.345.197 ; 70 ; 59.834.020 ; 129 ; 401.758.295 ; 5 ; 100.792.354 ; 8 ; 215.790.701 ; 13 ; 316.583.055 ; 142 ; 718.341.349 ;;;;
34;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 54 ; 210.709.740 ;;; 93 ; 41.207.736 ; 33 ; 47.479.660 ; 180 ; 299.397.135 ; 8 ; 125.644.236 ; 11 ; 236.694.226 ; 19 ; 362.338.462 ; 199 ; 661.735.597 ;;;;
35;03.532.415;BANCO ABN AMRO S.A.; 6 ; 12.738.244 ;;; 17 ; 275.995.060 ; 36 ; 276.132.456 ; 59 ; 564.865.760 ; 2 ; 5.421.532 ; 7 ; 17.991.627 ; 9 ; 23.413.159 ; 68 ; 588.278.919 ;;;;
36;00.360.305;CAIXA ECONOMICA FEDERAL; 208 ; 57.689.967 ; 178 ; 5.194.544 ; 8.814 ; 48.370.688 ; 2.188 ; 108.982.657 ; 11.388 ; 220.237.856 ; 163 ; 181.020.752 ; 144 ; 158.939.422 ; 307 ; 339.960.174 ; 11.695 ; 560.198.030 ;;;;
37;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 50 ; 3.617.336 ; 551 ; 21.287.863 ; 150 ; 24.300.450 ; 18.316 ; 110.610.813 ; 19.067 ; 159.816.462 ; 228 ; 243.679.781 ; 289 ; 131.549.456 ; 517 ; 375.229.236 ; 19.584 ; 535.045.699 ;;;;
38;71.027.866;BANCO BONSUCESSO S.A.; 70 ; 6.921.399 ; 198 ; 11.584.593 ; 443 ; 47.199.244 ; 1.112 ; 83.428.209 ; 1.823 ; 149.133.444 ; 674 ; 214.935.639 ; 2.423 ; 169.103.229 ; 3.097 ; 384.038.868 ; 4.920 ; 533.172.312 ;;;;
39;30.723.886;BANCO MODAL S.A.; 8 ; 11.966.927 ; 47 ; 5.842.883 ; 87 ; 192.385.156 ; 112 ; 11.831.369 ; 254 ; 222.026.334 ; 9 ; 20.117.200 ; 17 ; 211.000.000 ; 26 ; 231.117.200 ; 280 ; 453.143.534 ;;;;
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 69 ; 64.915.212 ; 234 ; 24.597.172 ; 55 ; 54.900.951 ; 108 ; 16.295.042 ; 466 ; 160.708.377 ; 95 ; 105.082.528 ; 100 ; 181.418.010 ; 195 ; 286.500.537 ; 661 ; 447.208.914 ;;;;
41;15.114.366;BANCO BBM S/A; 31 ; 23.534.164 ; 6 ; 734.425 ; 12 ; 104.903.125 ; 110 ; 7.340.566 ; 159 ; 136.512.280 ; 9 ; 104.241.367 ; 14 ; 169.558.206 ; 23 ; 273.799.573 ; 182 ; 410.311.853 ;;;;
