Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Agosto/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 54.045 ; 21.187.748.070 ; 162.748 ; 19.166.913.569 ; 222.405 ; 32.930.426.047 ; 425.753 ; 29.106.237.044 ; 864.951 ; 102.391.324.730 ; 8.729 ; 163.675.271.645 ; 9.007 ; 162.528.816.191 ; 17.736 ; 326.204.087.836 ; 882.687 ; 428.595.412.566 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 83.663 ; 34.955.811.967 ; 260.564 ; 30.492.697.265 ; 369.934 ; 40.498.880.190 ; 418.755 ; 44.314.369.020 ; 1.132.916 ; 150.261.758.442 ; 5.643 ; 125.437.555.206 ; 5.759 ; 125.739.197.715 ; 11.402 ; 251.176.752.921 ; 1.144.318 ; 401.438.511.363 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 2.943 ; 5.816.472.616 ; 20.774 ; 5.316.771.834 ; 15.074 ; 47.859.054.245 ; 23.512 ; 56.206.477.936 ; 62.303 ; 115.198.776.631 ; 4.236 ; 85.889.732.565 ; 4.759 ; 77.574.804.424 ; 8.995 ; 163.464.536.989 ; 71.298 ; 278.663.313.620 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 11.031 ; 20.532.561.802 ; 52.839 ; 12.902.751.389 ; 57.162 ; 54.833.297.300 ; 93.789 ; 65.784.976.115 ; 214.821 ; 154.053.586.606 ; 1.729 ; 32.656.401.203 ; 1.812 ; 30.599.870.933 ; 3.541 ; 63.256.272.136 ; 218.362 ; 217.309.858.742 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 76.266 ; 40.936.768.031 ; 174.312 ; 20.910.410.381 ; 329.405 ; 19.819.653.556 ; 342.615 ; 27.938.676.860 ; 922.598 ; 109.605.508.828 ; 2.285 ; 13.986.510.991 ; 2.334 ; 23.369.126.188 ; 4.619 ; 37.355.637.179 ; 927.217 ; 146.961.146.007 ;
6;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 3.439 ; 8.082.104.602 ; 11.595 ; 1.558.502.640 ; 29.042 ; 11.820.054.215 ; 45.456 ; 12.911.209.707 ; 89.532 ; 34.371.871.164 ; 2.250 ; 48.944.631.839 ; 3.349 ; 53.387.137.608 ; 5.599 ; 102.331.769.447 ; 95.131 ; 136.703.640.611 ;
7;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; 1 ; 84.500 ; 2.834 ; 26.190.789.874 ; 2.626 ; 31.118.815.221 ; 5.461 ; 57.309.689.595 ; 725 ; 40.222.352.287 ; 620 ; 35.687.681.525 ; 1.345 ; 75.910.033.812 ; 6.806 ; 133.219.723.407 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 40.251 ; 29.692.510.606 ; 97.516 ; 10.802.705.263 ; 192.493 ; 15.276.119.739 ; 249.358 ; 13.453.340.858 ; 579.618 ; 69.224.676.466 ; 6.974 ; 17.535.898.482 ; 7.401 ; 37.109.487.085 ; 14.375 ; 54.645.385.567 ; 593.993 ; 123.870.062.033 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.298 ; 1.235.774.926 ; 4.126 ; 1.194.808.421 ; 1.887 ; 1.719.221.026 ; 2.817 ; 2.250.442.386 ; 10.128 ; 6.400.246.759 ; 6.960 ; 39.898.110.094 ; 7.139 ; 39.643.831.531 ; 14.099 ; 79.541.941.625 ; 24.227 ; 85.942.188.384 ;
