Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.771 ; 3.018.219.249 ; 15.082 ; 2.119.318.537 ; 23.055 ; 8.618.093.901 ; 38.541 ; 9.317.569.531 ; 82.449 ; 23.073.201.217 ; 705 ; 7.148.916.014 ; 721 ; 6.760.122.023 ; 1.426 ; 13.909.038.037 ; 83.875 ; 36.982.239.254 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 9.005 ; 5.232.563.872 ; 24.174 ; 4.350.430.353 ; 33.273 ; 4.233.112.432 ; 37.298 ; 6.022.172.466 ; 103.750 ; 19.838.279.123 ; 531 ; 6.790.900.908 ; 505 ; 5.318.884.260 ; 1.036 ; 12.109.785.168 ; 104.786 ; 31.948.064.291 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.479 ; 2.363.859.758 ; 7.546 ; 1.900.120.879 ; 8.180 ; 9.508.195.151 ; 9.925 ; 9.079.925.368 ; 27.130 ; 22.852.101.157 ; 316 ; 2.184.114.706 ; 346 ; 2.837.286.306 ; 662 ; 5.021.401.012 ; 27.792 ; 27.873.502.169 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 330 ; 826.121.711 ; 2.383 ; 936.256.230 ; 1.298 ; 3.782.974.716 ; 1.932 ; 4.870.028.189 ; 5.943 ; 10.415.380.846 ; 613 ; 8.573.439.619 ; 496 ; 1.995.699.004 ; 1.109 ; 10.569.138.623 ; 7.052 ; 20.984.519.469 ;
5;60.746.948;BANCO BRADESCO S.A.; 4.752 ; 4.984.976.572 ; 9.579 ; 1.331.776.028 ; 26.862 ; 1.390.807.376 ; 22.091 ; 2.543.600.104 ; 63.284 ; 10.251.160.080 ; 358 ; 1.630.450.784 ; 394 ; 3.938.809.785 ; 752 ; 5.569.260.569 ; 64.036 ; 15.820.420.649 ;
6;00.000.000;BANCO DO BRASIL S.A.; 9.012 ; 4.485.273.831 ; 13.994 ; 2.593.879.532 ; 20.242 ; 1.266.470.477 ; 25.439 ; 1.740.496.785 ; 68.687 ; 10.086.120.625 ; 318 ; 1.528.171.321 ; 324 ; 2.771.800.177 ; 642 ; 4.299.971.498 ; 69.329 ; 14.386.092.123 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 320 ; 1.540.238.840 ; 1.169 ; 550.656.176 ; 1.837 ; 972.525.002 ; 2.885 ; 906.616.950 ; 6.211 ; 3.970.036.968 ; 198 ; 3.527.848.095 ; 512 ; 3.192.915.181 ; 710 ; 6.720.763.276 ; 6.921 ; 10.690.800.243 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 241 ; 860.972.042 ; 1.192 ; 484.865.509 ; 1.735 ; 2.594.601.098 ; 2.349 ; 1.041.083.562 ; 5.517 ; 4.981.522.211 ; 769 ; 1.459.115.382 ; 842 ; 3.865.773.997 ; 1.611 ; 5.324.889.379 ; 7.128 ; 10.306.411.591 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 168 ; 1.352.980.228 ; 597 ; 456.982.656 ; 535 ; 2.880.089.774 ; 635 ; 2.749.008.509 ; 1.935 ; 7.439.061.166 ; 161 ; 745.372.862 ; 132 ; 1.627.844.710 ; 293 ; 2.373.217.571 ; 2.228 ; 9.812.278.737 ;
