Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Abril/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 10.220 ; 5.552.853.873 ; 33.567 ; 4.055.953.673 ; 46.030 ; 4.027.145.824 ; 60.075 ; 6.586.812.853 ; 149.892 ; 20.222.766.223 ; 591 ; 14.106.077.866 ; 565 ; 13.481.801.714 ; 1.156 ; 27.587.879.580 ; 151.048 ; 47.810.645.803 ;
2;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 421 ; 887.977.409 ; 3.862 ; 1.134.784.737 ; 1.824 ; 8.719.599.821 ; 3.337 ; 5.776.927.947 ; 9.444 ; 16.519.289.914 ; 630 ; 14.246.859.859 ; 654 ; 10.102.116.343 ; 1.284 ; 24.348.976.202 ; 10.728 ; 40.868.266.116 ;
3;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.691 ; 2.499.574.306 ; 21.156 ; 2.615.517.170 ; 26.807 ; 4.355.431.827 ; 57.472 ; 3.502.486.411 ; 112.126 ; 12.973.009.714 ; 839 ; 13.286.512.669 ; 922 ; 12.912.787.997 ; 1.761 ; 26.199.300.666 ; 113.887 ; 39.172.310.380 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.645 ; 1.722.499.179 ; 6.998 ; 1.608.066.290 ; 5.758 ; 6.250.056.988 ; 11.966 ; 7.450.841.080 ; 26.367 ; 17.031.463.537 ; 221 ; 4.021.656.967 ; 182 ; 2.136.272.136 ; 403 ; 6.157.929.103 ; 26.770 ; 23.189.392.640 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.133 ; 5.938.234.226 ; 21.888 ; 2.420.265.814 ; 31.689 ; 2.469.999.385 ; 42.147 ; 3.766.478.178 ; 104.857 ; 14.594.977.603 ; 273 ; 1.571.176.963 ; 291 ; 3.293.507.760 ; 564 ; 4.864.684.723 ; 105.421 ; 19.459.662.326 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.526 ; 4.058.325.894 ; 13.194 ; 1.628.236.156 ; 23.148 ; 1.846.252.200 ; 30.644 ; 2.124.305.973 ; 71.512 ; 9.657.120.223 ; 838 ; 2.865.703.339 ; 849 ; 4.969.244.742 ; 1.687 ; 7.834.948.081 ; 73.199 ; 17.492.068.304 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 394 ; 874.282.560 ; 1.934 ; 705.331.172 ; 5.566 ; 1.338.527.413 ; 13.785 ; 1.629.324.088 ; 21.679 ; 4.547.465.233 ; 332 ; 5.319.421.227 ; 502 ; 5.200.537.469 ; 834 ; 10.519.958.696 ; 22.513 ; 15.067.423.929 ;
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 360 ; 2.899.568.518 ; 229 ; 3.628.152.299 ; 589 ; 6.527.720.817 ; 79 ; 2.717.243.088 ; 66 ; 2.537.240.947 ; 145 ; 5.254.484.035 ; 734 ; 11.782.204.852 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 236 ; 569.520.469 ; 1.286 ; 392.694.200 ; 1.488 ; 1.856.346.366 ; 2.844 ; 1.380.061.021 ; 5.854 ; 4.198.622.056 ; 334 ; 3.167.821.497 ; 374 ; 4.154.018.210 ; 708 ; 7.321.839.707 ; 6.562 ; 11.520.461.763 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 249 ; 1.013.987.705 ; 1.283 ; 334.952.940 ; 503 ; 2.157.211.911 ; 672 ; 2.514.798.555 ; 2.707 ; 6.020.951.111 ; 231 ; 1.249.942.431 ; 295 ; 1.900.166.666 ; 526 ; 3.150.109.097 ; 3.233 ; 9.171.060.208 ;
11;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 71 ; 160.777.293 ; 823 ; 259.776.600 ; 142 ; 603.084.097 ; 319 ; 435.777.338 ; 1.355 ; 1.459.415.328 ; 474 ; 3.664.918.642 ; 478 ; 3.768.868.877 ; 952 ; 7.433.787.519 ; 2.307 ; 8.893.202.847 ;
12;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 144 ; 160.236.877 ; 668 ; 219.484.874 ; 338 ; 657.001.026 ; 516 ; 244.895.302 ; 1.666 ; 1.281.618.079 ; 411 ; 3.637.128.974 ; 468 ; 3.961.339.559 ; 879 ; 7.598.468.533 ; 2.545 ; 8.880.086.612 ;
13;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 182 ; 20.995.362 ; 1.888 ; 90.382.872 ; 930 ; 44.592.844 ; 8.140 ; 312.388.880 ; 11.140 ; 468.359.958 ; 575 ; 4.273.370.412 ; 718 ; 3.934.061.990 ; 1.293 ; 8.207.432.402 ; 12.433 ; 8.675.792.360 ;
14;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 327 ; 3.043.838.267 ; 380 ; 3.077.060.986 ; 707 ; 6.120.899.253 ; 29 ; 990.293.922 ; 18 ; 860.000.000 ; 47 ; 1.850.293.922 ; 754 ; 7.971.193.175 ;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 118 ; 177.182.457 ; 705 ; 203.835.990 ; 344 ; 715.633.507 ; 588 ; 890.905.840 ; 1.755 ; 1.987.557.794 ; 1.161 ; 2.956.870.943 ; 1.171 ; 2.981.071.506 ; 2.332 ; 5.937.942.449 ; 4.087 ; 7.925.500.243 ;
