Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em Janeiro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 863 ; 169.652.193 ; 5.666 ; 363.286.900 ; 5.833 ; 461.784.313 ; 15.190 ; 720.016.659 ; 27.552 ; 1.714.740.065 ; 209 ; 2.518.848.476 ; 197 ; 2.102.481.539 ; 406 ; 4.621.330.015 ; 27.958 ; 6.336.070.080 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 407 ; 1.553.032.757 ; 466 ; 2.285.403.574 ; 873 ; 3.838.436.331 ; 76 ; 1.381.180.334 ; 45 ; 650.193.064 ; 121 ; 2.031.373.398 ; 994 ; 5.869.809.729 ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 149 ; 189.326.161 ; 645 ; 145.327.026 ; 256 ; 1.204.465.950 ; 432 ; 809.537.883 ; 1.482 ; 2.348.657.020 ; 831 ; 1.381.323.768 ; 839 ; 1.677.897.759 ; 1.670 ; 3.059.221.527 ; 3.152 ; 5.407.878.547 ;
17;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 334 ; 2.116.447.828 ; 368 ; 2.124.758.358 ; 702 ; 4.241.206.186 ; 11 ; 244.988.976 ; 12 ; 275.000.000 ; 23 ; 519.988.976 ; 725 ; 4.761.195.162 ;
18;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 71 ; 635.884.114 ; 120 ; 35.841.005 ; 224 ; 299.454.865 ; 287 ; 228.947.831 ; 702 ; 1.200.127.815 ; 168 ; 1.320.560.148 ; 190 ; 2.019.519.443 ; 358 ; 3.340.079.591 ; 1.060 ; 4.540.207.406 ;
19;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 87 ; 5.411.396 ; 1.149 ; 99.325.129 ; 574 ; 67.103.127 ; 8.079 ; 165.116.496 ; 9.889 ; 336.956.148 ; 537 ; 2.189.667.999 ; 561 ; 1.995.801.514 ; 1.098 ; 4.185.469.513 ; 10.987 ; 4.522.425.661 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 94 ; 3.504.478 ; 1.119 ; 37.319.418 ; 34.329 ; 263.962.652 ; 83.064 ; 1.906.407.805 ; 118.606 ; 2.211.194.353 ; 1.005 ; 1.985.092.724 ; 2.870 ; 307.112.537 ; 3.875 ; 2.292.205.261 ; 122.481 ; 4.503.399.614 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 75 ; 111.365.511 ; 5 ; 789.671 ; 75 ; 153.917.047 ; 189 ; 331.515.654 ; 344 ; 597.587.883 ; 131 ; 1.781.094.475 ; 137 ; 1.842.023.555 ; 268 ; 3.623.118.030 ; 612 ; 4.220.705.913 ;
22;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 58 ; 81.308.231 ; 224 ; 65.944.725 ; 94 ; 27.027.019 ; 137 ; 47.179.699 ; 513 ; 221.459.674 ; 160 ; 1.717.220.296 ; 166 ; 1.626.323.298 ; 326 ; 3.343.543.594 ; 839 ; 3.565.003.268 ;
23;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 13 ; 209.402.840 ; 56 ; 36.283.499 ; 110 ; 984.006.305 ; 168 ; 799.736.639 ; 347 ; 2.029.429.283 ; 15 ; 563.872.398 ; 32 ; 875.000.000 ; 47 ; 1.438.872.398 ; 394 ; 3.468.301.681 ;
