Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Outubro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 1.100 ; 2.518.589.151 ; 8.887 ; 3.965.535.696 ; 1.280 ; 3.555.677.927 ; 3.644 ; 5.041.996.056 ; 14.911 ; 15.081.798.830 ; 5.215 ; 30.428.050.871 ; 5.243 ; 27.486.994.273 ; 10.458 ; 57.915.045.144 ; 25.369 ; 72.996.843.974 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 4.650 ; 18.746.675.658 ; 4.639 ; 22.805.025.062 ; 9.289 ; 41.551.700.720 ; 616 ; 12.060.347.492 ; 440 ; 7.979.884.748 ; 1.056 ; 20.040.232.240 ; 10.345 ; 61.591.932.960 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 1.083 ; 80.322.926 ; 13.516 ; 722.556.886 ; 7.048 ; 936.684.233 ; 78.447 ; 3.296.908.792 ; 100.094 ; 5.036.472.837 ; 5.795 ; 29.585.881.684 ; 5.878 ; 26.575.350.603 ; 11.673 ; 56.161.232.287 ; 111.767 ; 61.197.705.124 ;
16;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 9.572 ; 1.815.295.014 ; 63.271 ; 4.101.626.288 ; 75.755 ; 4.849.969.697 ; 230.358 ; 7.522.414.630 ; 378.956 ; 18.289.305.629 ; 1.470 ; 21.302.797.107 ; 1.574 ; 15.986.558.577 ; 3.044 ; 37.289.355.684 ; 382.000 ; 55.578.661.313 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 1.252 ; 1.167.799.377 ; 6.066 ; 1.870.262.870 ; 2.473 ; 9.965.218.021 ; 4.657 ; 8.222.729.373 ; 14.448 ; 21.226.009.641 ; 7.133 ; 15.279.650.822 ; 7.173 ; 16.145.242.993 ; 14.306 ; 31.424.893.815 ; 28.754 ; 52.650.903.456 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 3.577 ; 20.016.025.621 ; 3.840 ; 19.873.440.239 ; 7.417 ; 39.889.465.860 ; 113 ; 3.505.145.836 ; 119 ; 3.773.821.910 ; 232 ; 7.278.967.746 ; 7.649 ; 47.168.433.606 ;
19;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 786 ; 947.860.118 ; 2.082 ; 618.831.215 ; 855 ; 1.264.810.643 ; 1.380 ; 1.654.349.389 ; 5.103 ; 4.485.851.365 ; 1.781 ; 18.782.190.175 ; 1.763 ; 18.967.080.818 ; 3.544 ; 37.749.270.993 ; 8.647 ; 42.235.122.358 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 1.987 ; 201.178.882 ; 9.689 ; 599.143.337 ; 343.565 ; 2.008.138.646 ; 774.833 ; 14.946.865.204 ; 1.130.074 ; 17.755.326.069 ; 9.307 ; 16.370.731.755 ; 27.164 ; 3.027.349.159 ; 36.471 ; 19.398.080.914 ; 1.166.545 ; 37.153.406.983 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 700 ; 2.092.591.333 ; 54 ; 49.082.406 ; 686 ; 2.275.221.359 ; 1.970 ; 3.123.017.916 ; 3.410 ; 7.539.913.014 ; 1.002 ; 13.865.703.373 ; 1.099 ; 14.675.101.324 ; 2.101 ; 28.540.804.697 ; 5.511 ; 36.080.717.711 ;
22;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 94 ; 2.343.092.999 ; 287 ; 291.115.786 ; 1.397 ; 10.944.844.026 ; 1.475 ; 7.385.157.756 ; 3.253 ; 20.964.210.567 ; 112 ; 4.330.524.935 ; 323 ; 9.767.769.995 ; 435 ; 14.098.294.930 ; 3.688 ; 35.062.505.497 ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.656 ; 1.586.003.954 ; 12.076 ; 1.884.204.223 ; 19.256 ; 5.349.381.377 ; 32.137 ; 5.775.748.247 ; 65.125 ; 14.595.337.801 ; 1.170 ; 10.401.431.136 ; 1.432 ; 9.117.569.858 ; 2.602 ; 19.519.000.994 ; 67.727 ; 34.114.338.795 ;
