Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
111;73.302.408;EXIM CORRETORA DE CAMBIO LTDA;17;250.507;46;879.193;156;1.399.404;256;883.214;475;3.412.318;188;1.860.559;77;1.754.651;265;3.615.210;740;7.027.528
112;77.162.881;DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;1;2.500;51;1.272.310;133;197.750;286;1.045.668;471;2.518.228;169;3.041.712;41;940.437;210;3.982.150;681;6.500.378
113;33.042.151;BANCO DE LA NACION ARGENTINA;3;602.428;1;5.275;398;2.264.644;10;22.082;412;2.894.428;;;7;2.950.000;7;2.950.000;419;5.844.428
114;59.615.005;PATACÃO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;5;292.774;24;698.756;11;57.015;68;1.163.422;108;2.211.967;67;2.329.459;12;816.761;79;3.146.221;187;5.358.187
115;7.333.726;ONNIX CORRETORA DE CÂMBIO LTDA.;;;56;1.456.529;19;736.097;37;693.283;112;2.885.909;49;1.932.950;15;519.233;64;2.452.183;176;5.338.092
116;10.853.017;GET MONEY CORRETORA DE CÂMBIO S.A.;;;11;91.066;231;1.573.242;349;2.142.492;591;3.806.800;299;905.459;8;250.688;307;1.156.147;898;4.962.947
117;15.482.499;TURCÂMBIO - CORRETORA DE CÂMBIO LTDA.;2;42.162;51;722.130;251;874.161;297;1.559.078;601;3.197.531;162;1.511.241;23;150.279;185;1.661.520;786;4.859.051
118;6.132.348;LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;18;440.609;35;647.118;224;996.013;286;1.030.441;563;3.114.181;139;1.055.103;44;669.964;183;1.725.068;746;4.839.249
119;17.772.370;VIP'S CORRETORA DE CÂMBIO LTDA.;;;47;1.116.130;76;488.943;210;988.545;333;2.593.617;126;1.791.890;1;165.000;127;1.956.890;460;4.550.508
120;71.590.442;LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;3;12.211;41;1.062.820;27;531.603;44;353.318;115;1.959.952;81;1.659.316;30;788.994;111;2.448.310;226;4.408.262
121;25.280.945;AVS CORRETORA DE CÂMBIO LTDA.;15;124.771;50;509.752;140;363.580;285;1.114.576;490;2.112.678;154;1.366.807;23;236.498;177;1.603.305;667;3.715.983
122;17.312.661;AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA;46;1.214.748;8;54.651;7;100.878;40;353.435;101;1.723.712;38;385.325;50;1.292.793;88;1.678.118;189;3.401.830
123;00.806.535;PLANNER CORRETORA DE VALORES S.A.;;;;;20;940.359;15;752.439;35;1.692.798;16;752.439;24;940.359;40;1.692.798;75;3.385.597
124;61.444.949;SAGITUR CORRETORA DE CÂMBIO LTDA.;;;56;836.635;84;329.766;55;413.151;195;1.579.553;79;1.340.069;31;419.836;110;1.759.905;305;3.339.458
125;73.279.093;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;;;;139;440.125;1.145;1.129.888;1.284;1.570.014;160;1.048.546;7;371.005;167;1.419.550;1.451;2.989.564
126;00.000.208;BRB - BANCO DE BRASILIA S.A.;;;2;10.026;26;470.812;107;928.292;135;1.409.130;6;851.928;3;403.390;9;1.255.318;144;2.664.447
127;17.635.177;CONEXION CORRETORA DE CÂMBIO LTDA.;;;3;37.549;16;31.997;173;1.164.094;192;1.233.639;204;1.191.768;2;12.568;206;1.204.336;398;2.437.975
128;4.902.979;BANCO DA AMAZONIA S.A.;24;634.953;1;207.750;10;310.493;26;89.004;61;1.242.200;1;200.000;12;826.332;13;1.026.332;74;2.268.532
129;17.312.083;H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;;;;;97;258.575;260;1.066.814;357;1.325.389;125;867.615;1;75.000;126;942.615;483;2.268.003
130;15.168.152;CONSEGTUR CORRETORA DE CÂMBIO LTDA.;;;9;229.317;14;251.752;116;598.491;139;1.079.560;117;827.808;14;251.752;131;1.079.560;270;2.159.119
131;13.673.855;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;11;266.355;8;128.244;10;535.068;29;929.667;17;796.673;6;123.494;23;920.167;52;1.849.833
132;36.658.769;BANCO XCMG BRASIL S.A.;;;2;856.835;1;100;2;1.300;5;858.235;4;858.135;;;4;858.135;9;1.716.370
133;61.033.106;BANCO CREFISA S.A.;;;;;2;55.391;8;806.559;10;861.950;1;800.000;;;1;800.000;11;1.661.950
134;28.762.249;SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.;3;139.000;8;235.330;107;195.609;100;378.823;218;948.762;25;406.936;5;134.318;30;541.254;248;1.490.017
135;8.520.517;SOL CORRETORA DE CÂMBIO LTDA.;;;;;80;419.457;113;276.009;193;695.467;46;162.197;19;331.517;65;493.714;258;1.189.181
136;15.122.605;LÚMINA CORRETORA DE CÂMBIO LTDA.;;;;;196;191.739;160;503.417;356;695.156;96;335.967;5;14.936;101;350.903;457;1.046.059
137;18.145.784;NUMATUR CORRETORA DE CÂMBIO LTDA.;;;;;33;18.916;146;397.841;179;416.757;39;363.666;;;39;363.666;218;780.423
138;23.010.182;GOOD CORRETORA DE CÂMBIO LTDA;;;;;77;146.000;128;377.739;205;523.739;42;231.474;;;42;231.474;247;755.213
139;59.285.411;BANCO PAN S.A.;;;;;5;79.419;23;645.676;28;725.095;;;;; -   ; -   ;28;725.095
140;89.784.367;EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;61;187.579;100;205.070;161;392.649;25;171.681;2;145.000;27;316.681;188;709.330
141;16.927.221;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.;;;;;53;86.332;90;315.964;143;402.297;79;231.450;2;1.310;81;232.759;224;635.056
142;20.155.248;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;;;;170;60.972;302;329.086;472;390.058;9;215.828;;;9;215.828;481;605.886
143;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;4;379.856;;;;;1;500;5;380.356;2;72.701;2;72.382;4;145.083;9;525.439
144;16.854.999;SINGRATUR CORRETORA DE CÂMBIO LTDA;;;;;23;15.090;60;232.258;83;247.348;39;214.581;;;39;214.581;122;461.929
145;40.333.582;PROSEFTUR CORRETORA DE CÂMBIO LTDA.;;;13;148.716;;;5;78.200;18;226.916;17;226.916;;;17;226.916;35;453.831
146;21.040.668;GLOBAL EXCHANGE DO BRASIL SOCIEDADE CORRETORA DE CÂMBIO LTDA.;;;;;94;218.750;88;191.370;182;410.120;2;8.426;2;10.985;4;19.411;186;429.531
147;54.403.563;BANCO ARBI S.A.;5;220.831;6;10.147;;;7;16.191;18;247.169;1;2.793;1;2.834;2;5.628;20;252.797
148;15.761.217;CORRETORA DE CÂMBIO AÇORIANA LIMITADA.;;;;;6;5.698;53;104.027;59;109.724;40;107.690;2;2.800;42;110.490;101;220.214
149;9.512.542;CODEPE CORRETORA DE VALORES E CÂMBIO S.A.;;;;;;;1;100.000;1;100.000;1;100.000;;;1;100.000;2;200.000
150;62.280.490;DIBRAN DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;5;8.370;37;88.060;42;96.430;32;83.414;3;4.950;35;88.364;77;184.794
151;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;;36;27.040;50;68.429;86;95.469;3;47.642;;;3;47.642;89;143.111
152;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;;1;525;16;45.710;17;46.235;14;54.804;1;15.000;15;69.804;32;116.039
153;28.650.236;BS2 DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;1;3.360;5;44.832;6;48.192;3;691;6;17.799;9;18.490;15;66.683
154;38.486.817;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;;;;;;;7;63.134;7;63.134;;;;; -   ; -   ;7;63.134
155;3.443.143;AVIPAM CORRETORA DE CAMBIO LTDA;;;;;;;4;20.668;4;20.668;4;20.668;;;4;20.668;8;41.336
156;15.077.393;MEGA CORRETORA DE CÂMBIO LTDA.;;;;;11;4.011;11;25.843;22;29.854;;;;; -   ; -   ;22;29.854
157;61.820.817;BANCO PAULISTA S.A.;1;20.000;;;1;9.482;;;2;29.482;;;;; -   ; -   ;2;29.482
158;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;;;;;; -   ; -   ;1;6.500;1;6.500;2;13.000;2;13.000
159;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES;;;;;1;4.500;3;1.496;4;5.996;;;;; -   ; -   ;4;5.996
160;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.;;;;;;;2;1.239;2;1.239;;;;; -   ; -   ;2;1.239
161;33.042.953;CITIBANK N.A.;;;;;1;74;2;351;3;425;;;;; -   ; -   ;3;425
Total;;;45.420;20.079.502.760;115.259;16.356.393.033;565.022;41.192.345.069;397.654;44.103.367.517;1.123.355;121.731.608.378;29.264;42.135.671.956;29.264;42.175.197.968;58.528;84.310.869.925;1.181.883;206.042.478.303
"Fonte: Sistema Câmbio; Dados extraídos em: 10.08.2021";;;;;;;;;;;;;;;;;;;;
Obs. Os dados para o Mercado Primário incluem os registros de contratos da natureza 99000 e não incluem os registros ACAM204.;;;;;;;;;;;;;;;;;;;;
Obs. Os dados para o Mercado Interbancário referem-se a registros de operações de arbitragens (no País e no exterior), operações entre  instituições e operações com o Banco Central do Brasil.;;;;;;;;;;;;;;;;;;;;
