Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 2.054 ; 12.677.743.797 ; 1.976 ; 13.591.752.527 ; 4.030 ; 26.269.496.324 ; 491 ; 7.129.986.442 ; 465 ; 6.213.991.160 ; 956 ; 13.343.977.602 ; 4.986 ; 39.613.473.926 ;;
16;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 2.584 ; 17.060.834.577 ; 2.828 ; 16.625.337.124 ; 5.412 ; 33.686.171.701 ; 98 ; 1.803.964.566 ; 91 ; 2.239.730.007 ; 189 ; 4.043.694.573 ; 5.601 ; 37.729.866.274 ;;
17;53.518.684;BANCO HSBC S.A.; 246 ; 2.860.025.957 ; 456 ; 325.342.740 ; 1.567 ; 3.850.279.372 ; 2.478 ; 2.638.802.378 ; 4.747 ; 9.674.450.447 ; 1.081 ; 8.605.468.233 ; 1.199 ; 12.366.162.765 ; 2.280 ; 20.971.630.998 ; 7.027 ; 30.646.081.445 ;;
18;07.679.404;BANCO TOPÁZIO S.A.; 1.395 ; 398.933.360 ; 1.477 ; 80.839.090 ; 213.492 ; 1.008.276.585 ; 582.759 ; 9.795.929.728 ; 799.123 ; 11.283.978.763 ; 8.388 ; 10.757.042.287 ; 26.334 ; 2.287.813.253 ; 34.722 ; 13.044.855.540 ; 833.845 ; 24.328.834.303 ;;
19;33.264.668;BANCO XP S.A.; 2.554 ; 1.287.030.020 ; 18.194 ; 3.544.766.078 ; 31.881 ; 3.107.560.858 ; 148.934 ; 6.399.139.254 ; 201.563 ; 14.338.496.210 ; 910 ; 7.782.504.069 ; 830 ; 2.193.143.705 ; 1.740 ; 9.975.647.774 ; 203.303 ; 24.314.143.984 ;;
20;31.872.495;BANCO C6 S.A.; 590 ; 1.208.900.945 ; 4.995 ; 969.038.312 ; 60.278 ; 3.041.441.299 ; 483.608 ; 5.025.748.170 ; 549.471 ; 10.245.128.726 ; 961 ; 7.736.594.118 ; 1.356 ; 6.045.461.837 ; 2.317 ; 13.782.055.955 ; 551.788 ; 24.027.184.681 ;;
21;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 953 ; 80.409.665 ; 7.871 ; 987.865.479 ; 2.826 ; 690.471.735 ; 74.109 ; 827.606.657 ; 85.759 ; 2.586.353.536 ; 3.248 ; 10.455.892.417 ; 3.880 ; 9.414.370.437 ; 7.128 ; 19.870.262.854 ; 92.887 ; 22.456.616.390 ;;
22;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.656 ; 506.039.755 ; 3.791 ; 492.374.853 ; 45.845 ; 5.108.741.822 ; 65.288 ; 7.159.026.097 ; 117.580 ; 13.266.182.527 ; 12.836 ; 5.012.351.576 ; 41.191 ; 2.982.728.488 ; 54.027 ; 7.995.080.064 ; 171.607 ; 21.261.262.591 ;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 602 ; 2.479.625.034 ; 55 ; 42.063.530 ; 690 ; 2.568.150.843 ; 1.734 ; 2.924.707.539 ; 3.081 ; 8.014.546.946 ; 593 ; 5.522.272.368 ; 682 ; 7.494.626.167 ; 1.275 ; 13.016.898.535 ; 4.356 ; 21.031.445.481 ;;
24;02.801.938;BANCO MORGAN STANLEY S.A.; 106 ; 1.768.401.469 ; 446 ; 629.339.411 ; 1.381 ; 5.875.961.854 ; 1.686 ; 4.457.011.809 ; 3.619 ; 12.730.714.543 ; 95 ; 2.840.775.748 ; 171 ; 5.197.141.890 ; 266 ; 8.037.917.638 ; 3.885 ; 20.768.632.181 ;;
25;78.632.767;BANCO OURINVEST S.A.; 5.729 ; 699.073.208 ; 19.874 ; 1.139.920.383 ; 228.993 ; 3.220.128.652 ; 343.910 ; 6.128.928.584 ; 598.506 ; 11.188.050.827 ; 7.152 ; 6.140.478.473 ; 99.827 ; 2.631.834.818 ; 106.979 ; 8.772.313.291 ; 705.485 ; 19.960.364.118 ;;
26;28.195.667;BANCO ABC BRASIL S.A.; 841 ; 674.513.887 ; 2.826 ; 725.109.635 ; 1.484 ; 1.696.500.179 ; 4.230 ; 1.712.387.852 ; 9.381 ; 4.808.511.553 ; 1.009 ; 6.634.098.880 ; 1.885 ; 6.480.509.498 ; 2.894 ; 13.114.608.378 ; 12.275 ; 17.923.119.931 ;;
27;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 59 ; 586.072.052 ; 18 ; 3.774.550 ; 203 ; 692.297.532 ; 328 ; 530.292.849 ; 608 ; 1.812.436.983 ; 617 ; 7.311.690.566 ; 661 ; 8.078.587.845 ; 1.278 ; 15.390.278.411 ; 1.886 ; 17.202.715.394 ;;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 716 ; 1.332.662.680 ; 1.449 ; 461.529.971 ; 639 ; 1.354.772.101 ; 1.380 ; 987.146.304 ; 4.184 ; 4.136.111.056 ; 819 ; 4.748.347.884 ; 962 ; 6.187.464.507 ; 1.781 ; 10.935.812.391 ; 5.965 ; 15.071.923.447 ;;
29;62.232.889;BANCO DAYCOVAL S.A.; 1.897 ; 529.827.285 ; 5.414 ; 1.072.444.099 ; 383.761 ; 3.089.860.933 ; 383.367 ; 2.913.682.136 ; 774.439 ; 7.605.814.453 ; 3.426 ; 3.629.985.699 ; 13.443 ; 3.217.417.627 ; 16.869 ; 6.847.403.326 ; 791.308 ; 14.453.217.779 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 471 ; 678.207.667 ; 1.863 ; 362.829.989 ; 204 ; 3.001.301.323 ; 1.792 ; 2.877.079.314 ; 4.330 ; 6.919.418.293 ; 422 ; 3.294.980.689 ; 361 ; 3.698.489.532 ; 783 ; 6.993.470.221 ; 5.113 ; 13.912.888.514 ;;
31;58.160.789;BANCO SAFRA S.A.; 2.065 ; 993.957.631 ; 3.835 ; 982.239.210 ; 184.469 ; 3.226.675.401 ; 149.965 ; 2.318.926.417 ; 340.334 ; 7.521.798.659 ; 2.406 ; 2.634.994.390 ; 2.591 ; 3.631.968.199 ; 4.997 ; 6.266.962.589 ; 345.331 ; 13.788.761.248 ;;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 31 ; 534.733.331 ; 57 ; 172.559.576 ; 160 ; 1.786.615.659 ; 973 ; 1.157.308.675 ; 1.221 ; 3.651.217.241 ; 169 ; 3.234.558.159 ; 234 ; 4.158.816.337 ; 403 ; 7.393.374.496 ; 1.624 ; 11.044.591.737 ;;
33;68.900.810;BANCO RENDIMENTO S.A.; 63 ; 29.926.560 ; 1.014 ; 811.427.086 ; 566.084 ; 1.805.594.791 ; 29.810 ; 638.587.984 ; 596.971 ; 3.285.536.421 ; 10.686 ; 2.829.137.335 ; 56.902 ; 3.219.840.871 ; 67.588 ; 6.048.978.206 ; 664.559 ; 9.334.514.627 ;;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 5.878.964 ; 2.660.877.243 ; 6.814.110 ; 2.898.946.573 ; 12.693.074 ; 5.559.823.816 ; 7.708 ; 1.722.388.041 ; 7.689 ; 1.484.323.455 ; 15.397 ; 3.206.711.496 ; 12.708.471 ; 8.766.535.312 ;;
