Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Nov/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.588 ; 849.830.806 ; 4.795 ; 780.306.972 ; 5.565 ; 4.750.839.201 ; 5.509 ; 2.803.439.834 ; 17.457 ; 9.184.416.812 ; 4.930 ; 16.918.847.610 ; 4.570 ; 19.250.576.766 ; 9.500 ; 36.169.424.377 ; 26.957 ; 45.353.841.189 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 6.000 ; 10.004.129.345 ; 5.458 ; 14.551.361.955 ; 11.459 ; 24.594.491.301 ; 463 ; 11.219.037.740 ; 323 ; 6.649.087.787 ; 786 ; 17.868.125.527 ; 12.245 ; 42.462.616.828 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.817 ; 9.233.589.141 ; 2.175 ; 10.088.277.939 ; 4.992 ; 19.321.867.080 ; 271 ; 9.258.262.657 ; 277 ; 8.636.187.455 ; 548 ; 17.894.450.113 ; 5.540 ; 37.216.317.192 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.659 ; 3.150.043.674 ; 13.250 ; 1.981.069.640 ; 3.302 ; 4.535.212.370 ; 12.207 ; 7.485.044.272 ; 30.418 ; 17.151.369.957 ; 3.417 ; 10.217.193.902 ; 6.956 ; 8.441.069.503 ; 10.373 ; 18.658.263.405 ; 40.791 ; 35.809.633.361 ;
19;58.160.789;BANCO SAFRA S.A.; 1.952 ; 1.126.495.552 ; 9.519 ; 1.000.194.603 ; 9.671 ; 2.904.941.077 ; 22.268 ; 3.092.970.219 ; 43.410 ; 8.124.601.450 ; 1.599 ; 7.663.035.345 ; 1.559 ; 7.423.217.227 ; 3.158 ; 15.086.252.571 ; 46.568 ; 23.210.854.022 ;
20;61.820.817;BANCO PAULISTA S.A.; 1.300 ; 683.802.899 ; 4.108 ; 290.020.250 ; 8.642 ; 1.945.827.956 ; 12.127 ; 1.237.880.905 ; 26.177 ; 4.157.532.009 ; 13.511 ; 6.045.464.619 ; 109.597 ; 7.162.751.727 ; 123.108 ; 13.208.216.345 ; 149.285 ; 17.365.748.355 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 134 ; 481.032.234 ; 872 ; 342.934.744 ; 746 ; 1.705.038.731 ; 687 ; 899.954.932 ; 2.439 ; 3.428.960.641 ; 1.350 ; 5.385.233.528 ; 1.633 ; 6.286.519.405 ; 2.983 ; 11.671.752.933 ; 5.422 ; 15.100.713.574 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 3.135 ; 1.908.632.733 ; 2.409 ; 93.516.420 ; 55.810 ; 1.004.639.657 ; 14.449 ; 2.959.427.803 ; 75.803 ; 5.966.216.613 ; 1.066 ; 3.248.909.197 ; 1.348 ; 3.050.402.508 ; 2.414 ; 6.299.311.704 ; 78.217 ; 12.265.528.317 ;
23;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.588 ; 430.906.070 ; 4.927 ; 714.924.486 ; 3.841 ; 3.401.572.396 ; 5.411 ; 1.387.796.889 ; 15.767 ; 5.935.199.841 ; 604 ; 1.601.402.690 ; 814 ; 3.331.453.633 ; 1.418 ; 4.932.856.323 ; 17.185 ; 10.868.056.165 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 94 ; 633.385.741 ; 5 ; 11.971.769 ; 371 ; 821.287.559 ; 524 ; 237.113.329 ; 994 ; 1.703.758.398 ; 659 ; 3.654.475.395 ; 733 ; 4.865.887.468 ; 1.392 ; 8.520.362.863 ; 2.386 ; 10.224.121.261 ;
25;49.336.860;ING BANK N.V.; 304 ; 1.455.525.696 ; 76 ; 89.354.354 ; 129 ; 456.379.224 ; 796 ; 569.952.584 ; 1.305 ; 2.571.211.858 ; 183 ; 3.085.098.722 ; 222 ; 4.389.262.927 ; 405 ; 7.474.361.649 ; 1.710 ; 10.045.573.507 ;
