Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Out/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.458 ; 772.428.414 ; 4.401 ; 732.018.791 ; 5.081 ; 4.395.326.088 ; 5.046 ; 2.598.588.034 ; 15.986 ; 8.498.361.327 ; 4.406 ; 15.700.042.624 ; 4.117 ; 17.764.428.057 ; 8.523 ; 33.464.470.681 ; 24.509 ; 41.962.832.008 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 5.370 ; 9.391.469.639 ; 4.729 ; 13.509.559.722 ; 10.100 ; 22.940.029.361 ; 436 ; 10.493.922.753 ; 307 ; 6.290.972.749 ; 743 ; 16.784.895.501 ; 10.843 ; 39.724.924.862 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 1.493 ; 2.894.396.867 ; 11.709 ; 1.811.724.655 ; 3.010 ; 4.080.208.564 ; 10.917 ; 6.872.397.183 ; 27.129 ; 15.658.727.268 ; 3.098 ; 9.554.038.546 ; 6.431 ; 7.913.233.419 ; 9.529 ; 17.467.271.966 ; 36.658 ; 33.125.999.233 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.491 ; 8.102.029.678 ; 1.993 ; 9.080.047.662 ; 4.484 ; 17.182.077.340 ; 238 ; 8.268.018.521 ; 253 ; 7.647.443.069 ; 491 ; 15.915.461.590 ; 4.975 ; 33.097.538.930 ;
19;58.160.789;BANCO SAFRA S.A.; 1.738 ; 992.383.376 ; 8.356 ; 912.042.355 ; 8.589 ; 2.765.106.867 ; 20.438 ; 2.931.427.461 ; 39.121 ; 7.600.960.059 ; 1.459 ; 7.373.253.550 ; 1.422 ; 7.155.563.316 ; 2.881 ; 14.528.816.865 ; 42.002 ; 22.129.776.924 ;
20;61.820.817;BANCO PAULISTA S.A.; 1.143 ; 592.057.314 ; 3.655 ; 256.691.751 ; 7.738 ; 1.790.598.592 ; 10.978 ; 1.134.742.022 ; 23.514 ; 3.774.089.679 ; 12.034 ; 5.469.687.361 ; 99.689 ; 6.496.108.226 ; 111.723 ; 11.965.795.587 ; 135.237 ; 15.739.885.266 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 126 ; 401.688.778 ; 847 ; 300.871.749 ; 663 ; 1.570.259.306 ; 639 ; 868.606.951 ; 2.275 ; 3.141.426.784 ; 1.215 ; 5.032.957.675 ; 1.445 ; 5.773.616.167 ; 2.660 ; 10.806.573.842 ; 4.935 ; 13.948.000.626 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.813 ; 1.736.823.910 ; 2.137 ; 85.025.253 ; 50.347 ; 876.466.158 ; 13.245 ; 2.819.534.157 ; 68.542 ; 5.517.849.478 ; 947 ; 3.061.527.136 ; 1.172 ; 2.723.021.839 ; 2.119 ; 5.784.548.975 ; 70.661 ; 11.302.398.453 ;
23;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.443 ; 389.346.469 ; 4.474 ; 639.548.933 ; 3.490 ; 3.152.826.952 ; 4.950 ; 1.217.786.842 ; 14.357 ; 5.399.509.196 ; 558 ; 1.419.377.049 ; 743 ; 3.104.042.264 ; 1.301 ; 4.523.419.313 ; 15.658 ; 9.922.928.509 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 86 ; 623.794.140 ; 5 ; 11.971.769 ; 351 ; 817.589.592 ; 492 ; 218.403.593 ; 934 ; 1.671.759.094 ; 595 ; 3.489.101.488 ; 670 ; 4.710.434.034 ; 1.265 ; 8.199.535.522 ; 2.199 ; 9.871.294.617 ;
