Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Julho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 7.264 ; 2.938.797.025 ; 22.799 ; 2.465.251.179 ; 31.659 ; 4.315.626.165 ; 58.992 ; 3.354.029.567 ; 120.714 ; 13.073.703.936 ; 926 ; 23.899.847.245 ; 1.052 ; 25.299.327.548 ; 1.978 ; 49.199.174.793 ; 122.692 ; 62.272.878.729 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 11.241 ; 4.922.981.509 ; 36.199 ; 4.513.582.889 ; 46.769 ; 4.811.137.459 ; 56.052 ; 5.005.799.075 ; 150.261 ; 19.253.500.932 ; 724 ; 13.923.831.505 ; 731 ; 14.093.880.155 ; 1.455 ; 28.017.711.660 ; 151.716 ; 47.271.212.592 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 377 ; 543.407.067 ; 2.884 ; 629.318.680 ; 2.158 ; 5.830.694.054 ; 2.879 ; 7.422.261.600 ; 8.298 ; 14.425.681.401 ; 508 ; 6.642.905.233 ; 627 ; 5.891.038.710 ; 1.135 ; 12.533.943.943 ; 9.433 ; 26.959.625.344 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.367 ; 1.977.704.271 ; 6.966 ; 1.832.938.414 ; 7.406 ; 7.010.641.667 ; 11.781 ; 7.549.828.688 ; 27.520 ; 18.371.113.040 ; 217 ; 2.862.710.848 ; 227 ; 2.807.176.409 ; 444 ; 5.669.887.257 ; 27.964 ; 24.041.000.297 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 9.612 ; 4.792.763.669 ; 23.606 ; 3.052.417.957 ; 33.359 ; 1.776.095.149 ; 43.561 ; 2.121.498.146 ; 110.138 ; 11.742.774.921 ; 246 ; 1.107.991.313 ; 246 ; 2.529.333.484 ; 492 ; 3.637.324.797 ; 110.630 ; 15.380.099.718 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 5.540 ; 3.580.600.316 ; 13.064 ; 1.443.149.915 ; 24.420 ; 1.736.513.466 ; 35.474 ; 1.519.609.879 ; 78.498 ; 8.279.873.576 ; 1.023 ; 2.165.291.880 ; 1.073 ; 4.343.696.738 ; 2.096 ; 6.508.988.618 ; 80.594 ; 14.788.862.194 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 472 ; 749.979.132 ; 1.701 ; 194.549.575 ; 4.289 ; 1.602.009.008 ; 6.779 ; 1.513.153.492 ; 13.241 ; 4.059.691.207 ; 298 ; 4.470.122.363 ; 383 ; 4.118.056.005 ; 681 ; 8.588.178.368 ; 13.922 ; 12.647.869.575 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 218 ; 564.740.818 ; 1.231 ; 448.406.467 ; 1.574 ; 2.159.490.190 ; 2.722 ; 2.033.889.238 ; 5.745 ; 5.206.526.713 ; 376 ; 3.217.225.267 ; 389 ; 3.655.114.352 ; 765 ; 6.872.339.619 ; 6.510 ; 12.078.866.332 ;
9;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 163 ; 207.028.263 ; 372 ; 97.433.541 ; 253 ; 277.956.341 ; 448 ; 207.991.215 ; 1.236 ; 790.409.360 ; 327 ; 5.001.847.680 ; 336 ; 5.053.687.473 ; 663 ; 10.055.535.153 ; 1.899 ; 10.845.944.513 ;
