Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;60.498.557;BANCO MUFG BRASIL S.A.; 129 ; 38.429.563 ; 467 ; 67.330.477 ; 428 ; 163.121.763 ; 534 ; 267.095.270 ; 1.558 ; 535.977.073 ; 567 ; 1.906.309.034 ; 554 ; 1.689.032.067 ; 1.121 ; 3.595.341.100 ; 2.679 ; 4.131.318.173 ;;;;
17;28.195.667;BANCO ABC BRASIL S.A.; 74 ; 59.631.343 ; 234 ; 66.072.707 ; 100 ; 212.969.737 ; 329 ; 204.376.600 ; 737 ; 543.050.386 ; 211 ; 1.499.000.812 ; 437 ; 1.331.511.790 ; 648 ; 2.830.512.602 ; 1.385 ; 3.373.562.989 ;;;;
18;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 16 ; 802.760 ;;; 191 ; 708.308.365 ; 242 ; 228.484.460 ; 449 ; 937.595.585 ; 20 ; 889.868.173 ; 44 ; 1.280.488.590 ; 64 ; 2.170.356.763 ; 513 ; 3.107.952.347 ;;;;
19;58.160.789;BANCO SAFRA S.A.; 173 ; 48.915.554 ; 1.170 ; 103.088.985 ; 1.105 ; 131.442.820 ; 2.189 ; 128.235.869 ; 4.637 ; 411.683.227 ; 283 ; 1.259.429.193 ; 296 ; 1.205.060.866 ; 579 ; 2.464.490.058 ; 5.216 ; 2.876.173.286 ;;;;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 97 ; 397.478.265 ; 536 ; 299.709.399 ; 304 ; 303.477.002 ; 512 ; 344.802.833 ; 1.449 ; 1.345.467.498 ; 130 ; 695.358.102 ; 142 ; 729.387.284 ; 272 ; 1.424.745.386 ; 1.721 ; 2.770.212.884 ;;;;
21;59.588.111;BANCO VOTORANTIM S.A.; 75 ; 122.189.480 ; 500 ; 124.816.794 ; 217 ; 86.017.545 ; 684 ; 278.825.529 ; 1.476 ; 611.849.348 ; 337 ; 1.072.832.638 ; 630 ; 857.324.797 ; 967 ; 1.930.157.434 ; 2.443 ; 2.542.006.782 ;;;;
22;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 297 ; 84.740.994 ; 2.115 ; 155.870.229 ; 1.535 ; 126.574.200 ; 5.025 ; 265.490.893 ; 8.972 ; 632.676.317 ; 1.274 ; 610.277.234 ; 9.772 ; 403.921.074 ; 11.046 ; 1.014.198.308 ; 20.018 ; 1.646.874.625 ;;;;
23;78.632.767;BANCO OURINVEST S.A.; 289 ; 19.777.413 ; 2.130 ; 121.801.082 ; 1.280 ; 90.044.321 ; 2.406 ; 99.377.434 ; 6.105 ; 331.000.250 ; 1.110 ; 629.082.726 ; 13.416 ; 505.116.313 ; 14.526 ; 1.134.199.039 ; 20.631 ; 1.465.199.290 ;;;;
24;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 8 ; 22.483.177 ; 24 ; 38.578.640 ; 25 ; 218.880.147 ; 52 ; 355.059.638 ; 109 ; 635.001.602 ; 73 ; 524.473.025 ; 77 ; 305.365.849 ; 150 ; 829.838.874 ; 259 ; 1.464.840.475 ;;;;
25;68.900.810;BANCO RENDIMENTO S.A.; 38 ; 10.208.654 ; 260 ; 25.605.922 ; 77.185 ; 188.891.271 ; 14.225 ; 170.934.775 ; 91.708 ; 395.640.623 ; 985 ; 439.127.518 ; 11.269 ; 409.845.878 ; 12.254 ; 848.973.396 ; 103.962 ; 1.244.614.019 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 117 ; 309.818.028 ; 44 ; 36.340.899 ; 77 ; 110.534.781 ; 254 ; 85.794.518 ; 492 ; 542.488.226 ; 20 ; 168.248.014 ; 28 ; 438.523.408 ; 48 ; 606.771.422 ; 540 ; 1.149.259.647 ;;;;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 53 ; 5.659.051 ; 781 ; 35.159.980 ; 277 ; 109.742.124 ; 106.119 ; 168.693.626 ; 107.230 ; 319.254.782 ; 292 ; 440.861.180 ; 448 ; 355.150.719 ; 740 ; 796.011.899 ; 107.970 ; 1.115.266.680 ;;;;
28;62.144.175;BANCO PINE S.A.; 26 ; 15.705.216 ; 317 ; 38.322.937 ; 6 ; 12.762.892 ; 56 ; 15.150.636 ; 405 ; 81.941.681 ; 95 ; 368.705.657 ; 237 ; 348.736.148 ; 332 ; 717.441.805 ; 737 ; 799.383.486 ;;;;
29;13.059.145;BEXS BANCO DE CÂMBIO S/A; 27 ; 149.299.024 ; 47 ; 1.679.271 ; 369 ; 25.159.317 ; 3.148 ; 212.587.333 ; 3.591 ; 388.724.945 ; 113 ; 208.163.644 ; 65 ; 166.239.367 ; 178 ; 374.403.011 ; 3.769 ; 763.127.956 ;;;;
30;62.232.889;BANCO DAYCOVAL S.A.; 616 ; 110.576.846 ; 853 ; 49.088.008 ; 1.673 ; 69.869.769 ; 3.571 ; 121.407.732 ; 6.713 ; 350.942.355 ; 446 ; 206.290.091 ; 1.638 ; 149.717.382 ; 2.084 ; 356.007.473 ; 8.797 ; 706.949.828 ;;;;
31;30.723.886;BANCO MODAL S.A.; 3 ; 131.273 ; 90 ; 17.171.242 ; 221 ; 312.485.071 ; 169 ; 122.795.780 ; 483 ; 452.583.366 ; 16 ; 37.296.550 ; 23 ; 206.365.300 ; 39 ; 243.661.850 ; 522 ; 696.245.216 ;;;;
32;00.360.305;CAIXA ECONOMICA FEDERAL; 119 ; 28.913.007 ; 102 ; 3.273.676 ; 8.850 ; 70.673.730 ; 1.901 ; 91.243.874 ; 10.972 ; 194.104.287 ; 230 ; 244.607.772 ; 219 ; 251.626.183 ; 449 ; 496.233.955 ; 11.421 ; 690.338.242 ;;;;
33;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 9 ; 39.865.481 ; 2 ; 14.052.234 ; 55 ; 50.440.922 ; 61 ; 32.460.212 ; 127 ; 136.818.849 ; 72 ; 233.924.104 ; 72 ; 272.365.969 ; 144 ; 506.290.073 ; 271 ; 643.108.922 ;;;;
