Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.221 ; 2.226.870.186 ; 22.967 ; 2.220.422.266 ; 17.314 ; 4.217.826.948 ; 27.879 ; 5.397.864.600 ; 73.381 ; 14.062.984.000 ; 635 ; 5.243.279.500 ; 594 ; 4.008.407.124 ; 1.229 ; 9.251.686.623 ; 74.610 ; 23.314.670.623 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.258 ; 1.738.648.931 ; 7.058 ; 1.750.725.279 ; 7.507 ; 6.420.586.776 ; 11.022 ; 7.187.767.846 ; 26.845 ; 17.097.728.832 ; 312 ; 2.944.348.841 ; 311 ; 2.270.426.203 ; 623 ; 5.214.775.044 ; 27.468 ; 22.312.503.876 ;;;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 213 ; 343.257.727 ; 1.997 ; 378.728.726 ; 877 ; 4.874.021.526 ; 1.804 ; 4.538.982.418 ; 4.891 ; 10.134.990.397 ; 201 ; 4.069.550.619 ; 211 ; 4.391.873.608 ; 412 ; 8.461.424.228 ; 5.303 ; 18.596.414.624 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 7.356 ; 2.800.449.243 ; 21.095 ; 2.792.608.932 ; 32.810 ; 2.949.751.683 ; 25.273 ; 4.034.969.840 ; 86.534 ; 12.577.779.697 ; 746 ; 2.606.776.096 ; 732 ; 1.617.872.414 ; 1.478 ; 4.224.648.510 ; 88.012 ; 16.802.428.208 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 7.534 ; 1.496.892.934 ; 17.470 ; 1.618.473.192 ; 33.351 ; 3.620.930.191 ; 30.500 ; 4.055.327.015 ; 88.855 ; 10.791.623.332 ; 296 ; 2.703.096.380 ; 287 ; 2.611.294.597 ; 583 ; 5.314.390.976 ; 89.438 ; 16.106.014.308 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 22 ; 37.469.746 ; 290 ; 65.470.156 ; 191 ; 1.296.801.547 ; 337 ; 777.271.210 ; 840 ; 2.177.012.658 ; 136 ; 6.170.609.747 ; 127 ; 6.060.083.175 ; 263 ; 12.230.692.922 ; 1.103 ; 14.407.705.580 ;;;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 14 ; 56.653.694 ; 87 ; 27.430.758 ; 384 ; 743.788.645 ; 466 ; 758.409.854 ; 951 ; 1.586.282.951 ; 136 ; 5.990.006.870 ; 113 ; 6.254.803.123 ; 249 ; 12.244.809.992 ; 1.200 ; 13.831.092.943 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 8.030 ; 2.481.157.186 ; 9.414 ; 1.567.272.114 ; 19.529 ; 1.009.965.522 ; 36.414 ; 3.639.217.283 ; 73.387 ; 8.697.612.105 ; 347 ; 2.054.219.091 ; 346 ; 1.219.900.823 ; 693 ; 3.274.119.914 ; 74.080 ; 11.971.732.019 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 206 ; 325.612.335 ; 906 ; 239.141.529 ; 737 ; 2.386.358.324 ; 1.446 ; 1.049.447.618 ; 3.295 ; 4.000.559.806 ; 412 ; 1.021.721.107 ; 478 ; 2.779.425.132 ; 890 ; 3.801.146.239 ; 4.185 ; 7.801.706.045 ;;;;
