Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
16;59.588.111;BANCO VOTORANTIM S.A.; 161 ; 180.672.265 ; 422 ; 107.359.841 ; 209 ; 320.521.695 ; 473 ; 221.764.784 ; 1.265 ; 830.318.585 ; 322 ; 2.175.669.382 ; 506 ; 2.446.486.665 ; 828 ; 4.622.156.047 ; 2.093 ; 5.452.474.632 ;;
17;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 303 ; 2.437.466.790 ; 358 ; 2.477.096.647 ; 661 ; 4.914.563.437 ; 11 ; 75.908.088 ; 3 ; 36.250.000 ; 14 ; 112.158.088 ; 675 ; 5.026.721.525 ;;
18;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 88 ; 3.968.164 ; 1.123 ; 105.152.464 ; 525 ; 44.091.354 ; 7.574 ; 105.156.174 ; 9.310 ; 258.368.156 ; 460 ; 2.096.983.688 ; 527 ; 1.941.857.254 ; 987 ; 4.038.840.942 ; 10.297 ; 4.297.209.098 ;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 143 ; 128.791.623 ; 352 ; 98.803.400 ; 284 ; 754.867.495 ; 427 ; 631.968.351 ; 1.206 ; 1.614.430.869 ; 683 ; 1.116.255.529 ; 702 ; 1.542.955.066 ; 1.385 ; 2.659.210.595 ; 2.591 ; 4.273.641.464 ;;
20;07.679.404;BANCO TOPÁZIO S.A.; 129 ; 3.263.801 ; 899 ; 127.111.535 ; 30.745 ; 241.165.415 ; 75.135 ; 1.681.620.840 ; 106.908 ; 2.053.161.591 ; 928 ; 1.843.814.315 ; 2.826 ; 280.957.809 ; 3.754 ; 2.124.772.124 ; 110.662 ; 4.177.933.715 ;;
21;02.801.938;BANCO MORGAN STANLEY S.A.; 10 ; 86.732.116 ; 47 ; 69.742.986 ; 152 ; 1.208.302.787 ; 136 ; 505.045.924 ; 345 ; 1.869.823.813 ; 10 ; 691.750.289 ; 47 ; 1.532.088.589 ; 57 ; 2.223.838.878 ; 402 ; 4.093.662.691 ;;
22;31.872.495;BANCO C6 S.A.; 115 ; 227.807.783 ; 1.135 ; 223.380.984 ; 1.378 ; 538.187.174 ; 3.209 ; 592.910.396 ; 5.837 ; 1.582.286.337 ; 128 ; 1.046.939.688 ; 158 ; 1.040.044.468 ; 286 ; 2.086.984.156 ; 6.123 ; 3.669.270.493 ;;
23;53.518.684;BANCO HSBC S.A.; 71 ; 551.817.553 ; 123 ; 30.694.709 ; 216 ; 304.310.584 ; 362 ; 301.513.741 ; 772 ; 1.188.336.587 ; 184 ; 980.625.281 ; 206 ; 1.450.562.648 ; 390 ; 2.431.187.929 ; 1.162 ; 3.619.524.516 ;;
24;28.195.667;BANCO ABC BRASIL S.A.; 85 ; 77.967.361 ; 376 ; 49.099.992 ; 53 ; 147.754.065 ; 405 ; 103.751.508 ; 919 ; 378.572.926 ; 102 ; 1.309.932.114 ; 155 ; 1.598.457.837 ; 257 ; 2.908.389.951 ; 1.176 ; 3.286.962.877 ;;
25;62.232.889;BANCO DAYCOVAL S.A.; 352 ; 55.613.814 ; 1.626 ; 164.620.402 ; 49.480 ; 470.584.063 ; 45.997 ; 481.457.108 ; 97.455 ; 1.172.275.387 ; 336 ; 853.280.668 ; 1.751 ; 692.507.750 ; 2.087 ; 1.545.788.418 ; 99.542 ; 2.718.063.805 ;;
