Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Dezembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.073 ; 148.007.990 ; 6.651 ; 460.738.656 ; 10.467 ; 492.192.463 ; 31.242 ; 893.247.362 ; 49.433 ; 1.994.186.471 ; 125 ; 3.009.086.378 ; 139 ; 2.507.862.628 ; 264 ; 5.516.949.006 ; 49.697 ; 7.511.135.477 ;
16;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 342 ; 3.287.418.951 ; 378 ; 3.291.411.410 ; 720 ; 6.578.830.361 ; 16 ; 493.000.000 ; 13 ; 322.050.000 ; 29 ; 815.050.000 ; 749 ; 7.393.880.361 ;
17;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 137 ; 79.242.715 ; 549 ; 122.149.558 ; 262 ; 385.778.139 ; 391 ; 109.271.814 ; 1.339 ; 696.442.226 ; 359 ; 3.246.713.512 ; 404 ; 3.444.293.098 ; 763 ; 6.691.006.610 ; 2.102 ; 7.387.448.836 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 95 ; 20.355.818 ; 484 ; 244.333.918 ; 241 ; 805.902.827 ; 508 ; 2.116.060.661 ; 1.328 ; 3.186.653.224 ; 541 ; 2.547.372.902 ; 529 ; 1.372.737.037 ; 1.070 ; 3.920.109.939 ; 2.398 ; 7.106.763.163 ;
19;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 204 ; 21.404.946 ; 1.573 ; 76.107.310 ; 880 ; 82.317.395 ; 8.459 ; 557.451.033 ; 11.116 ; 737.280.684 ; 563 ; 3.425.404.217 ; 562 ; 2.914.030.453 ; 1.125 ; 6.339.434.670 ; 12.241 ; 7.076.715.354 ;
20;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 23 ; 143.539.438 ; 1.260 ; 222.466.789 ; 92 ; 280.504.367 ; 363 ; 674.121.584 ; 1.738 ; 1.320.632.178 ; 411 ; 3.009.822.491 ; 405 ; 2.465.912.131 ; 816 ; 5.475.734.622 ; 2.554 ; 6.796.366.800 ;
21;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 565 ; 1.902.556.918 ; 543 ; 2.685.457.968 ; 1.108 ; 4.588.014.886 ; 66 ; 1.300.960.774 ; 41 ; 518.037.815 ; 107 ; 1.818.998.589 ; 1.215 ; 6.407.013.475 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 61 ; 303.007.253 ; 179 ; 56.897.159 ; 219 ; 487.123.254 ; 344 ; 789.518.313 ; 803 ; 1.636.545.979 ; 318 ; 2.186.156.287 ; 320 ; 2.242.700.072 ; 638 ; 4.428.856.359 ; 1.441 ; 6.065.402.338 ;
23;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 366 ; 128.045.840 ; 1.403 ; 158.761.826 ; 70.059 ; 1.227.216.502 ; 37.162 ; 707.444.129 ; 108.990 ; 2.221.468.297 ; 382 ; 896.334.914 ; 2.050 ; 1.275.975.767 ; 2.432 ; 2.172.310.681 ; 111.422 ; 4.393.778.978 ;
24;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 160 ; 85.373.381 ; 958 ; 200.840.694 ; 2.454 ; 770.859.458 ; 4.295 ; 773.658.279 ; 7.867 ; 1.830.731.812 ; 97 ; 1.262.464.862 ; 147 ; 1.118.863.592 ; 244 ; 2.381.328.454 ; 8.111 ; 4.212.060.266 ;
