Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 1.342 ; 2.334.983.024 ; 8.009 ; 1.096.976.827 ; 2.553 ; 2.953.849.448 ; 7.187 ; 3.770.458.614 ; 19.091 ; 10.156.267.913 ; 2.944 ; 7.138.308.555 ; 6.380 ; 7.470.770.501 ; 9.324 ; 14.609.079.056 ; 28.415 ; 24.765.346.968 ;;;;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.096 ; 1.768.339.979 ; 5.930 ; 1.592.747.354 ; 3.057 ; 4.467.069.498 ; 9.523 ; 5.920.919.928 ; 19.606 ; 13.749.076.760 ; 753 ; 6.112.676.457 ; 684 ; 4.829.548.024 ; 1.437 ; 10.942.224.481 ; 21.043 ; 24.691.301.241 ;;;;
17;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 193 ; 1.600.617.860 ; 1.025 ; 728.779.495 ; 623 ; 1.482.103.915 ; 1.378 ; 2.574.813.612 ; 3.219 ; 6.386.314.883 ; 1.745 ; 7.842.708.246 ; 2.344 ; 7.596.863.353 ; 4.089 ; 15.439.571.599 ; 7.308 ; 21.825.886.483 ;;;;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 169 ; 622.600.773 ; 34 ; 73.841.298 ; 275 ; 605.585.762 ; 441 ; 375.125.257 ; 919 ; 1.677.153.090 ; 757 ; 9.540.945.294 ; 804 ; 10.323.914.593 ; 1.561 ; 19.864.859.887 ; 2.480 ; 21.542.012.977 ;;;;
19;49.336.860;ING BANK N.V.; 147 ; 1.012.885.404 ; 54 ; 4.668.599 ; 100 ; 543.701.541 ; 595 ; 265.858.316 ; 896 ; 1.827.113.860 ; 149 ; 8.726.267.932 ; 197 ; 10.050.317.736 ; 346 ; 18.776.585.668 ; 1.242 ; 20.603.699.528 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 1.584 ; 1.028.836.900 ; 4.649 ; 358.696.933 ; 7.458 ; 1.358.377.144 ; 13.901 ; 1.894.326.551 ; 27.592 ; 4.640.237.528 ; 14.141 ; 6.039.553.199 ; 120.490 ; 6.176.441.053 ; 134.631 ; 12.215.994.253 ; 162.223 ; 16.856.231.780 ;;;;
21;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 453 ; 1.285.826.784 ;;; 719 ; 1.541.502.633 ; 414 ; 2.134.395.686 ; 1.586 ; 4.961.725.103 ; 75 ; 2.390.937.150 ; 221 ; 6.296.172.391 ; 296 ; 8.687.109.540 ; 1.882 ; 13.648.834.644 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 1.651 ; 1.162.746.288 ; 8.553 ; 1.136.070.722 ; 8.227 ; 1.358.359.664 ; 20.918 ; 2.788.974.753 ; 39.349 ; 6.446.151.427 ; 1.627 ; 3.302.929.861 ; 1.523 ; 1.913.536.028 ; 3.150 ; 5.216.465.889 ; 42.499 ; 11.662.617.316 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 819 ; 2.272.117.500 ; 326 ; 256.684.875 ; 645 ; 1.556.237.218 ; 1.940 ; 1.649.416.550 ; 3.730 ; 5.734.456.142 ; 118 ; 993.929.479 ; 183 ; 2.962.862.357 ; 301 ; 3.956.791.836 ; 4.031 ; 9.691.247.978 ;;;;
24;68.900.810;BANCO RENDIMENTO S.A.; 209 ; 14.461.437 ; 665 ; 224.149.489 ; 321.020 ; 1.016.370.730 ; 7.866 ; 1.328.850.977 ; 329.760 ; 2.583.832.633 ; 4.678 ; 3.137.736.167 ; 90.922 ; 2.602.956.969 ; 95.600 ; 5.740.693.136 ; 425.360 ; 8.324.525.769 ;;;;
25;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.492 ; 87.383.067 ; 11.176 ; 427.047.772 ; 6.145 ; 515.075.265 ; 24.281 ; 816.184.497 ; 43.094 ; 1.845.690.601 ; 8.794 ; 3.327.059.753 ; 70.254 ; 2.690.436.543 ; 79.048 ; 6.017.496.296 ; 122.142 ; 7.863.186.897 ;;;;
26;00.360.305;CAIXA ECONOMICA FEDERAL; 2.437 ; 1.025.808.907 ; 1.832 ; 58.839.445 ; 56.180 ; 887.678.265 ; 15.002 ; 1.425.813.339 ; 75.451 ; 3.398.139.956 ; 1.154 ; 1.921.370.174 ; 1.407 ; 2.348.495.176 ; 2.561 ; 4.269.865.350 ; 78.012 ; 7.668.005.306 ;;;;
27;78.632.767;BANCO OURINVEST S.A.; 849 ; 203.296.412 ; 3.788 ; 225.268.465 ; 3.653 ; 425.227.717 ; 6.877 ; 525.545.123 ; 15.167 ; 1.379.337.717 ; 3.393 ; 3.010.326.764 ; 90.888 ; 2.838.186.363 ; 94.281 ; 5.848.513.127 ; 109.448 ; 7.227.850.844 ;;;;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.501 ; 432.846.924 ; 4.635 ; 781.033.366 ; 3.151 ; 1.479.406.613 ; 4.735 ; 1.034.487.496 ; 14.022 ; 3.727.774.399 ; 646 ; 1.584.008.574 ; 643 ; 1.679.904.046 ; 1.289 ; 3.263.912.620 ; 15.311 ; 6.991.687.019 ;;;;
29;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 699 ; 406.580.975 ; 1.205 ; 136.936.029 ; 447 ; 1.296.750.547 ; 2.399 ; 1.364.257.416 ; 4.750 ; 3.204.524.967 ; 331 ; 1.815.612.749 ; 289 ; 1.937.621.330 ; 620 ; 3.753.234.079 ; 5.370 ; 6.957.759.046 ;;;;
30;62.232.889;BANCO DAYCOVAL S.A.; 2.822 ; 441.000.775 ; 4.690 ; 292.893.460 ; 4.782 ; 448.097.656 ; 20.274 ; 700.265.262 ; 32.568 ; 1.882.257.154 ; 5.049 ; 2.566.597.664 ; 20.509 ; 2.501.639.612 ; 25.558 ; 5.068.237.276 ; 58.126 ; 6.950.494.430 ;;;;
31;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 2.844.356 ; 1.596 ; 2.474.705.469 ; 2.044 ; 885.758.751 ; 3.642 ; 3.363.308.576 ; 99 ; 789.430.642 ; 831 ; 2.425.320.000 ; 930 ; 3.214.750.642 ; 4.572 ; 6.578.059.218 ;;;;
