Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Março/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 17.746 ; 7.685.130.166 ; 56.627 ; 6.923.980.506 ; 78.043 ; 14.540.283.960 ; 150.365 ; 10.481.791.400 ; 302.781 ; 39.631.186.032 ; 3.372 ; 63.062.105.722 ; 3.422 ; 63.656.432.731 ; 6.794 ; 126.718.538.453 ; 309.575 ; 166.349.724.485 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 27.888 ; 11.648.383.600 ; 91.711 ; 10.079.746.768 ; 128.347 ; 14.756.688.319 ; 133.010 ; 16.047.093.744 ; 380.956 ; 52.531.912.431 ; 2.289 ; 49.710.705.591 ; 2.337 ; 51.260.819.360 ; 4.626 ; 100.971.524.951 ; 385.582 ; 153.503.437.382 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 1.072 ; 2.160.589.610 ; 7.289 ; 1.864.476.078 ; 5.628 ; 17.455.574.518 ; 8.933 ; 20.653.474.504 ; 22.922 ; 42.134.114.710 ; 1.610 ; 37.484.777.994 ; 1.707 ; 33.339.163.353 ; 3.317 ; 70.823.941.347 ; 26.239 ; 112.958.056.057 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 3.696 ; 8.249.770.324 ; 19.955 ; 4.915.642.713 ; 20.963 ; 19.505.873.972 ; 33.584 ; 22.766.661.445 ; 78.198 ; 55.437.948.454 ; 604 ; 14.329.256.485 ; 664 ; 14.637.099.083 ; 1.268 ; 28.966.355.568 ; 79.466 ; 84.404.304.022 ;
5;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 1.187 ; 3.402.417.367 ; 3.898 ; 547.903.661 ; 9.397 ; 4.247.811.545 ; 14.847 ; 6.294.539.697 ; 29.329 ; 14.492.672.270 ; 890 ; 26.230.092.567 ; 1.335 ; 27.386.389.488 ; 2.225 ; 53.616.482.055 ; 31.554 ; 68.109.154.325 ;
6;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 674 ; 11.288.014.899 ; 725 ; 12.551.860.227 ; 1.399 ; 23.839.875.126 ; 261 ; 17.554.564.496 ; 243 ; 16.830.935.931 ; 504 ; 34.385.500.427 ; 1.903 ; 58.225.375.553 ;
7;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 26.993 ; 12.606.380.424 ; 62.615 ; 7.181.537.859 ; 105.533 ; 8.831.102.150 ; 126.694 ; 11.550.520.399 ; 321.835 ; 40.169.540.832 ; 833 ; 5.819.876.164 ; 840 ; 7.208.249.640 ; 1.673 ; 13.028.125.804 ; 323.508 ; 53.197.666.636 ;
8;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 13.262 ; 8.777.321.280 ; 34.150 ; 3.856.368.118 ; 67.444 ; 5.250.717.816 ; 93.481 ; 5.288.303.261 ; 208.337 ; 23.172.710.475 ; 2.327 ; 8.364.305.662 ; 2.441 ; 13.152.591.409 ; 4.768 ; 21.516.897.071 ; 213.105 ; 44.689.607.546 ;
9;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 441 ; 352.837.993 ; 1.548 ; 571.510.310 ; 647 ; 512.213.965 ; 1.054 ; 1.390.899.028 ; 3.690 ; 2.827.461.296 ; 2.457 ; 17.107.841.235 ; 2.481 ; 16.323.815.697 ; 4.938 ; 33.431.656.932 ; 8.628 ; 36.259.118.228 ;
