Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 265 ; 694.185.938 ; 185 ; 473.087.273 ; 450 ; 1.167.273.211 ; 15 ; 336.025.750 ; 16 ; 340.813.126 ; 31 ; 676.838.876 ; 481 ; 1.844.112.087 ;;;;
18;28.195.667;BANCO ABC BRASIL S.A.; 129 ; 178.622.010 ; 486 ; 156.362.350 ; 87 ; 469.634.379 ; 422 ; 155.493.713 ; 1.124 ; 960.112.453 ; 207 ; 350.674.793 ; 366 ; 502.915.200 ; 573 ; 853.589.993 ; 1.697 ; 1.813.702.446 ;;;;
19;53.518.684;BANCO HSBC S.A.; 21 ; 136.019.847 ; 56 ; 48.736.578 ; 23 ; 498.296.868 ; 81 ; 322.181.601 ; 181 ; 1.005.234.894 ; 83 ; 193.873.873 ; 99 ; 479.778.636 ; 182 ; 673.652.509 ; 363 ; 1.678.887.402 ;;;;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 88 ; 154.615.276 ; 297 ; 150.608.864 ; 250 ; 221.685.075 ; 434 ; 280.827.528 ; 1.069 ; 807.736.742 ; 84 ; 357.176.115 ; 121 ; 395.898.825 ; 205 ; 753.074.940 ; 1.274 ; 1.560.811.682 ;;;;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 68 ; 606.924.320 ; 40 ; 12.505.953 ; 63 ; 89.471.112 ; 182 ; 67.494.182 ; 353 ; 776.395.566 ; 20 ; 93.741.266 ; 33 ; 643.928.908 ; 53 ; 737.670.174 ; 406 ; 1.514.065.740 ;;;;
22;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 7 ; 154.040.516 ;;; 21 ; 53.104.001 ; 46 ; 143.089.145 ; 74 ; 350.233.661 ; 91 ; 498.371.026 ; 86 ; 562.487.987 ; 177 ; 1.060.859.013 ; 251 ; 1.411.092.674 ;;;;
23;59.588.111;BANCO VOTORANTIM S.A.; 75 ; 91.091.408 ; 352 ; 50.015.302 ; 222 ; 224.713.549 ; 499 ; 278.970.540 ; 1.148 ; 644.790.800 ; 269 ; 326.721.955 ; 361 ; 295.834.185 ; 630 ; 622.556.140 ; 1.778 ; 1.267.346.940 ;;;;
24;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 26 ; 59.347.076 ; 25 ; 543.473.205 ; 51 ; 602.820.281 ; 10 ; 523.421.908 ; 5 ; 39.646.000 ; 15 ; 563.067.908 ; 66 ; 1.165.888.189 ;;;;
25;58.160.789;BANCO SAFRA S.A.; 153 ; 93.007.884 ; 507 ; 85.923.253 ; 600 ; 163.303.162 ; 1.021 ; 262.903.721 ; 2.281 ; 605.138.020 ; 122 ; 307.188.527 ; 113 ; 210.409.441 ; 235 ; 517.597.967 ; 2.516 ; 1.122.735.987 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 127 ; 163.870.661 ; 630 ; 78.104.352 ; 328 ; 66.647.591 ; 458 ; 116.041.796 ; 1.543 ; 424.664.401 ; 58 ; 178.511.485 ; 76 ; 364.500.068 ; 134 ; 543.011.553 ; 1.677 ; 967.675.954 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 34 ; 2.962.702 ; 109 ; 19.068.671 ; 102.235 ; 289.679.672 ; 4.080 ; 30.584.604 ; 106.458 ; 342.295.649 ; 1.004 ; 94.417.411 ; 4.805 ; 345.087.923 ; 5.809 ; 439.505.333 ; 112.267 ; 781.800.982 ;;;;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 83 ; 3.554.101 ; 586 ; 18.551.181 ; 203 ; 134.340.357 ; 59.042 ; 78.240.250 ; 59.914 ; 234.685.889 ; 258 ; 160.894.864 ; 288 ; 201.439.432 ; 546 ; 362.334.296 ; 60.460 ; 597.020.185 ;;;;
29;62.232.889;BANCO DAYCOVAL S.A.; 581 ; 70.093.437 ; 481 ; 30.714.458 ; 3.418 ; 98.742.379 ; 733 ; 10.247.290 ; 5.213 ; 209.797.565 ; 272 ; 125.548.431 ; 248 ; 227.104.594 ; 520 ; 352.653.025 ; 5.733 ; 562.450.590 ;;;;
30;58.616.418;BANCO FIBRA S.A.; 49 ; 33.517.703 ; 536 ; 97.393.136 ; 45 ; 98.662.266 ; 134 ; 136.460.461 ; 764 ; 366.033.567 ; 30 ; 138.165.498 ; 21 ; 45.669.910 ; 51 ; 183.835.408 ; 815 ; 549.868.975 ;;;;
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 12 ; 39.046.348 ; 28 ; 48.602.428 ; 17 ; 60.137.062 ; 123 ; 181.789.590 ; 180 ; 329.575.428 ; 12 ; 142.506.853 ; 7 ; 22.507.361 ; 19 ; 165.014.213 ; 199 ; 494.589.641 ;;;;
32;78.632.767;BANCO OURINVEST S.A.; 221 ; 29.656.900 ; 1.709 ; 80.892.806 ; 1.600 ; 94.097.926 ; 1.376 ; 87.983.357 ; 4.906 ; 292.630.989 ; 1.119 ; 114.616.612 ; 575 ; 75.851.781 ; 1.694 ; 190.468.393 ; 6.600 ; 483.099.382 ;;;;
33;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 377 ; 58.256.214 ; 1.215 ; 38.965.602 ; 1.124 ; 82.876.311 ; 1.653 ; 112.424.593 ; 4.369 ; 292.522.720 ; 791 ; 89.472.398 ; 2.518 ; 96.473.837 ; 3.309 ; 185.946.235 ; 7.678 ; 478.468.955 ;;;;
34;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 2 ; 408.639 ;;; 5 ; 1.038.360 ;;; 7 ; 1.446.999 ; 3 ; 72.132.722 ; 15 ; 375.269.566 ; 18 ; 447.402.288 ; 25 ; 448.849.287 ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 19 ; 58.934.583 ; 21 ; 708.423 ; 1.685 ; 27.735.887 ; 29.167 ; 124.723.307 ; 30.892 ; 212.102.199 ; 108 ; 104.478.538 ; 42 ; 70.943.940 ; 150 ; 175.422.479 ; 31.042 ; 387.524.678 ;;;;
36;71.027.866;BANCO BS2 S.A.; 182 ; 42.227.972 ; 660 ; 40.353.477 ; 2.939 ; 66.811.978 ; 6.578 ; 50.907.777 ; 10.359 ; 200.301.204 ; 100 ; 59.115.650 ; 116 ; 77.067.192 ; 216 ; 136.182.842 ; 10.575 ; 336.484.046 ;;;;
37;00.360.305;CAIXA ECONOMICA FEDERAL; 94 ; 39.940.289 ; 43 ; 1.218.092 ; 8.256 ; 72.118.733 ; 390 ; 34.854.147 ; 8.783 ; 148.131.260 ; 128 ; 38.570.919 ; 132 ; 67.969.931 ; 260 ; 106.540.850 ; 9.043 ; 254.672.110 ;;;;
38;10.690.848;BANCO DA CHINA BRASIL S.A.; 34 ; 19.927.938 ; 33 ; 22.752.954 ; 13 ; 72.238.305 ; 73 ; 69.960.255 ; 153 ; 184.879.452 ; 34 ; 27.518.570 ; 50 ; 26.961.075 ; 84 ; 54.479.645 ; 237 ; 239.359.096 ;;;;
39;33.923.798;BANCO MÁXIMA S.A.; 138 ; 29.085.425 ; 202 ; 15.902.598 ; 5.107 ; 46.873.757 ; 23.593 ; 54.118.158 ; 29.040 ; 145.979.938 ; 58 ; 27.883.913 ; 54 ; 40.163.052 ; 112 ; 68.046.964 ; 29.152 ; 214.026.902 ;;;;
40;00.997.185;BANCO B3 S.A.;;;;; 148 ; 70.192.114 ; 129 ; 77.885.359 ; 277 ; 148.077.473 ; 64 ; 31.416.000 ; 23 ; 23.734.347 ; 87 ; 55.150.347 ; 364 ; 203.227.820 ;;;;
41;30.723.886;BANCO MODAL S.A.; 23 ; 21.709.376 ; 60 ; 2.845.274 ; 136 ; 70.524.111 ; 129 ; 44.984.796 ; 348 ; 140.063.556 ; 7 ; 5.423.420 ; 10 ; 50.217.280 ; 17 ; 55.640.700 ; 365 ; 195.704.256 ;;;;
42;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 41 ; 52.025.315 ; 147 ; 24.474.837 ; 67 ; 22.555.914 ; 122 ; 12.051.715 ; 377 ; 111.107.781 ; 56 ; 17.535.329 ; 62 ; 54.520.738 ; 118 ; 72.056.067 ; 495 ; 183.163.848 ;;;;
43;62.144.175;BANCO PINE S.A.; 21 ; 14.832.212 ; 159 ; 19.565.825 ; 3 ; 3.028.160 ; 29 ; 9.858.696 ; 212 ; 47.284.893 ; 39 ; 68.795.000 ; 50 ; 59.065.000 ; 89 ; 127.860.000 ; 301 ; 175.144.893 ;;;;
