Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em AGOSTO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
15;61.820.817;BANCO PAULISTA S.A.; 52 ; 4.506.673 ; 333 ; 26.794.878 ; 1.297 ; 112.523.979 ; 2.368 ; 265.386.837 ; 4.050 ; 409.212.366 ; 1.278 ; 2.044.321.074 ; 8.152 ; 1.888.992.642 ; 9.430 ; 3.933.313.715 ; 13.480 ; 4.342.526.082 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 149 ; 60.505.761 ; 612 ; 117.625.194 ; 497 ; 407.206.547 ; 454 ; 121.259.798 ; 1.712 ; 706.597.300 ; 343 ; 1.384.286.257 ; 421 ; 1.613.369.421 ; 764 ; 2.997.655.678 ; 2.476 ; 3.704.252.977 ;;;;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 13 ; 13.260.398 ; 135 ; 9.869.799 ; 165 ; 1.271.183.434 ; 229 ; 777.144.527 ; 542 ; 2.071.458.157 ; 119 ; 495.696.722 ; 156 ; 1.021.639.727 ; 275 ; 1.517.336.449 ; 817 ; 3.588.794.607 ;;;;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 155 ; 875.378.588 ; 207 ; 1.076.462.322 ; 362 ; 1.951.840.910 ; 22 ; 670.101.203 ; 24 ; 675.081.901 ; 46 ; 1.345.183.104 ; 408 ; 3.297.024.015 ;;;;
19;61.146.577;BANCO BARCLAYS S.A.;;; 6 ; 201.186 ; 215 ; 571.922.701 ; 113 ; 593.747.129 ; 334 ; 1.165.871.016 ; 109 ; 552.696.080 ; 151 ; 621.310.973 ; 260 ; 1.174.007.053 ; 594 ; 2.339.878.069 ;;;;
20;58.160.789;BANCO SAFRA S.A.; 170 ; 101.149.990 ; 1.509 ; 151.465.193 ; 840 ; 111.444.623 ; 3.318 ; 318.188.784 ; 5.837 ; 682.248.590 ; 95 ; 984.432.968 ; 78 ; 440.662.043 ; 173 ; 1.425.095.011 ; 6.010 ; 2.107.343.601 ;;;;
21;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 23 ; 834.548 ; 280 ; 11.035.837 ; 177 ; 15.293.713 ; 819 ; 32.259.762 ; 1.299 ; 59.423.859 ; 1.225 ; 932.624.947 ; 11.053 ; 909.931.586 ; 12.278 ; 1.842.556.533 ; 13.577 ; 1.901.980.392 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 26 ; 110.377.988 ; 67 ; 145.425.232 ; 28 ; 8.839.409 ; 87 ; 38.893.919 ; 208 ; 303.536.548 ; 120 ; 720.535.398 ; 148 ; 696.585.084 ; 268 ; 1.417.120.482 ; 476 ; 1.720.657.030 ;;;;
23;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 388.703 ; 23 ; 660.862.616 ; 24 ; 661.251.319 ; 23 ; 660.862.616 ; 1 ; 388.703 ; 24 ; 661.251.319 ; 48 ; 1.322.502.639 ;;;;
24;49.336.860;ING BANK N.V.; 18 ; 158.018.765 ; 6 ; 2.224.028 ; 2 ; 373.664 ; 78 ; 280.888.346 ; 104 ; 441.504.803 ; 17 ; 422.791.825 ; 17 ; 302.741.865 ; 34 ; 725.533.690 ; 138 ; 1.167.038.493 ;;;;
