Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 2.246 ; 14.823.832.094 ; 2.437 ; 14.406.015.944 ; 4.683 ; 29.229.848.038 ; 84 ; 1.644.028.206 ; 80 ; 2.063.230.007 ; 164 ; 3.707.258.213 ; 4.847 ; 32.937.106.251 ;
16;59.588.111;BANCO VOTORANTIM S.A.; 1.740 ; 2.162.760.585 ; 5.084 ; 870.836.457 ; 1.493 ; 2.068.905.412 ; 4.558 ; 1.476.669.265 ; 12.875 ; 6.579.171.719 ; 2.651 ; 12.013.966.711 ; 4.050 ; 13.714.265.528 ; 6.701 ; 25.728.232.239 ; 19.576 ; 32.307.403.958 ;
17;53.518.684;BANCO HSBC S.A.; 192 ; 2.495.752.504 ; 401 ; 297.092.572 ; 1.357 ; 3.533.465.723 ; 2.141 ; 2.497.592.655 ; 4.091 ; 8.823.903.454 ; 947 ; 8.163.744.613 ; 1.051 ; 11.422.851.212 ; 1.998 ; 19.586.595.825 ; 6.089 ; 28.410.499.279 ;
18;33.264.668;BANCO XP S.A.; 2.169 ; 949.820.874 ; 15.783 ; 3.083.366.645 ; 26.370 ; 2.781.402.103 ; 131.197 ; 5.751.621.692 ; 175.519 ; 12.566.211.314 ; 823 ; 7.165.735.525 ; 719 ; 2.007.117.238 ; 1.542 ; 9.172.852.763 ; 177.061 ; 21.739.064.077 ;
19;07.679.404;BANCO TOPÁZIO S.A.; 1.193 ; 356.904.697 ; 983 ; 71.578.447 ; 181.149 ; 873.564.624 ; 511.041 ; 8.491.591.179 ; 694.366 ; 9.793.638.947 ; 7.327 ; 9.321.751.480 ; 22.806 ; 1.991.026.150 ; 30.133 ; 11.312.777.630 ; 724.499 ; 21.106.416.577 ;
20;31.872.495;BANCO C6 S.A.; 485 ; 1.082.448.331 ; 4.395 ; 854.267.534 ; 58.660 ; 2.221.679.733 ; 479.830 ; 4.399.896.833 ; 543.370 ; 8.558.292.431 ; 840 ; 6.801.457.362 ; 1.176 ; 4.882.933.721 ; 2.016 ; 11.684.391.083 ; 545.386 ; 20.242.683.514 ;
21;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 775 ; 73.277.056 ; 6.905 ; 873.786.654 ; 2.352 ; 594.132.610 ; 66.411 ; 725.020.556 ; 76.443 ; 2.266.216.876 ; 2.796 ; 8.732.396.787 ; 3.273 ; 7.804.124.211 ; 6.069 ; 16.536.520.998 ; 82.512 ; 18.802.737.874 ;
22;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.467 ; 366.369.497 ; 3.157 ; 427.922.482 ; 40.428 ; 4.529.414.430 ; 57.115 ; 6.336.446.882 ; 103.167 ; 11.660.153.291 ; 11.174 ; 4.479.237.401 ; 36.051 ; 2.610.668.474 ; 47.225 ; 7.089.905.875 ; 150.392 ; 18.750.059.166 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 509 ; 2.253.010.431 ; 51 ; 37.524.710 ; 610 ; 2.288.162.378 ; 1.563 ; 2.654.261.478 ; 2.733 ; 7.232.958.997 ; 514 ; 4.675.234.688 ; 597 ; 6.538.068.709 ; 1.111 ; 11.213.303.397 ; 3.844 ; 18.446.262.394 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.; 99 ; 1.452.401.469 ; 420 ; 567.671.968 ; 1.192 ; 5.012.730.867 ; 1.533 ; 4.013.471.886 ; 3.244 ; 11.046.276.190 ; 90 ; 2.710.250.950 ; 146 ; 4.450.917.765 ; 236 ; 7.161.168.715 ; 3.480 ; 18.207.444.905 ;
25;78.632.767;BANCO OURINVEST S.A.; 4.870 ; 607.041.255 ; 17.232 ; 991.474.025 ; 195.457 ; 2.609.883.964 ; 303.365 ; 4.883.915.977 ; 520.924 ; 9.092.315.221 ; 5.946 ; 5.021.629.389 ; 86.917 ; 2.299.584.941 ; 92.863 ; 7.321.214.330 ; 613.787 ; 16.413.529.551 ;
26;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 53 ; 538.411.614 ; 16 ; 2.755.160 ; 164 ; 557.996.240 ; 289 ; 410.992.212 ; 522 ; 1.510.155.226 ; 559 ; 6.806.334.623 ; 604 ; 7.511.328.101 ; 1.163 ; 14.317.662.724 ; 1.685 ; 15.827.817.950 ;
27;28.195.667;BANCO ABC BRASIL S.A.; 717 ; 621.946.630 ; 2.516 ; 669.282.653 ; 1.359 ; 1.453.108.042 ; 3.680 ; 1.498.519.474 ; 8.272 ; 4.242.856.799 ; 887 ; 5.562.676.677 ; 1.698 ; 5.631.997.033 ; 2.585 ; 11.194.673.710 ; 10.857 ; 15.437.530.509 ;
