Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jul/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.037 ; 371.569.283 ; 3.006 ; 512.404.395 ; 3.620 ; 2.934.193.997 ; 3.595 ; 1.771.709.134 ; 11.258 ; 5.589.876.808 ; 2.944 ; 11.027.376.458 ; 2.753 ; 12.059.974.031 ; 5.697 ; 23.087.350.489 ; 16.955 ; 28.677.227.297 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 3.789 ; 6.711.816.524 ; 2.899 ; 7.674.018.069 ; 6.689 ; 14.424.834.593 ; 256 ; 5.913.433.342 ; 221 ; 4.850.230.635 ; 477 ; 10.763.663.976 ; 7.166 ; 25.188.498.569 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 939 ; 2.023.965.817 ; 7.524 ; 1.163.277.927 ; 2.044 ; 3.009.531.672 ; 7.588 ; 4.877.797.062 ; 18.095 ; 11.074.572.478 ; 2.114 ; 6.810.294.597 ; 4.539 ; 5.791.826.235 ; 6.653 ; 12.602.120.832 ; 24.748 ; 23.676.693.310 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.496 ; 5.395.112.898 ; 1.419 ; 6.480.013.379 ; 2.915 ; 11.875.126.277 ; 162 ; 6.112.625.214 ; 176 ; 5.232.456.269 ; 338 ; 11.345.081.482 ; 3.253 ; 23.220.207.760 ;
19;58.160.789;BANCO SAFRA S.A.; 1.140 ; 699.960.594 ; 5.027 ; 515.746.634 ; 5.569 ; 1.626.270.658 ; 14.334 ; 1.728.480.450 ; 26.070 ; 4.570.458.336 ; 1.009 ; 5.974.612.187 ; 984 ; 5.918.096.032 ; 1.993 ; 11.892.708.218 ; 28.063 ; 16.463.166.554 ;
20;61.820.817;BANCO PAULISTA S.A.; 756 ; 401.854.018 ; 2.327 ; 161.187.076 ; 4.706 ; 686.588.111 ; 7.166 ; 716.454.014 ; 14.955 ; 1.966.083.219 ; 8.274 ; 3.786.900.678 ; 66.477 ; 4.005.560.077 ; 74.751 ; 7.792.460.755 ; 89.706 ; 9.758.543.974 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 93 ; 191.158.119 ; 638 ; 164.657.993 ; 421 ; 1.037.475.247 ; 472 ; 601.282.319 ; 1.624 ; 1.994.573.678 ; 769 ; 3.159.249.953 ; 870 ; 3.645.148.705 ; 1.639 ; 6.804.398.658 ; 3.263 ; 8.798.972.336 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 1.935 ; 1.331.575.827 ; 1.372 ; 62.551.943 ; 34.813 ; 563.573.218 ; 9.510 ; 2.314.836.224 ; 47.630 ; 4.272.537.212 ; 631 ; 2.490.362.903 ; 807 ; 1.994.498.105 ; 1.438 ; 4.484.861.008 ; 49.068 ; 8.757.398.220 ;
23;49.336.860;ING BANK N.V.; 207 ; 1.069.669.008 ; 49 ; 64.377.786 ; 83 ; 430.502.086 ; 529 ; 295.725.801 ; 868 ; 1.860.274.681 ; 101 ; 1.748.286.941 ; 129 ; 2.730.495.495 ; 230 ; 4.478.782.436 ; 1.098 ; 6.339.057.117 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 45 ; 560.934.054 ; 3 ; 6.600.842 ; 135 ; 287.060.493 ; 363 ; 53.938.643 ; 546 ; 908.534.032 ; 418 ; 2.165.511.022 ; 457 ; 2.953.049.975 ; 875 ; 5.118.560.997 ; 1.421 ; 6.027.095.029 ;
