Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 47.761 ; 16.746.152.599 ; 134.746 ; 19.720.685.407 ; 180.323 ; 40.733.707.847 ; 286.019 ; 45.536.506.122 ; 648.849 ; 122.737.051.975 ; 6.326 ; 58.541.554.196 ; 6.170 ; 49.414.403.225 ; 12.496 ; 107.955.957.420 ; 661.345 ; 230.693.009.395 ;
2;33.479.023;BANCO CITIBANK S.A.; 11.667 ; 15.420.548.285 ; 64.080 ; 15.721.529.703 ; 67.129 ; 75.079.261.556 ; 82.558 ; 71.109.819.709 ; 225.434 ; 177.331.159.253 ; 2.657 ; 24.251.820.867 ; 2.895 ; 27.218.336.889 ; 5.552 ; 51.470.157.756 ; 230.986 ; 228.801.317.009 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 73.074 ; 33.110.615.329 ; 217.019 ; 33.328.079.871 ; 273.136 ; 36.105.352.459 ; 305.987 ; 38.097.722.344 ; 869.216 ; 140.641.770.003 ; 3.953 ; 43.114.469.070 ; 3.940 ; 37.319.332.720 ; 7.893 ; 80.433.801.790 ; 877.109 ; 221.075.571.793 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.805 ; 7.479.998.006 ; 20.925 ; 7.658.220.702 ; 11.504 ; 41.868.788.570 ; 17.912 ; 49.410.500.362 ; 53.146 ; 106.417.507.640 ; 3.778 ; 46.370.203.054 ; 4.010 ; 36.600.018.819 ; 7.788 ; 82.970.221.873 ; 60.934 ; 189.387.729.512 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 934 ; 1.421.623.165 ; 5.050 ; 1.956.857.151 ; 1.293 ; 4.162.453.240 ; 3.000 ; 3.844.276.610 ; 10.277 ; 11.385.210.165 ; 2.884 ; 55.356.217.405 ; 3.089 ; 55.148.471.379 ; 5.973 ; 110.504.688.784 ; 16.250 ; 121.889.898.949 ;
6;00.000.000;BANCO DO BRASIL S.A.; 71.909 ; 31.239.237.157 ; 126.645 ; 21.599.448.634 ; 269.108 ; 14.802.857.104 ; 194.929 ; 19.941.132.455 ; 662.591 ; 87.582.675.350 ; 2.653 ; 14.751.156.730 ; 2.640 ; 19.490.640.199 ; 5.293 ; 34.241.796.929 ; 667.884 ; 121.824.472.279 ;
7;60.746.948;BANCO BRADESCO S.A.; 40.680 ; 27.417.145.162 ; 84.593 ; 12.057.385.882 ; 206.515 ; 15.409.628.165 ; 155.971 ; 19.876.518.527 ; 487.759 ; 74.760.677.736 ; 3.184 ; 17.595.770.241 ; 3.364 ; 27.452.799.480 ; 6.548 ; 45.048.569.721 ; 494.307 ; 119.809.247.458 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 2.360 ; 8.394.992.019 ; 9.102 ; 3.575.828.679 ; 16.680 ; 10.618.240.171 ; 24.909 ; 9.416.080.667 ; 53.051 ; 32.005.141.535 ; 1.618 ; 26.253.054.617 ; 3.848 ; 29.053.596.056 ; 5.466 ; 55.306.650.673 ; 58.517 ; 87.311.792.208 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.322 ; 6.497.816.182 ; 5.942 ; 4.406.759.492 ; 4.121 ; 17.203.124.575 ; 5.702 ; 21.477.395.158 ; 17.087 ; 49.585.095.406 ; 1.539 ; 10.919.823.339 ; 826 ; 8.519.986.515 ; 2.365 ; 19.439.809.854 ; 19.452 ; 69.024.905.260 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.771 ; 3.534.170.165 ; 11.203 ; 3.416.137.237 ; 13.255 ; 14.523.121.281 ; 18.689 ; 10.923.349.472 ; 44.918 ; 32.396.778.154 ; 7.083 ; 14.359.114.727 ; 7.191 ; 18.361.257.061 ; 14.274 ; 32.720.371.788 ; 59.192 ; 65.117.149.942 ;
11;60.498.557;BANCO MUFG BRASIL S.A.; 974 ; 532.142.184 ; 3.208 ; 740.395.413 ; 2.153 ; 1.855.581.780 ; 2.865 ; 1.675.323.718 ; 9.200 ; 4.803.443.095 ; 4.855 ; 20.366.357.604 ; 4.973 ; 20.212.733.072 ; 9.828 ; 40.579.090.676 ; 19.028 ; 45.382.533.772 ;
12;03.532.415;BANCO ABN AMRO S.A.;;;;; 2.089 ; 17.062.230.079 ; 2.389 ; 17.150.349.063 ; 4.478 ; 34.212.579.142 ; 107 ; 2.137.614.180 ; 84 ; 1.914.613.725 ; 191 ; 4.052.227.905 ; 4.669 ; 38.264.807.047 ;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 9 ; 1.139.428.191 ; 2.026 ; 10.802.972.533 ; 1.837 ; 11.933.622.378 ; 3.872 ; 23.876.023.102 ; 267 ; 7.562.969.190 ; 224 ; 5.126.336.473 ; 491 ; 12.689.305.663 ; 4.363 ; 36.565.328.765 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 1.265 ; 11.969.297.360 ; 1.251 ; 9.144.761.435 ; 2.516 ; 21.114.058.795 ; 378 ; 5.281.406.651 ; 568 ; 8.106.221.422 ; 946 ; 13.387.628.073 ; 3.462 ; 34.501.686.868 ;
15;53.518.684;BANCO HSBC S.A.; 261 ; 2.959.712.372 ; 998 ; 2.016.528.355 ; 1.250 ; 3.057.751.118 ; 1.276 ; 1.524.071.671 ; 3.785 ; 9.558.063.515 ; 1.397 ; 6.763.186.566 ; 1.530 ; 9.086.081.912 ; 2.927 ; 15.849.268.478 ; 6.712 ; 25.407.331.993 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 67 ; 578.290.241 ; 128 ; 30.116.858 ; 3.576 ; 7.735.911.104 ; 2.769 ; 5.169.340.373 ; 6.540 ; 13.513.658.576 ; 104 ; 3.006.476.516 ; 183 ; 6.148.770.557 ; 287 ; 9.155.247.073 ; 6.827 ; 22.668.905.650 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 2.112 ; 2.353.729.688 ; 6.205 ; 1.377.801.606 ; 2.007 ; 2.431.855.277 ; 5.386 ; 2.257.130.818 ; 15.710 ; 8.420.517.389 ; 3.072 ; 6.340.408.724 ; 5.147 ; 7.539.477.463 ; 8.219 ; 13.879.886.187 ; 23.929 ; 22.300.403.576 ;
18;28.195.667;BANCO ABC BRASIL S.A.; 1.293 ; 1.238.505.722 ; 3.428 ; 866.490.302 ; 726 ; 3.736.365.404 ; 3.985 ; 2.428.333.313 ; 9.432 ; 8.269.694.739 ; 1.023 ; 6.149.893.767 ; 1.286 ; 7.481.564.442 ; 2.309 ; 13.631.458.209 ; 11.741 ; 21.901.152.948 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 797 ; 1.583.292.756 ; 1.542 ; 687.916.201 ; 2.325 ; 2.583.590.111 ; 2.893 ; 3.351.847.639 ; 7.557 ; 8.206.646.708 ; 2.188 ; 5.433.933.043 ; 2.306 ; 5.464.584.529 ; 4.494 ; 10.898.517.573 ; 12.051 ; 19.105.164.281 ;
20;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 7.698 ; 726.316.101 ; 18.964 ; 827.439.329 ; 29.189 ; 2.392.248.801 ; 63.701 ; 5.789.745.132 ; 119.552 ; 9.735.749.362 ; 14.199 ; 6.241.123.275 ; 49.390 ; 2.722.003.651 ; 63.589 ; 8.963.126.925 ; 183.141 ; 18.698.876.287 ;
21;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 60 ; 439.664.888 ; 21 ; 30.155.833 ; 165 ; 450.028.508 ; 393 ; 427.735.220 ; 639 ; 1.347.584.448 ; 643 ; 8.299.718.358 ; 671 ; 8.696.151.983 ; 1.314 ; 16.995.870.341 ; 1.953 ; 18.343.454.789 ;
22;33.264.668;BANCO XP S.A.; 2.842 ; 2.021.612.794 ; 19.430 ; 3.388.735.438 ; 13.107 ; 3.350.718.415 ; 34.409 ; 3.958.876.684 ; 69.788 ; 12.719.943.332 ; 513 ; 3.817.892.180 ; 417 ; 1.477.834.417 ; 930 ; 5.295.726.597 ; 70.718 ; 18.015.669.929 ;
23;31.872.495;BANCO C6 S.A.; 728 ; 1.104.261.389 ; 5.161 ; 824.867.427 ; 32.903 ; 2.056.158.023 ; 369.609 ; 2.829.109.682 ; 408.401 ; 6.814.396.520 ; 1.137 ; 5.254.173.761 ; 1.558 ; 4.625.511.646 ; 2.695 ; 9.879.685.407 ; 411.096 ; 16.694.081.927 ;
