Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Maio/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.169 ; 9.262.076.125 ; 2.313 ; 12.974.264.511 ; 4.482 ; 22.236.340.636 ; 356 ; 7.148.287.949 ; 208 ; 3.441.736.248 ; 564 ; 10.590.024.197 ; 5.046 ; 32.826.364.833 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 4.449 ; 753.913.064 ; 29.417 ; 1.868.671.957 ; 32.152 ; 2.015.661.327 ; 94.714 ; 3.267.126.682 ; 160.732 ; 7.905.373.030 ; 827 ; 11.022.011.886 ; 832 ; 8.547.438.971 ; 1.659 ; 19.569.450.857 ; 162.391 ; 27.474.823.887 ;
16;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 468 ; 26.251.928 ; 5.758 ; 358.641.535 ; 2.840 ; 504.408.078 ; 39.022 ; 1.078.386.436 ; 48.088 ; 1.967.687.977 ; 2.729 ; 11.599.505.828 ; 2.838 ; 10.691.347.661 ; 5.567 ; 22.290.853.489 ; 53.655 ; 24.258.541.466 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 585 ; 516.788.504 ; 2.599 ; 1.262.067.764 ; 1.207 ; 5.398.907.616 ; 2.540 ; 3.599.729.579 ; 6.931 ; 10.777.493.463 ; 3.343 ; 6.099.698.354 ; 3.373 ; 6.909.502.138 ; 6.716 ; 13.009.200.492 ; 13.647 ; 23.786.693.955 ;
18;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 337 ; 1.113.256.114 ; 28 ; 14.313.122 ; 353 ; 982.047.311 ; 959 ; 1.675.278.762 ; 1.677 ; 3.784.895.309 ; 592 ; 9.083.338.230 ; 634 ; 9.462.757.792 ; 1.226 ; 18.546.096.022 ; 2.903 ; 22.330.991.331 ;
19;03.532.415;BANCO ABN AMRO S.A.;BCO ABN AMRO S.A. - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.754 ; 9.016.382.902 ; 1.839 ; 9.045.428.725 ; 3.593 ; 18.061.811.627 ; 49 ; 1.506.598.586 ; 57 ; 1.711.213.280 ; 106 ; 3.217.811.866 ; 3.699 ; 21.279.623.493 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 931 ; 69.534.555 ; 5.011 ; 550.824.385 ; 170.498 ; 1.117.647.470 ; 405.842 ; 8.602.263.257 ; 582.282 ; 10.340.269.667 ; 4.781 ; 9.434.340.593 ; 13.454 ; 1.465.538.260 ; 18.235 ; 10.899.878.853 ; 600.517 ; 21.240.148.520 ;
21;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 400 ; 483.162.423 ; 923 ; 288.327.725 ; 404 ; 509.843.770 ; 628 ; 637.025.425 ; 2.355 ; 1.918.359.343 ; 859 ; 9.465.146.070 ; 857 ; 9.531.425.384 ; 1.716 ; 18.996.571.454 ; 4.071 ; 20.914.930.797 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 299 ; 2.533.416.745 ; 683 ; 211.088.227 ; 1.104 ; 2.052.304.220 ; 1.503 ; 1.765.698.590 ; 3.589 ; 6.562.507.782 ; 956 ; 4.042.871.379 ; 1.039 ; 6.705.455.725 ; 1.995 ; 10.748.327.104 ; 5.584 ; 17.310.834.886 ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 687 ; 874.610.070 ; 5.770 ; 835.049.050 ; 7.496 ; 2.122.628.964 ; 14.664 ; 3.079.153.590 ; 28.617 ; 6.911.441.674 ; 562 ; 5.639.028.601 ; 697 ; 4.161.186.597 ; 1.259 ; 9.800.215.198 ; 29.876 ; 16.711.656.872 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 48 ; 1.531.768.029 ; 163 ; 200.585.489 ; 627 ; 4.092.288.483 ; 745 ; 3.760.612.954 ; 1.583 ; 9.585.254.955 ; 50 ; 1.842.617.451 ; 121 ; 3.266.875.486 ; 171 ; 5.109.492.937 ; 1.754 ; 14.694.747.892 ;
25;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 1.844 ; 582.107.576 ; 4.862 ; 635.711.613 ; 122.125 ; 4.808.092.780 ; 93.556 ; 1.035.842.164 ; 222.387 ; 7.061.754.133 ; 1.437 ; 1.514.584.973 ; 1.588 ; 5.197.490.471 ; 3.025 ; 6.712.075.444 ; 225.412 ; 13.773.829.577 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 2.909 ; 563.274.202 ; 9.761 ; 416.527.737 ; 24.476 ; 2.298.543.254 ; 30.159 ; 3.504.183.109 ; 67.305 ; 6.782.528.302 ; 8.383 ; 3.219.525.746 ; 21.882 ; 2.118.200.658 ; 30.265 ; 5.337.726.404 ; 97.570 ; 12.120.254.706 ;
27;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 3.143 ; 454.483.678 ; 16.722 ; 916.426.960 ; 190.222 ; 1.869.367.026 ; 203.396 ; 2.752.963.485 ; 413.483 ; 5.993.241.149 ; 4.868 ; 3.085.600.073 ; 42.095 ; 1.665.357.974 ; 46.963 ; 4.750.958.047 ; 460.446 ; 10.744.199.196 ;
28;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 578 ; 523.712.237 ; 2.335 ; 391.963.649 ; 243 ; 418.051.989 ; 2.056 ; 746.367.100 ; 5.212 ; 2.080.094.975 ; 531 ; 4.094.216.284 ; 717 ; 3.722.126.602 ; 1.248 ; 7.816.342.886 ; 6.460 ; 9.896.437.861 ;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 64 ; 841.243.384 ; 21 ; 18.894.133 ; 128 ; 89.093.659 ; 227 ; 83.288.102 ; 440 ; 1.032.519.278 ; 336 ; 3.941.760.857 ; 366 ; 4.754.731.878 ; 702 ; 8.696.492.735 ; 1.142 ; 9.729.012.013 ;
