Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Setembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 970 ; 2.265.376.574 ; 7.728 ; 3.526.637.549 ; 1.161 ; 3.081.591.188 ; 3.318 ; 4.701.064.687 ; 13.177 ; 13.574.669.998 ; 4.605 ; 26.580.597.325 ; 4.621 ; 23.693.939.338 ; 9.226 ; 50.274.536.663 ; 22.403 ; 63.849.206.661 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 4.224 ; 16.941.243.149 ; 4.174 ; 20.992.157.329 ; 8.398 ; 37.933.400.478 ; 569 ; 11.099.484.948 ; 397 ; 7.027.483.090 ; 966 ; 18.126.968.038 ; 9.364 ; 56.060.368.516 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 937 ; 61.935.478 ; 11.896 ; 640.011.193 ; 6.057 ; 847.786.271 ; 70.524 ; 2.876.574.993 ; 89.414 ; 4.426.307.935 ; 5.167 ; 26.402.393.136 ; 5.252 ; 23.781.666.607 ; 10.419 ; 50.184.059.743 ; 99.833 ; 54.610.367.678 ;
16;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 8.307 ; 1.583.887.919 ; 56.866 ; 3.663.694.481 ; 65.482 ; 4.351.274.139 ; 202.587 ; 6.960.189.627 ; 333.242 ; 16.559.046.166 ; 1.304 ; 18.950.198.614 ; 1.410 ; 14.081.692.095 ; 2.714 ; 33.031.890.709 ; 335.956 ; 49.590.936.875 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 1.119 ; 1.084.085.149 ; 5.374 ; 1.706.416.431 ; 2.219 ; 9.034.584.646 ; 4.193 ; 7.557.655.044 ; 12.905 ; 19.382.741.270 ; 5.996 ; 13.148.203.734 ; 6.038 ; 14.072.917.189 ; 12.034 ; 27.221.120.923 ; 24.939 ; 46.603.862.193 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 3.193 ; 17.317.529.857 ; 3.421 ; 17.322.923.864 ; 6.614 ; 34.640.453.721 ; 101 ; 3.115.036.766 ; 102 ; 3.296.321.910 ; 203 ; 6.411.358.676 ; 6.817 ; 41.051.812.397 ;
19;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 701 ; 825.582.319 ; 1.857 ; 557.188.547 ; 735 ; 1.181.013.705 ; 1.200 ; 1.521.472.973 ; 4.493 ; 4.085.257.544 ; 1.586 ; 16.152.808.364 ; 1.569 ; 16.128.182.793 ; 3.155 ; 32.280.991.157 ; 7.648 ; 36.366.248.701 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 1.766 ; 160.955.258 ; 8.890 ; 586.585.993 ; 307.112 ; 1.857.299.468 ; 704.669 ; 13.923.265.735 ; 1.022.437 ; 16.528.106.454 ; 8.368 ; 15.210.885.072 ; 24.275 ; 2.716.722.627 ; 32.643 ; 17.927.607.699 ; 1.055.080 ; 34.455.714.153 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 634 ; 1.910.558.579 ; 44 ; 32.935.726 ; 612 ; 1.906.347.430 ; 1.735 ; 2.765.329.350 ; 3.025 ; 6.615.171.085 ; 936 ; 13.335.403.546 ; 1.018 ; 13.839.474.107 ; 1.954 ; 27.174.877.653 ; 4.979 ; 33.790.048.738 ;
22;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 89 ; 2.271.239.018 ; 239 ; 258.536.305 ; 1.262 ; 9.773.687.382 ; 1.383 ; 6.798.413.289 ; 2.973 ; 19.101.875.994 ; 94 ; 3.959.447.093 ; 288 ; 8.811.704.125 ; 382 ; 12.771.151.218 ; 3.355 ; 31.873.027.212 ;
